,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-04-02,3,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667
1,2019-04-07,5,5,1,1,0,0,1,2,0,1,.250,.250,.625,.875
2,2019-04-09,3,3,0,1,0,0,0,0,0,0,.273,.273,.545,.818
3,2019-04-10,4,4,0,0,0,0,0,0,0,2,.200,.200,.400,.600
4,2019-04-12,3,3,0,1,0,0,0,1,0,2,.222,.222,.389,.611
5,2019-04-16,4,3,1,1,0,0,0,0,0,0,.238,.238,.381,.619
6,2019-04-17,3,2,1,0,0,0,0,0,1,0,.217,.250,.348,.598
7,2019-04-18,3,3,0,0,0,0,0,0,0,1,.192,.222,.308,.530
8,2019-04-20,4,4,1,2,1,0,0,1,0,0,.233,.258,.367,.625
9,2019-04-21,5,5,0,3,0,0,0,3,0,0,.286,.306,.400,.706
10,2019-04-23,5,5,0,0,0,0,0,1,0,3,.250,.268,.350,.618
11,2019-04-26,4,4,1,1,0,0,0,0,0,0,.250,.267,.341,.608
12,2019-04-28,1,1,0,0,0,0,0,0,0,0,.244,.261,.333,.594
13,April,47,45,5,11,1,0,1,8,1,10,.244,.261,.333,.594
14,2019-05-01,1,1,0,0,0,0,0,0,0,0,.239,.255,.326,.581
15,2019-05-04,4,4,0,0,0,0,0,0,0,1,.220,.235,.300,.535
16,2019-05-08,3,3,0,0,0,0,0,0,0,0,.208,.222,.283,.505
17,2019-05-12,4,4,2,2,1,0,0,0,0,0,.228,.241,.316,.557
18,2019-05-15,3,3,0,0,0,0,0,0,0,1,.217,.230,.300,.530
19,2019-05-18,4,4,0,0,0,0,0,0,0,1,.203,.215,.281,.497
20,2019-05-21,4,4,0,0,0,0,0,0,0,2,.191,.203,.265,.468
21,2019-05-23,3,3,0,1,0,0,0,1,0,0,.197,.208,.268,.476
22,2019-05-25,4,4,1,3,0,0,0,2,0,0,.227,.237,.293,.530
23,2019-05-27,4,4,0,0,0,0,0,0,0,1,.215,.225,.278,.504
24,2019-05-29,4,4,0,1,0,0,0,0,0,2,.217,.226,.277,.503
25,May,38,38,3,7,1,0,0,3,0,8,.184,.184,.211,.395
26,2019-06-02,3,3,0,0,0,0,0,0,0,2,.209,.218,.267,.486
27,2019-06-08,2,2,0,0,0,0,0,0,0,0,.205,.213,.261,.475
28,2019-06-11,4,3,0,0,0,0,0,0,1,2,.198,.215,.253,.468
29,2019-06-14,1,1,0,0,0,0,0,0,0,1,.196,.213,.250,.463
30,2019-06-16,5,5,0,2,1,0,0,4,0,1,.206,.222,.268,.490
31,2019-06-19,1,1,0,1,0,0,0,0,0,0,.214,.230,.276,.506
