,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-04-03,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2018-04-08,3,3,1,1,0,0,0,0,0,0,.167,.167,.167,.333
2,2018-04-09,5,5,1,1,1,0,0,1,0,2,.182,.182,.273,.454
3,2018-04-11,3,3,0,0,0,0,0,0,0,0,.143,.143,.214,.357
4,2018-04-13,3,2,0,1,0,0,0,1,1,1,.188,.235,.250,.485
5,2018-04-17,4,4,0,1,1,0,0,0,0,0,.200,.238,.300,.538
6,2018-04-20,4,4,0,1,0,0,0,0,0,1,.208,.240,.292,.532
7,2018-04-20,0,0,0,0,0,0,0,0,0,0,.208,.240,.292,.532
8,April,25,24,2,5,2,0,0,2,1,4,.208,.240,.292,.532
9,2018-08-31,4,3,1,2,0,0,1,1,1,1,.259,.310,.444,.755
10,August,4,3,1,2,0,0,1,1,1,1,.667,.750,1.667,2.417
11,2018-09-01,4,3,0,0,0,0,0,0,0,1,.233,.281,.400,.681
12,2018-09-03,4,4,0,1,0,0,0,0,0,1,.235,.278,.382,.660
13,2018-09-04,4,4,0,0,0,0,0,0,0,3,.211,.250,.342,.592
14,2018-09-07,1,1,0,0,0,0,0,0,0,0,.205,.244,.333,.577
15,2018-09-09,3,3,0,0,0,0,0,0,0,1,.190,.227,.310,.537
16,2018-09-12,0,0,0,0,0,0,0,0,0,0,.190,.227,.310,.537
17,2018-09-13,4,3,0,0,0,0,0,0,1,1,.178,.229,.289,.518
18,2018-09-15,4,4,2,3,1,0,0,1,0,0,.224,.269,.347,.616
19,2018-09-16,1,1,0,0,0,0,0,0,0,0,.220,.264,.340,.604
20,2018-09-21,4,3,0,0,0,0,0,1,0,1,.208,.246,.321,.566
21,2018-09-23,4,4,0,1,0,0,0,2,0,1,.211,.246,.316,.562
22,2018-09-27,3,2,0,1,0,0,0,0,0,1,.220,.266,.322,.588
23,2018-09-28,4,4,0,0,0,0,0,0,0,0,.206,.250,.302,.552
24,September,40,36,2,6,1,0,0,4,1,10,.167,.205,.194,.400
