,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,March,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500
1,2018-03-31,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500
2,2018-04-02,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400
3,2018-04-05,4,4,0,0,0,0,0,0,0,3,.111,.111,.111,.222
4,2018-04-07,1,1,1,1,1,0,0,0,0,0,.200,.200,.300,.500
5,2018-04-09,0,0,0,0,0,0,0,0,0,0,.200,.200,.300,.500
6,2018-04-11,4,3,1,1,0,0,0,1,1,1,.231,.286,.308,.593
7,2018-04-21,3,3,0,1,0,0,0,0,0,1,.250,.294,.313,.607
8,2018-04-22,4,4,1,1,0,0,0,0,0,1,.250,.286,.300,.586
9,2018-04-23,0,0,0,0,0,0,0,0,0,0,.250,.286,.300,.586
10,2018-04-24,4,4,0,0,0,0,0,0,0,3,.208,.240,.250,.490
11,2018-04-26,4,3,0,1,0,0,0,0,1,0,.222,.276,.259,.535
12,2018-04-27,1,1,0,0,0,0,0,0,0,1,.214,.267,.250,.517
13,2018-04-28,3,2,0,1,1,0,0,0,1,0,.233,.303,.300,.603
14,2018-04-29,4,4,0,1,1,0,0,0,0,2,.235,.297,.324,.621
15,2018-04-30,4,3,0,0,0,0,0,0,1,1,.216,.293,.297,.590
16,April,37,33,3,7,3,0,0,1,4,13,.212,.297,.303,.600
17,2018-05-01,3,3,0,0,0,0,0,0,0,2,.200,.273,.275,.548
18,2018-05-04,4,4,1,1,0,0,0,0,0,2,.205,.271,.273,.544
19,2018-05-05,5,5,0,1,1,0,0,1,0,1,.204,.264,.286,.550
20,2018-05-06,4,3,0,0,0,0,0,0,1,1,.192,.263,.269,.532
21,2018-05-07,4,2,0,1,0,0,0,0,1,1,.204,.295,.278,.573
22,2018-05-08,4,3,1,1,0,0,0,1,0,0,.211,.292,.281,.573
23,2018-05-10,3,3,1,1,0,0,0,0,0,0,.217,.294,.283,.578
24,2018-05-11,3,3,0,0,0,0,0,0,0,1,.206,.282,.270,.552
25,2018-05-12,3,3,1,1,0,0,0,0,0,1,.212,.284,.273,.556
26,2018-05-13,1,1,1,1,0,0,0,0,0,0,.224,.293,.284,.577
27,2018-05-14,3,3,0,1,0,0,0,0,0,0,.229,.295,.286,.581
28,2018-05-15,3,3,0,1,0,0,0,0,0,0,.233,.296,.288,.584
29,2018-05-16,3,3,0,0,0,0,0,0,0,1,.224,.286,.276,.562
30,2018-05-18,4,4,0,0,0,0,0,0,0,2,.213,.273,.263,.535
31,2018-05-19,4,3,0,0,0,0,0,0,1,2,.205,.272,.253,.525
32,2018-05-21,4,3,0,1,1,0,0,0,0,1,.209,.274,.267,.541
33,2018-05-22,3,2,2,2,2,0,0,2,1,0,.227,.296,.307,.603
34,2018-05-23,3,3,0,0,0,0,0,0,0,0,.220,.287,.297,.584
35,2018-05-25,3,3,0,1,0,0,0,0,0,2,.223,.288,.298,.586
36,2018-05-26,1,1,1,0,0,0,0,0,0,1,.221,.286,.295,.580
37,2018-05-27,3,3,0,0,0,0,0,0,0,0,.214,.278,.286,.564
38,2018-05-29,6,5,1,2,0,0,0,0,0,0,.223,.283,.291,.574
39,2018-05-30,4,4,1,2,1,0,1,2,0,1,.234,.291,.336,.627
40,May,78,70,10,17,5,0,1,6,4,19,.243,.289,.357,.647
41,2018-06-02,4,3,1,0,0,0,0,0,1,2,.227,.289,.327,.616
42,2018-06-03,0,0,0,0,0,0,0,0,0,0,.227,.289,.327,.616
43,2018-06-05,3,3,0,0,0,0,0,0,0,0,.221,.282,.319,.601
44,2018-06-05,4,4,0,1,1,0,0,0,0,0,.222,.281,.325,.606
45,2018-06-06,3,3,1,2,2,0,0,1,0,1,.233,.290,.350,.640
46,2018-06-07,4,3,2,1,0,0,1,1,1,0,.236,.296,.374,.670
47,2018-06-08,1,1,0,0,0,0,0,0,0,0,.234,.294,.371,.665
48,2018-06-09,3,2,0,1,1,0,0,0,1,1,.238,.302,.381,.683
49,2018-06-10,4,3,1,1,0,1,0,1,1,0,.240,.308,.395,.703
50,2018-06-12,4,4,2,3,0,0,1,4,0,1,.256,.320,.429,.748
51,2018-06-13,4,4,0,0,0,0,0,0,0,2,.248,.311,.416,.727
52,2018-06-14,3,3,0,1,0,0,0,0,0,0,.250,.312,.414,.726
53,2018-06-15,3,3,0,1,0,0,0,0,0,0,.252,.312,.413,.725
54,2018-06-16,4,4,1,1,1,0,0,0,0,0,.252,.311,.415,.726
55,2018-06-17,4,3,0,1,0,0,0,0,1,1,.253,.315,.413,.728
56,2018-06-19,4,4,0,1,0,0,0,0,0,2,.253,.314,.409,.723
57,2018-06-20,4,4,0,1,0,0,0,0,0,2,.253,.312,.405,.717
58,2018-06-21,3,3,0,0,0,0,0,0,0,2,.248,.307,.398,.704
59,2018-06-22,3,3,0,0,0,0,0,0,0,2,.244,.302,.390,.692
60,2018-06-24,3,3,0,0,0,0,0,0,0,1,.240,.297,.383,.680
61,2018-06-26,3,3,1,2,0,0,1,2,0,0,.247,.303,.406,.709
62,2018-06-27,4,4,0,4,1,0,0,1,0,0,.264,.317,.425,.743
63,2018-06-28,6,5,0,1,0,0,0,0,1,0,.263,.318,.419,.737
64,2018-06-29,4,3,1,0,0,0,0,0,0,0,.258,.313,.412,.725
65,2018-06-30,5,5,1,2,0,0,0,2,0,1,.262,.315,.412,.727
66,June,87,80,11,24,6,1,3,12,6,18,.300,.349,.513,.861
67,2018-07-01,1,1,0,0,0,0,0,0,0,0,.261,.314,.410,.723
68,2018-07-12,3,3,0,1,0,0,0,0,0,0,.262,.314,.408,.722
69,2018-07-14,5,3,1,1,0,0,0,0,2,1,.263,.321,.407,.728
70,2018-07-15,1,1,0,0,0,0,0,0,0,0,.262,.319,.405,.724
71,2018-07-22,3,2,0,0,0,0,0,0,1,2,.259,.319,.401,.720
72,2018-07-23,1,1,0,0,0,0,0,0,0,0,.258,.318,.399,.717
73,2018-07-26,4,4,0,0,0,0,0,0,0,1,.252,.312,.391,.703
74,2018-07-27,3,2,0,0,0,0,0,0,1,2,.250,.313,.387,.700
75,2018-07-30,0,0,1,0,0,0,0,0,0,0,.250,.313,.387,.700
76,2018-07-31,3,2,0,0,0,0,0,0,0,1,.248,.310,.383,.693
77,July,24,19,2,2,0,0,0,0,4,7,.105,.261,.105,.366
78,2018-08-01,2,2,0,0,0,0,0,0,0,2,.245,.307,.380,.687
79,2018-08-05,4,3,2,1,0,0,0,1,1,0,.246,.310,.379,.690
80,2018-08-06,1,1,0,0,0,0,0,0,0,1,.245,.309,.377,.686
81,2018-08-08,1,1,0,0,0,0,0,0,0,1,.244,.308,.376,.683
82,2018-08-09,4,4,0,0,0,0,0,0,0,2,.240,.303,.369,.671
83,2018-08-10,4,4,0,3,1,0,0,1,0,0,.249,.310,.380,.690
84,2018-08-11,3,3,0,1,0,0,0,0,0,1,.250,.310,.379,.690
