,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,3,0,1,0,0,0,0,1,0,.333,.500,.333,.833
1,2019-03-30,5,5,0,4,2,0,0,2,0,1,.625,.667,.875,1.542
2,March,13,10,0,6,2,0,0,2,3,1,.600,.692,.800,1.492
3,2019-03-31,4,2,0,1,0,0,0,0,2,0,.600,.692,.800,1.492
4,2019-04-01,5,4,1,1,1,0,0,0,1,1,.500,.611,.714,1.325
5,2019-04-03,5,3,1,0,0,0,0,0,2,2,.412,.565,.588,1.153
6,2019-04-04,5,3,2,1,0,0,0,0,2,0,.400,.571,.550,1.121
7,2019-04-05,4,4,1,1,0,0,0,0,0,0,.375,.531,.500,1.031
8,2019-04-06,5,3,0,2,1,0,0,1,2,0,.407,.568,.556,1.123
9,2019-04-07,4,4,2,2,0,0,1,2,0,0,.419,.561,.645,1.206
10,2019-04-08,5,5,1,1,0,0,0,0,0,2,.389,.522,.583,1.105
11,2019-04-09,4,4,2,2,0,0,0,1,0,0,.400,.520,.575,1.095
12,2019-04-11,5,5,1,1,1,0,0,0,0,1,.378,.491,.556,1.046
13,2019-04-12,4,2,1,0,0,0,0,0,2,0,.362,.492,.532,1.023
14,2019-04-13,5,5,2,2,0,0,0,1,0,0,.365,.484,.519,1.004
15,2019-04-14,5,3,0,0,0,0,0,0,2,1,.345,.478,.491,.969
16,2019-04-16,5,5,1,1,1,0,0,1,0,1,.333,.459,.483,.943
17,2019-04-17,5,5,0,1,0,0,0,0,0,3,.323,.443,.462,.905
18,2019-04-18,4,3,1,1,0,0,1,1,0,1,.324,.446,.500,.946
19,2019-04-20,4,3,1,0,0,0,0,0,1,1,.310,.437,.479,.916
20,2019-04-20,5,4,0,0,0,0,0,1,1,2,.293,.424,.453,.877
21,2019-04-21,5,4,2,3,1,0,0,2,1,0,.316,.443,.481,.924
22,2019-04-23,5,5,1,1,0,0,0,1,0,3,.310,.431,.464,.896
23,2019-04-24,5,4,0,1,0,0,0,0,0,0,.307,.430,.455,.884
24,2019-04-25,4,4,1,3,0,0,1,2,0,0,.326,.441,.500,.941
25,2019-04-26,5,4,0,0,0,0,0,0,1,1,.313,.431,.479,.910
26,2019-04-27,4,3,1,1,0,0,1,1,1,2,.313,.433,.505,.938
