,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-04-22,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2018-04-23,4,4,1,1,0,0,0,0,0,0,.125,.125,.125,.250
2,2018-04-24,4,4,0,2,0,0,0,1,0,0,.250,.250,.250,.500
3,2018-04-25,4,4,2,2,1,0,0,0,0,0,.313,.313,.375,.688
4,2018-04-26,3,3,0,1,0,0,0,0,0,1,.316,.316,.368,.684
5,2018-04-27,4,3,0,0,0,0,0,0,1,1,.273,.304,.318,.622
6,2018-04-28,5,5,0,2,1,0,0,1,0,1,.296,.321,.370,.692
7,2018-04-29,3,2,0,1,0,0,0,0,1,1,.310,.355,.379,.734
8,2018-04-30,3,2,1,1,1,0,0,0,1,0,.323,.382,.419,.802
9,April,34,31,4,10,3,0,0,2,3,5,.323,.382,.419,.802
10,2018-05-01,3,3,0,0,0,0,0,0,0,2,.294,.351,.382,.734
11,2018-05-02,4,4,0,2,0,0,0,0,0,0,.316,.366,.395,.761
12,2018-05-03,4,3,0,1,0,0,0,3,0,1,.317,.356,.390,.746
13,2018-05-04,4,4,1,2,0,0,1,3,0,0,.333,.367,.467,.834
14,2018-05-05,3,3,1,1,0,0,0,0,0,2,.333,.365,.458,.824
15,2018-05-06,4,4,1,1,0,0,1,3,0,2,.327,.357,.500,.857
16,2018-05-08,3,2,0,1,0,0,0,0,1,0,.333,.373,.500,.873
17,2018-05-09,4,3,1,1,0,0,0,0,1,0,.333,.381,.491,.872
18,2018-05-10,4,4,1,2,0,0,0,0,0,2,.344,.388,.492,.880
19,2018-05-11,4,3,1,1,0,0,1,1,0,1,.344,.386,.531,.917
20,2018-05-12,5,5,0,0,0,0,0,0,0,3,.319,.360,.493,.853
21,2018-05-15,4,3,0,2,0,0,0,0,0,1,.333,.380,.500,.880
22,2018-05-18,4,2,0,1,0,0,0,0,2,0,.338,.398,.500,.898
23,2018-05-19,4,4,1,1,0,0,1,3,0,1,.333,.391,.526,.916
24,2018-05-20,5,4,0,0,0,0,0,0,1,1,.317,.380,.500,.880
25,2018-05-21,4,3,2,2,0,0,2,3,0,0,.329,.396,.576,.972
26,2018-05-22,4,4,1,2,0,0,1,1,0,0,.337,.400,.607,1.007
27,2018-05-23,5,5,1,1,0,0,1,3,0,2,.330,.390,.617,1.007
28,2018-05-25,3,3,1,2,0,0,1,2,0,1,.340,.398,.649,1.048
29,2018-05-26,4,3,0,0,0,0,0,0,1,2,.330,.393,.630,1.023
30,2018-05-27,1,1,0,0,0,0,0,0,0,0,.327,.389,.624,1.013
31,2018-05-28,4,4,0,1,0,0,0,0,0,2,.324,.385,.610,.994
32,2018-05-29,5,5,0,2,0,0,0,2,0,2,.327,.385,.600,.985
33,2018-05-30,4,4,1,1,1,0,0,0,0,1,.325,.381,.596,.977
34,May,93,83,13,27,1,0,9,24,6,26,.325,.380,.663,1.043
35,2018-06-01,4,4,0,2,1,0,0,1,0,0,.331,.385,.602,.986
36,2018-06-02,4,3,0,0,0,0,0,0,0,1,.322,.381,.587,.967
37,2018-06-04,4,3,1,1,0,0,1,1,1,0,.323,.384,.605,.989
38,2018-06-04,4,4,0,0,0,0,0,0,0,1,.313,.373,.586,.959
39,2018-06-05,4,4,0,0,0,0,0,0,0,2,.303,.363,.568,.931
40,2018-06-06,5,5,0,1,0,0,0,0,0,2,.299,.358,.555,.912
41,2018-06-08,3,3,1,2,0,0,0,0,0,1,.307,.364,.557,.921
42,2018-06-09,4,3,1,1,0,0,1,1,1,1,.308,.367,.573,.940
43,2018-06-10,3,3,0,0,0,0,0,0,0,1,.301,.360,.562,.922
44,2018-06-12,3,3,0,1,0,0,0,0,0,1,.302,.360,.557,.917
45,2018-06-13,4,4,1,1,0,0,1,1,0,2,.301,.357,.569,.926
46,2018-06-14,4,4,1,1,0,0,1,3,0,2,.299,.355,.580,.934
47,2018-06-15,3,3,0,0,0,0,0,0,0,2,.294,.349,.569,.917
48,2018-06-16,3,3,0,1,1,0,0,1,0,1,.294,.348,.571,.919
49,2018-06-17,4,4,0,0,0,0,0,0,0,2,.287,.341,.557,.898
50,2018-06-18,5,4,0,1,0,0,0,0,1,0,.287,.342,.550,.892
51,2018-06-19,4,4,1,2,0,0,1,1,0,0,.291,.346,.566,.911
52,2018-06-20,4,3,1,0,0,0,0,0,1,0,.287,.344,.556,.900
53,2018-06-21,4,4,1,2,1,0,0,0,0,2,.291,.347,.560,.907
54,2018-06-22,4,2,1,0,0,0,0,0,2,0,.288,.350,.554,.904
55,2018-06-24,5,5,0,1,0,0,0,0,0,0,.286,.346,.545,.891
56,2018-06-25,4,4,0,1,1,0,0,1,0,1,.285,.344,.544,.888
57,2018-06-26,4,4,0,2,1,0,0,2,0,0,.289,.347,.548,.895
58,2018-06-27,4,4,0,0,0,0,0,0,0,2,.284,.341,.537,.878
59,2018-06-29,4,3,1,2,0,1,0,1,0,0,.289,.344,.549,.893
60,2018-06-30,4,4,0,1,0,0,0,0,0,3,.288,.342,.543,.885
61,June,102,94,10,23,5,1,5,13,6,27,.245,.294,.479,.773
62,2018-07-01,5,4,1,1,0,0,1,3,1,1,.288,.343,.552,.895
63,2018-07-02,5,4,2,3,1,0,0,0,1,0,.296,.353,.560,.913
64,2018-07-03,0,0,0,0,0,0,0,0,0,0,.296,.353,.560,.913
65,2018-07-04,2,2,0,0,0,0,0,0,0,2,.294,.350,.555,.905
66,2018-07-25,4,3,1,0,0,0,0,0,1,2,.290,.348,.548,.896
67,2018-07-26,4,4,0,1,0,0,0,0,0,1,.289,.347,.542,.889
68,2018-07-28,5,5,1,2,1,0,0,1,0,0,.291,.348,.543,.891
69,2018-07-28,1,0,0,0,0,0,0,0,1,0,.291,.350,.543,.894
70,2018-07-29,4,4,0,0,0,0,0,1,0,2,.286,.345,.534,.879
71,2018-07-31,4,4,0,1,0,0,0,1,0,0,.286,.344,.529,.873
72,July,34,30,5,8,2,0,1,6,4,8,.267,.353,.433,.786
73,2018-08-01,5,4,2,2,0,0,2,4,1,1,.289,.348,.554,.902
74,2018-08-02,4,3,0,0,0,0,0,0,1,2,.286,.347,.547,.894
75,2018-08-03,3,3,0,0,0,0,0,0,0,2,.282,.343,.540,.883
76,2018-08-04,4,3,0,0,0,0,0,0,1,1,.279,.342,.534,.876
77,2018-08-05,5,2,0,0,0,0,0,1,2,1,.277,.343,.530,.872
78,2018-08-06,5,5,1,2,0,0,1,2,0,1,.279,.344,.539,.882
79,2018-08-07,6,5,0,0,0,0,0,0,1,1,.274,.340,.529,.869
80,2018-08-08,5,3,1,1,0,0,0,0,2,1,.274,.344,.526,.871
81,2018-08-10,5,5,0,0,0,0,0,0,0,1,.269,.339,.517,.855
82,2018-08-11,4,4,0,1,0,0,0,0,0,1,.269,.338,.513,.850
83,2018-08-12,4,4,0,0,0,0,0,0,0,1,.265,.333,.505,.839
84,2018-08-13,4,4,0,0,0,0,0,0,0,2,.261,.329,.498,.827
85,2018-08-14,4,4,0,0,0,0,0,0,0,2,.258,.325,.491,.816
86,2018-08-16,4,4,0,1,0,0,0,0,0,2,.258,.324,.488,.812
87,2018-08-17,3,3,1,1,1,0,0,1,0,1,.259,.324,.490,.814
88,2018-08-18,4,4,1,2,0,0,0,0,0,1,.262,.326,.490,.816
89,2018-08-19,5,4,2,2,0,0,0,0,1,1,.265,.330,.490,.820
90,2018-08-21,5,5,0,2,0,0,0,0,0,0,.267,.331,.489,.820
91,2018-08-22,4,4,0,0,0,0,0,0,0,1,.264,.328,.482,.810
92,2018-08-24,5,3,1,1,0,0,0,2,2,0,.264,.331,.481,.812
93,2018-08-25,4,4,1,2,0,0,1,1,0,1,.267,.333,.491,.824
94,2018-08-25,4,3,1,2,0,0,0,0,1,0,.271,.338,.492,.830
95,2018-08-26,4,4,0,0,0,0,0,0,0,2,.268,.334,.486,.820
96,2018-08-27,4,2,1,1,0,0,1,2,2,1,.269,.339,.495,.834
97,2018-08-28,4,2,0,1,0,0,0,0,2,0,.271,.343,.495,.839
98,2018-08-29,4,4,0,2,0,0,0,0,0,1,.273,.345,.495,.840
99,2018-08-30,4,4,1,3,0,0,1,2,0,1,.279,.349,.507,.857
100,2018-08-31,4,4,0,2,0,0,0,2,0,1,.282,.351,.507,.858
101,August,120,103,13,28,1,0,6,17,16,30,.272,.367,.456,.823
102,2018-09-01,3,3,1,1,0,0,1,2,0,2,.282,.351,.515,.865
103,2018-09-02,5,4,0,1,0,0,0,2,1,1,.282,.351,.511,.863
104,2018-09-03,4,3,0,0,0,0,0,0,1,0,.279,.350,.507,.857
105,2018-09-04,4,3,0,1,0,0,0,0,1,2,.280,.352,.506,.857
106,2018-09-05,3,3,0,0,0,0,0,0,0,0,.277,.349,.501,.850
107,2018-09-07,4,4,1,1,0,0,1,2,0,2,.277,.348,.507,.855
108,2018-09-08,4,3,0,2,0,0,0,1,0,1,.280,.350,.508,.858
109,2018-09-09,4,4,0,1,0,0,0,0,0,1,.280,.349,.505,.854
110,2018-09-10,5,4,0,1,0,0,0,1,1,0,.280,.349,.503,.852
111,2018-09-11,3,3,0,0,0,0,0,0,0,0,.277,.347,.499,.846
112,2018-09-12,3,3,0,0,0,0,0,0,0,1,.275,.344,.495,.839
113,2018-09-14,4,4,1,2,0,0,0,1,0,0,.277,.346,.495,.841
