,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-30,7,5,3,3,1,0,1,4,1,1,.600,.667,1.400,2.067
1,March,7,5,3,3,1,0,1,4,1,1,.600,.667,1.400,2.067
2,2018-04-01,4,3,0,1,1,0,0,1,1,1,.500,.600,1.125,1.725
3,2018-04-01,4,4,0,0,0,0,0,0,0,2,.333,.429,.750,1.179
4,2018-04-02,5,1,1,1,1,0,0,1,4,0,.385,.579,.846,1.425
5,2018-04-04,5,4,0,0,0,0,0,0,1,1,.294,.500,.647,1.147
6,2018-04-05,5,4,1,1,0,0,1,3,0,1,.286,.448,.714,1.163
7,2018-04-06,5,4,2,1,1,0,0,2,1,0,.280,.441,.680,1.121
8,2018-04-08,4,4,1,2,0,0,1,2,0,0,.310,.447,.759,1.206
9,2018-04-10,5,5,0,0,0,0,0,0,0,2,.265,.395,.647,1.042
10,2018-04-11,4,3,1,0,0,0,0,0,1,1,.243,.383,.595,.978
11,2018-04-12,5,5,2,2,0,0,2,2,0,3,.262,.385,.714,1.099
12,2018-04-13,4,4,0,0,0,0,0,0,0,2,.239,.357,.652,1.009
13,2018-04-14,4,4,0,0,0,0,0,0,0,0,.220,.333,.600,.933
14,2018-04-15,5,5,1,1,0,0,0,0,0,2,.218,.323,.564,.887
15,2018-04-16,4,3,1,0,0,0,0,0,1,0,.207,.319,.534,.853
16,2018-04-17,4,3,0,0,0,0,0,0,1,0,.197,.315,.508,.823
17,2018-04-19,4,4,0,0,0,0,0,0,0,2,.185,.299,.477,.776
18,2018-04-20,4,3,0,2,1,0,0,0,1,1,.206,.321,.500,.821
19,2018-04-21,4,4,0,1,0,0,0,0,0,1,.208,.318,.486,.804
20,2018-04-22,5,4,0,0,0,0,0,0,1,2,.197,.311,.461,.772
21,2018-04-25,5,4,1,1,0,0,0,0,1,1,.200,.316,.450,.766
22,2018-04-26,4,3,0,1,1,0,0,0,1,0,.205,.323,.458,.781
23,2018-04-27,6,6,1,2,0,0,1,1,0,2,.213,.324,.483,.807
