,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021-04-04,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2021-04-05,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2021-04-06,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000
4,2021-04-10,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,2021-04-12,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,2021-04-13,1,0,0,0,0,0,0,0,1,0,.000,.143,.000,.143
7,2021-04-14,4,3,0,0,0,0,0,0,1,1,.000,.182,.000,.182
8,2021-04-15,1,1,0,1,0,0,0,0,0,0,.100,.250,.100,.350
9,2021-04-18,4,4,0,3,0,0,0,2,0,1,.286,.375,.286,.661
10,2021-04-21,3,3,0,1,0,0,0,1,0,1,.294,.368,.294,.662
11,2021-04-24,3,3,0,1,0,0,0,0,0,0,.300,.364,.300,.664
12,2021-04-26,5,3,0,0,0,0,0,0,2,1,.261,.370,.261,.631
13,2021-04-29,3,3,0,1,0,0,0,0,0,0,.269,.367,.269,.636
14,2021-04-30,4,4,0,0,0,0,0,0,0,2,.233,.324,.233,.557
15,April,34,30,1,7,0,0,0,3,4,9,.233,.324,.233,.557
16,2021-05-01,1,1,0,0,0,0,0,0,0,0,.226,.314,.226,.540
17,2021-05-02,3,3,0,0,0,0,0,0,0,1,.206,.289,.206,.495
18,2021-05-06,5,5,1,3,0,0,0,2,0,0,.256,.326,.256,.582
19,2021-05-08,5,4,1,3,0,0,0,0,0,0,.302,.362,.302,.664
20,2021-05-11,5,5,0,2,0,0,0,0,0,1,.313,.365,.313,.678
21,2021-05-14,3,3,0,0,0,0,0,0,0,1,.294,.345,.294,.640
22,2021-05-15,6,6,0,1,0,0,0,2,0,3,.281,.328,.281,.609
23,2021-05-16,4,4,1,2,0,0,0,0,0,0,.295,.338,.295,.634
24,2021-05-18,4,4,1,3,1,0,0,0,0,0,.323,.362,.338,.701
25,2021-05-19,5,5,0,3,0,0,0,3,0,0,.343,.378,.357,.736
26,2021-05-22,5,4,0,2,0,0,0,1,1,0,.351,.392,.365,.757
27,2021-05-25,4,4,0,2,0,0,0,0,0,0,.359,.398,.372,.769
28,2021-05-26,4,4,0,0,0,0,0,0,0,2,.341,.379,.354,.733
29,2021-05-27,4,2,0,0,0,0,0,0,2,0,.333,.385,.345,.730
30,2021-05-28,4,4,0,1,0,0,0,0,0,1,.330,.379,.341,.720
31,2021-05-31,5,5,1,1,0,0,0,0,0,2,.323,.370,.333,.703
32,May,67,63,5,23,1,0,0,8,3,11,.365,.394,.381,.775
33,2021-06-01,1,1,0,0,0,0,0,0,0,0,.319,.366,.330,.696
34,2021-06-05,4,4,0,0,0,0,0,0,0,0,.306,.352,.316,.669
35,2021-06-11,5,5,0,0,0,0,0,0,0,1,.291,.336,.301,.637
36,2021-06-12,4,4,1,1,0,0,1,2,0,1,.290,.333,.327,.660
37,2021-06-13,3,3,0,0,0,0,0,0,0,1,.282,.325,.318,.643
38,2021-06-14,5,5,1,1,0,0,0,0,0,1,.278,.320,.313,.633
39,2021-06-16,5,5,0,1,1,0,0,0,0,3,.275,.315,.317,.632
40,2021-06-17,2,2,0,0,0,0,0,0,0,0,.270,.310,.311,.622
41,2021-06-18,2,1,1,0,0,0,0,0,1,1,.268,.313,.309,.622
42,2021-06-19,4,4,0,0,0,0,0,0,0,1,.260,.304,.299,.603
43,2021-06-22,4,2,1,0,0,0,0,1,1,0,.256,.304,.295,.599
44,2021-06-24,4,3,1,0,0,0,0,0,1,2,.250,.303,.288,.591
45,2021-06-26,3,3,1,1,0,0,0,0,0,1,.252,.303,.289,.592
46,2021-06-28,4,3,0,0,0,0,0,0,1,2,.246,.302,.283,.585
47,2021-06-30,4,3,2,3,1,0,0,3,1,0,.262,.320,.305,.625
48,June,54,48,8,7,2,0,1,6,5,14,.146,.226,.250,.476
49,2021-07-02,4,4,0,1,0,0,0,0,0,2,.262,.318,.303,.622
50,2021-07-04,4,4,0,2,0,0,0,1,0,2,.268,.323,.309,.632
51,2021-07-07,4,4,1,2,0,0,0,0,0,1,.275,.327,.314,.641
52,2021-07-10,4,4,0,2,0,0,0,1,0,0,.280,.331,.318,.650
