,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-03,1,0,0,0,0,0,0,0,1,0,.000,1.000,.000,1.000
1,2021-04-05,0,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
2,2021-04-12,1,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
3,2021-04-13,3,3,0,0,0,0,0,0,0,0,.000,.200,.000,.200
4,2021-04-14,1,1,0,1,0,0,0,0,0,0,.200,.333,.200,.533
5,2021-04-15,0,0,0,0,0,0,0,0,0,0,.200,.333,.200,.533
6,2021-04-17,3,3,1,2,0,1,0,0,0,1,.375,.444,.625,1.069
7,2021-04-18,0,0,0,0,0,0,0,0,0,0,.375,.444,.625,1.069
8,2021-04-21,0,0,1,0,0,0,0,0,0,0,.375,.444,.625,1.069
9,2021-04-23,1,1,0,0,0,0,0,0,0,0,.333,.400,.556,.956
10,2021-04-25,1,1,0,0,0,0,0,0,0,1,.300,.364,.500,.864
11,2021-04-26,3,3,1,1,1,0,0,0,0,1,.308,.357,.538,.896
12,2021-04-28,0,0,0,0,0,0,0,0,0,0,.308,.357,.538,.896
13,April,14,13,3,4,1,1,0,0,1,3,.308,.357,.538,.896
14,2021-05-01,1,1,0,0,0,0,0,0,0,0,.286,.333,.500,.833
15,2021-05-02,1,0,0,0,0,0,0,0,1,0,.286,.375,.500,.875
16,2021-05-03,4,3,0,1,0,0,0,0,1,1,.294,.400,.471,.871
17,2021-05-08,4,3,1,1,0,1,0,0,1,1,.300,.417,.550,.967
18,2021-05-11,0,0,0,0,0,0,0,0,0,0,.300,.417,.550,.967
19,2021-05-12,3,3,0,0,0,0,0,0,0,0,.261,.370,.478,.849
20,2021-05-13,0,0,0,0,0,0,0,0,0,0,.261,.370,.478,.849
21,2021-05-14,3,3,0,1,0,0,0,0,0,1,.269,.367,.462,.828
22,2021-05-15,4,3,0,0,0,0,0,0,0,1,.241,.333,.414,.747
23,2021-05-16,0,0,0,0,0,0,0,0,0,0,.241,.333,.414,.747
24,2021-05-18,0,0,0,0,0,0,0,0,0,0,.241,.333,.414,.747
25,2021-05-19,1,1,1,0,0,0,0,0,0,0,.233,.324,.400,.724
26,2021-05-26,4,4,0,0,0,0,0,0,0,0,.206,.289,.353,.642
27,2021-05-27,2,2,0,1,0,0,0,0,0,0,.222,.300,.361,.661
28,2021-05-30,4,4,1,2,0,0,0,0,0,0,.250,.318,.375,.693
29,May,31,27,3,6,0,1,0,0,3,4,.222,.300,.296,.596
30,2021-06-03,0,0,1,0,0,0,0,0,0,0,.250,.318,.375,.693
31,2021-06-04,1,1,0,1,0,0,0,1,0,0,.268,.333,.390,.724
32,2021-06-05,0,0,0,0,0,0,0,0,0,0,.268,.333,.390,.724
33,2021-06-06,3,3,0,1,0,0,0,0,0,1,.273,.333,.386,.720
34,2021-06-11,0,0,0,0,0,0,0,0,0,0,.273,.333,.386,.720
35,2021-06-12,4,3,0,1,0,0,0,0,1,0,.277,.346,.383,.729
36,2021-06-15,3,3,1,1,1,0,0,0,0,0,.280,.345,.400,.746
37,2021-06-16,0,0,0,0,0,0,0,0,0,0,.280,.345,.400,.746
38,2021-06-18,0,0,0,0,0,0,0,0,0,0,.280,.345,.400,.746
39,2021-06-20,4,4,0,1,1,0,0,2,0,1,.278,.339,.407,.746
40,2021-06-22,1,1,1,0,0,0,0,1,0,0,.273,.333,.400,.733
41,2021-06-23,1,1,0,0,0,0,0,0,0,0,.268,.328,.393,.721
42,2021-06-24,4,3,0,1,0,0,0,0,0,1,.271,.328,.390,.718
43,2021-06-26,3,3,0,0,0,0,0,0,0,2,.258,.313,.371,.684
44,2021-06-27,4,4,0,0,0,0,0,0,0,2,.242,.296,.348,.644
45,June,28,26,3,6,2,0,0,4,1,7,.231,.259,.308,.567
46,2021-07-01,4,4,0,1,1,0,0,1,0,0,.243,.293,.357,.650
47,2021-07-02,1,1,0,0,0,0,0,0,0,1,.239,.289,.352,.642
48,2021-07-03,1,1,0,0,0,0,0,0,0,0,.236,.286,.347,.633
49,2021-07-04,4,4,0,2,0,0,0,2,0,2,.250,.296,.355,.652
50,2021-07-05,1,1,0,0,0,0,0,0,0,0,.247,.293,.351,.643
51,2021-07-07,0,0,0,0,0,0,0,0,0,0,.247,.293,.351,.643
52,2021-07-08,4,4,0,1,1,0,0,0,0,2,.247,.291,.358,.649
53,2021-07-09,0,0,0,0,0,0,0,0,0,0,.247,.291,.358,.649
54,2021-07-10,1,1,0,0,0,0,0,0,0,1,.244,.287,.354,.641
55,2021-07-16,1,1,0,0,0,0,0,0,0,1,.241,.284,.349,.634
56,2021-07-20,0,0,0,0,0,0,0,0,0,0,.241,.284,.349,.634
57,2021-07-21,1,1,0,0,0,0,0,0,0,1,.238,.281,.345,.626
58,2021-07-23,3,2,0,0,0,0,0,0,0,0,.233,.275,.337,.612
59,2021-07-24,0,0,0,0,0,0,0,0,0,0,.233,.275,.337,.612
60,2021-07-25,3,3,0,1,0,0,0,1,0,1,.236,.277,.337,.614
61,2021-07-26,3,3,1,1,1,0,0,0,0,0,.239,.278,.348,.626
62,2021-07-27,1,1,0,0,0,0,0,0,0,0,.237,.276,.344,.620
63,2021-07-28,0,0,0,0,0,0,0,0,0,0,.237,.276,.344,.620
64,2021-07-29,0,0,0,0,0,0,0,0,0,0,.237,.276,.344,.620
65,2021-07-30,4,4,1,2,1,0,0,0,0,0,.247,.284,.361,.645
66,2021-07-31,2,2,0,0,0,0,0,0,0,1,.242,.279,.354,.632
67,July,34,33,2,8,4,0,0,4,0,10,.242,.242,.364,.606
68,2021-08-03,2,2,0,0,0,0,0,0,0,1,.238,.274,.347,.620
69,2021-08-06,4,4,0,0,0,0,0,0,0,0,.229,.264,.333,.597
70,2021-08-08,1,1,1,0,0,0,0,0,0,0,.226,.261,.330,.591
71,2021-08-09,2,1,1,0,0,0,0,1,0,1,.224,.257,.327,.584
72,2021-08-13,3,3,0,0,0,0,0,0,0,2,.218,.250,.318,.568
73,2021-08-18,3,3,0,0,0,0,0,0,0,0,.212,.244,.310,.553
74,2021-08-19,4,4,0,1,0,0,0,0,0,0,.214,.244,.308,.552
75,2021-08-20,1,1,0,1,0,0,0,1,0,0,.220,.250,.314,.564
76,2021-08-21,0,0,0,0,0,0,0,0,0,0,.220,.250,.314,.564
77,2021-08-23,0,0,0,0,0,0,0,0,0,0,.220,.250,.314,.564
78,2021-08-24,3,2,0,0,0,0,0,0,1,0,.217,.252,.308,.560
79,2021-08-25,1,1,0,0,0,0,0,0,0,0,.215,.250,.306,.556
80,2021-08-26,1,1,0,1,0,0,0,0,0,0,.221,.256,.311,.567
81,2021-08-29,1,1,0,0,0,0,0,0,0,1,.220,.254,.309,.563
82,2021-08-30,3,2,0,1,0,0,0,0,1,0,.224,.263,.312,.575
83,2021-08-31,1,1,0,0,0,0,0,0,0,1,.222,.261,.310,.571
84,August,30,27,2,4,0,0,0,2,2,6,.148,.200,.148,.348
85,2021-09-01,0,0,0,0,0,0,0,0,0,0,.222,.261,.310,.571
86,2021-09-03,0,0,1,0,0,0,0,0,0,0,.222,.261,.310,.571
87,2021-09-04,0,0,0,0,0,0,0,0,0,0,.222,.261,.310,.571
88,2021-09-06,0,0,0,0,0,0,0,0,0,0,.222,.261,.310,.571
89,2021-09-07,1,1,0,0,0,0,0,0,0,1,.220,.259,.307,.566
90,2021-09-08,1,0,1,0,0,0,0,0,1,0,.220,.265,.307,.572
91,2021-09-09,0,0,0,0,0,0,0,0,0,0,.220,.265,.307,.572
92,2021-09-10,2,2,0,0,0,0,0,0,0,2,.217,.261,.302,.563
93,2021-09-11,0,0,1,0,0,0,0,0,0,0,.217,.261,.302,.563
94,2021-09-11,1,1,1,0,0,0,0,0,0,0,.215,.259,.300,.559
95,2021-09-12,1,0,0,0,0,0,0,0,1,0,.215,.264,.300,.564
96,2021-09-15,0,0,0,0,0,0,0,0,0,0,.215,.264,.300,.564
97,2021-09-18,0,0,0,0,0,0,0,0,0,0,.215,.264,.300,.564
98,2021-09-19,0,0,0,0,0,0,0,0,0,0,.215,.264,.300,.564
99,2021-09-20,0,0,0,0,0,0,0,0,0,0,.215,.264,.300,.564
100,2021-09-21,1,1,0,0,0,0,0,0,0,0,.214,.262,.298,.560
101,2021-09-22,4,3,0,0,0,0,0,0,1,0,.209,.262,.291,.553
102,2021-09-25,0,0,0,0,0,0,0,0,0,0,.209,.262,.291,.553
103,2021-09-26,1,1,0,0,0,0,0,0,0,0,.207,.260,.289,.549
104,2021-09-29,0,0,0,0,0,0,0,0,0,0,.207,.260,.289,.549
105,September,12,9,4,0,0,0,0,0,3,3,.000,.250,.000,.250
106,2021-10-01,0,0,0,0,0,0,0,0,0,0,.207,.260,.289,.549
107,2021-10-02,0,0,0,0,0,0,0,0,0,0,.207,.260,.289,.549
108,October,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
