,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,March,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2019-04-02,3,2,0,0,0,0,0,0,1,0,.000,.167,.000,.167
3,2019-04-05,2,2,0,0,0,0,0,0,0,0,.000,.125,.000,.125
4,2019-04-07,3,3,0,1,0,0,0,0,0,0,.100,.182,.100,.282
5,2019-04-09,1,1,1,1,0,0,0,1,0,0,.182,.250,.182,.432
6,2019-04-13,3,1,1,0,0,0,0,0,2,1,.167,.333,.167,.500
7,2019-04-16,2,2,0,0,0,0,0,0,0,2,.143,.294,.143,.437
8,2019-04-17,4,4,0,1,0,0,0,0,0,0,.167,.286,.167,.452
9,2019-04-20,4,2,1,1,1,0,0,0,2,1,.200,.360,.250,.610
10,2019-04-22,4,2,2,1,0,0,1,1,2,0,.227,.414,.409,.823
11,2019-04-24,3,3,0,0,0,0,0,0,0,2,.200,.375,.360,.735
12,2019-04-27,4,3,2,1,0,0,1,2,1,1,.214,.389,.464,.853
13,2019-04-30,3,3,0,0,0,0,0,0,0,1,.194,.359,.419,.778
14,April,36,28,7,6,1,0,2,4,8,8,.214,.389,.464,.853
15,2019-05-02,4,4,2,2,1,0,1,4,0,1,.229,.372,.543,.915
16,2019-05-05,3,3,0,0,0,0,0,0,0,2,.211,.348,.500,.848
17,2019-05-06,4,3,1,2,0,0,1,3,0,0,.244,.380,.585,.965
18,2019-05-11,4,4,1,2,1,0,1,1,0,0,.267,.389,.667,1.056
19,2019-05-13,4,4,0,0,0,0,0,0,0,2,.245,.362,.612,.974
20,2019-05-14,0,0,0,0,0,0,0,0,0,0,.245,.362,.612,.974
21,2019-05-15,4,3,2,1,0,0,1,2,1,1,.250,.371,.654,1.025
22,2019-05-16,5,5,2,1,0,0,1,2,0,0,.246,.358,.667,1.025
23,2019-05-18,6,4,2,1,1,0,0,1,2,1,.246,.370,.656,1.026
24,2019-05-20,4,4,0,1,0,0,0,0,0,2,.246,.364,.631,.994
25,2019-05-21,4,3,1,0,0,0,0,0,0,2,.235,.358,.603,.961
26,2019-05-24,5,5,1,1,1,0,0,0,0,3,.233,.349,.589,.938
27,2019-05-26,3,3,1,1,0,0,0,0,0,1,.237,.348,.579,.927
28,2019-05-28,3,3,0,1,0,0,0,0,0,1,.241,.348,.570,.917
29,2019-05-30,3,3,0,2,0,0,0,0,0,0,.256,.358,.573,.931
30,May,56,51,13,15,4,0,5,13,3,16,.294,.357,.667,1.024
31,2019-06-01,4,4,1,3,1,0,0,0,0,0,.279,.374,.593,.967
32,2019-06-05,3,3,1,0,0,0,0,0,0,2,.270,.363,.573,.936
33,2019-06-08,4,3,0,1,0,0,0,0,1,0,.272,.368,.565,.933
34,2019-06-11,3,3,1,1,0,0,1,1,0,0,.274,.367,.589,.956
35,2019-06-13,5,4,1,0,0,0,0,1,1,2,.263,.360,.566,.925
36,2019-06-16,3,3,0,0,0,0,0,0,0,0,.255,.350,.549,.899
37,2019-06-17,3,3,0,0,0,0,0,0,0,2,.248,.342,.533,.875
38,2019-06-19,4,4,0,0,0,0,0,0,0,0,.239,.331,.514,.844
39,2019-06-21,5,4,0,1,0,0,0,0,1,0,.239,.333,.504,.838
40,2019-06-23,4,4,0,0,0,0,0,0,0,2,.231,.323,.487,.810
41,2019-06-26,4,4,1,1,0,0,0,0,0,1,.231,.321,.479,.800
42,2019-06-27,0,0,0,0,0,0,0,0,0,0,.231,.321,.479,.800
43,2019-06-28,4,4,0,0,0,0,0,0,0,3,.224,.312,.464,.776
44,2019-06-29,4,4,0,2,0,0,0,0,0,0,.233,.317,.465,.782
45,June,50,47,5,9,1,0,1,2,3,12,.191,.240,.277,.517
46,2019-07-02,4,4,2,3,1,0,2,2,0,1,.248,.329,.526,.855
47,2019-07-04,4,4,0,1,0,0,0,0,0,1,.248,.327,.518,.845
48,2019-07-06,4,3,0,2,1,0,0,3,0,0,.257,.331,.529,.860
49,2019-07-13,4,3,0,0,0,0,0,0,0,2,.252,.325,.517,.842
50,2019-07-16,2,1,0,0,0,0,0,0,1,1,.250,.327,.514,.841
51,2019-07-19,2,2,0,2,0,0,0,0,0,0,.260,.335,.521,.856
52,2019-07-21,5,3,1,0,0,0,0,0,2,1,.255,.337,.510,.847
53,2019-07-23,4,4,2,2,0,0,0,1,0,2,.261,.341,.510,.851
54,2019-07-26,4,3,1,0,0,0,0,0,1,2,.256,.339,.500,.839
55,2019-07-28,4,3,0,0,0,0,0,0,1,2,.252,.337,.491,.828
56,July,37,30,6,10,2,0,2,6,5,12,.333,.417,.600,1.017
57,2019-08-01,5,5,0,1,0,0,0,0,0,3,.250,.333,.482,.815
58,2019-08-02,4,3,1,1,0,0,0,1,1,1,.251,.337,.479,.816
59,2019-08-04,3,3,1,1,0,0,1,1,0,2,.253,.337,.494,.831
60,2019-08-05,3,3,0,1,0,0,0,0,0,0,.254,.337,.491,.828
61,2019-08-08,3,3,0,0,0,0,0,0,0,2,.250,.332,.483,.815
62,2019-08-09,4,4,1,1,0,0,1,1,0,2,.250,.330,.494,.824
63,2019-08-15,5,4,1,0,0,0,0,0,1,2,.245,.327,.484,.811
64,2019-08-18,5,4,1,1,1,0,0,0,1,2,.245,.329,.484,.813
65,2019-08-19,3,2,0,0,0,0,0,0,1,1,.242,.329,.479,.808
66,2019-08-21,3,3,0,0,0,0,0,0,0,2,.238,.324,.472,.796
67,2019-08-23,4,4,0,2,0,0,0,0,0,1,.244,.327,.472,.799
68,2019-08-29,5,4,0,0,0,0,0,0,1,3,.239,.325,.463,.787
69,2019-08-30,5,2,0,0,0,0,0,0,3,2,.236,.330,.458,.789
70,August,52,44,5,8,1,0,2,3,8,23,.182,.308,.341,.649
71,2019-09-01,4,4,1,1,0,0,0,1,0,2,.237,.329,.454,.783
72,2019-09-02,0,0,0,0,0,0,0,0,0,0,.237,.329,.454,.783
73,2019-09-03,4,3,0,1,0,0,0,0,1,2,.238,.332,.452,.784
74,2019-09-05,0,0,0,0,0,0,0,0,0,0,.238,.332,.452,.784
75,2019-09-06,2,2,0,0,0,0,0,0,0,0,.236,.329,.448,.777
76,2019-09-11,4,4,0,2,0,0,0,0,0,1,.241,.332,.449,.781
77,2019-09-12,2,0,0,0,0,0,0,0,2,0,.241,.337,.449,.786
78,2019-09-14,4,4,0,0,0,0,0,0,0,1,.236,.332,.441,.773
79,2019-09-18,3,3,0,0,0,0,0,0,0,1,.233,.328,.435,.763
80,2019-09-21,4,4,0,1,0,0,0,0,0,2,.233,.327,.432,.759
81,2019-09-22,2,1,0,0,0,0,0,0,1,1,.232,.328,.430,.758
