,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-30,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500
1,March,9,8,0,2,0,0,0,0,1,2,.250,.333,.250,.583
2,2018-03-31,5,4,0,1,0,0,0,0,1,2,.250,.333,.250,.583
3,2018-04-01,4,3,0,1,0,0,0,0,0,0,.273,.385,.273,.657
4,2018-04-02,4,4,0,0,0,0,0,0,0,2,.200,.294,.200,.494
5,2018-04-05,4,4,0,0,0,0,0,0,0,2,.158,.238,.158,.396
6,2018-04-06,4,4,0,2,0,0,0,1,0,0,.217,.280,.217,.497
7,2018-04-07,5,4,0,2,0,0,0,1,0,0,.259,.300,.259,.559
8,2018-04-08,4,4,0,0,0,0,0,0,0,0,.226,.265,.226,.490
9,2018-04-09,5,4,1,2,0,0,0,0,1,0,.257,.308,.257,.565
10,2018-04-10,4,4,0,0,0,0,0,0,0,0,.231,.279,.231,.510
11,2018-04-11,5,5,1,3,0,0,0,1,0,0,.273,.313,.273,.585
12,2018-04-13,4,4,0,1,0,0,0,1,0,0,.271,.308,.271,.578
13,2018-04-14,4,4,0,0,0,0,0,0,0,0,.250,.286,.250,.536
14,2018-04-15,4,3,0,0,0,0,0,0,1,1,.236,.283,.236,.520
15,2018-04-16,5,5,0,2,1,0,0,1,0,0,.250,.292,.267,.559
16,2018-04-17,4,3,0,1,0,0,0,0,1,2,.254,.304,.270,.574
17,2018-04-18,4,3,0,1,0,0,0,0,1,1,.258,.315,.273,.588
18,2018-04-20,4,3,0,0,0,0,0,0,1,0,.246,.312,.261,.573
19,2018-04-21,5,1,0,0,0,0,0,0,4,0,.243,.341,.257,.599
20,2018-04-22,4,4,0,1,0,0,0,1,0,0,.243,.337,.257,.594
21,2018-04-23,5,3,0,1,0,0,0,1,2,2,.247,.352,.260,.611
22,2018-04-24,6,5,2,1,0,0,1,1,1,1,.244,.351,.293,.643
23,2018-04-25,5,4,1,2,0,0,1,2,1,0,.256,.363,.337,.700
24,2018-04-26,4,4,1,1,0,0,1,3,0,1,.256,.358,.367,.725
25,2018-04-27,6,3,2,3,1,0,1,1,2,0,.280,.393,.430,.823
26,2018-04-28,4,3,0,0,0,0,0,0,1,0,.271,.388,.417,.805
27,2018-04-29,5,3,1,1,0,0,0,0,2,1,.273,.397,.414,.811
28,2018-04-30,4,1,2,0,0,0,0,0,2,1,.270,.408,.410,.818
29,April,116,92,11,25,2,0,4,14,20,14,.272,.414,.424,.838
30,2018-05-01,5,4,1,1,0,0,0,1,1,2,.269,.408,.404,.812
31,2018-05-02,4,4,0,0,0,0,0,0,0,0,.259,.396,.389,.784
32,2018-05-04,4,4,0,1,1,0,0,0,0,2,.259,.391,.393,.784
33,2018-05-05,4,4,0,2,1,0,0,0,0,0,.267,.394,.405,.800
34,2018-05-06,5,5,1,4,1,0,1,4,0,1,.289,.408,.455,.863
35,2018-05-07,4,3,0,0,0,0,0,0,1,0,.282,.404,.444,.848
36,2018-05-08,5,3,1,0,0,0,0,0,1,1,.276,.404,.433,.837
37,2018-05-09,4,4,0,1,0,0,0,1,0,2,.275,.400,.427,.828
38,2018-05-10,4,4,1,2,0,0,0,0,0,0,.281,.402,.430,.832
39,2018-05-11,5,3,2,1,0,0,0,1,2,0,.283,.408,.428,.836
40,2018-05-12,5,5,0,2,0,0,0,0,0,1,.287,.408,.427,.835
41,2018-05-13,5,3,1,1,0,0,1,2,2,1,.288,.413,.445,.859
42,2018-05-14,2,2,0,1,0,0,0,0,0,0,.291,.414,.446,.860
43,2018-05-15,1,1,0,0,0,0,0,0,0,1,.289,.412,.443,.855
44,2018-05-16,4,3,2,1,0,0,0,1,1,1,.289,.414,.441,.855
