,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,5,4,0,0,0,0,0,0,1,2,.000,.200,.000,.200
1,2021-04-03,4,4,0,0,0,0,0,0,0,0,.000,.111,.000,.111
2,2021-04-04,5,4,2,0,0,0,0,0,1,0,.000,.143,.000,.143
3,2021-04-05,5,5,1,2,0,0,0,1,0,2,.118,.211,.118,.328
4,2021-04-06,5,5,0,0,0,0,0,0,0,1,.091,.167,.091,.258
5,2021-04-07,4,4,0,1,1,0,0,2,0,1,.115,.179,.154,.332
6,2021-04-08,5,4,1,1,1,0,0,0,1,2,.133,.212,.200,.412
7,2021-04-10,5,5,0,0,0,0,0,0,0,1,.114,.184,.171,.356
8,2021-04-11,5,5,1,1,0,0,0,0,0,0,.125,.186,.175,.361
9,2021-04-13,4,2,0,0,0,0,0,1,0,0,.119,.191,.167,.358
10,2021-04-14,3,3,0,1,0,0,0,2,0,1,.133,.200,.178,.378
11,2021-04-14,3,3,0,2,1,0,0,0,0,0,.167,.226,.229,.456
12,2021-04-15,5,3,0,0,0,0,0,0,1,0,.157,.241,.216,.457
13,2021-04-16,3,3,1,1,0,0,0,0,0,1,.167,.246,.222,.468
14,2021-04-20,3,3,0,0,0,0,0,0,0,0,.158,.234,.211,.445
15,2021-04-20,3,3,0,1,0,0,0,0,0,0,.167,.239,.217,.456
16,2021-04-21,6,6,2,4,0,0,0,1,0,0,.212,.274,.258,.532
17,2021-04-23,3,3,0,0,0,0,0,0,0,0,.203,.263,.246,.510
18,2021-04-24,4,3,1,0,0,0,0,0,1,1,.194,.263,.236,.499
19,2021-04-25,4,3,0,1,0,0,0,0,1,1,.200,.274,.240,.514
20,2021-04-26,4,3,0,0,0,0,0,1,0,1,.192,.261,.231,.492
21,2021-04-28,5,5,2,1,0,0,1,2,0,1,.193,.258,.265,.523
22,2021-04-30,4,4,1,2,1,0,0,0,0,0,.207,.268,.287,.555
23,April,97,87,12,18,4,0,1,10,6,15,.207,.268,.287,.555
24,2021-05-01,4,4,0,1,0,0,0,0,0,1,.209,.267,.286,.553
25,2021-05-03,4,3,1,2,1,1,0,2,1,0,.223,.286,.330,.616
26,2021-05-04,4,3,0,0,0,0,0,0,1,3,.216,.284,.320,.604
27,2021-05-05,4,4,0,0,0,0,0,0,0,3,.208,.274,.307,.581
28,2021-05-06,1,1,0,0,0,0,0,0,0,0,.206,.272,.304,.576
29,2021-05-07,5,3,2,2,1,0,1,2,2,0,.219,.294,.352,.646
30,2021-05-08,5,5,0,3,1,0,0,0,0,2,.236,.306,.373,.679
31,2021-05-11,4,4,1,2,0,0,1,1,0,1,.246,.313,.404,.716
32,2021-05-12,5,5,1,2,0,0,0,1,0,1,.252,.316,.403,.719
33,2021-05-13,5,4,0,1,1,0,0,0,1,2,.252,.319,.407,.725
34,2021-05-14,4,4,0,0,0,0,0,0,0,1,.244,.310,.394,.704
35,2021-05-15,4,3,1,1,1,0,0,0,1,0,.246,.315,.400,.715
36,2021-05-16,5,5,1,1,0,0,0,0,0,1,.244,.311,.393,.704
37,2021-05-17,4,4,0,1,0,0,0,1,0,0,.245,.310,.388,.698
38,2021-05-18,5,4,1,1,0,0,0,1,1,0,.245,.313,.385,.697
39,2021-05-19,4,3,0,0,0,0,0,0,1,3,.240,.311,.377,.688
40,2021-05-20,3,3,0,0,0,0,0,0,0,0,.235,.305,.369,.674
41,2021-05-20,3,2,1,0,0,0,0,0,1,0,.232,.306,.364,.670
42,2021-05-24,0,0,0,0,0,0,0,0,0,0,.232,.306,.364,.670
43,2021-05-25,4,4,1,1,0,0,1,1,0,0,.232,.305,.381,.685
44,2021-05-26,4,4,0,0,0,0,0,0,0,1,.226,.298,.371,.669
45,2021-05-28,4,3,1,2,1,0,0,0,1,0,.235,.308,.383,.690
46,2021-05-29,4,3,2,1,1,0,0,0,1,1,.236,.312,.388,.700
47,2021-05-30,5,4,0,0,0,0,0,0,1,1,.231,.309,.379,.688
48,2021-05-31,5,5,1,1,0,0,1,2,0,1,.230,.306,.391,.697
49,May,99,87,14,22,7,1,4,11,12,22,.253,.343,.494,.838
50,2021-06-01,5,4,0,0,0,0,0,0,1,0,.225,.303,.382,.686
51,2021-06-02,4,3,0,1,1,0,0,1,0,0,.227,.302,.387,.689
52,2021-06-03,4,4,1,3,1,0,0,1,0,0,.238,.311,.400,.711
53,2021-06-04,5,4,2,2,0,0,1,1,1,0,.243,.318,.418,.736
54,2021-06-05,4,4,0,0,0,0,0,0,0,1,.238,.312,.409,.721
55,2021-06-06,5,5,0,2,0,0,0,0,0,1,.242,.314,.409,.723
56,2021-06-08,4,4,0,0,0,0,0,0,0,1,.238,.308,.401,.709
57,2021-06-09,5,5,2,2,0,0,2,3,0,2,.242,.310,.430,.740
58,2021-06-10,5,4,1,1,0,0,0,0,0,0,.242,.312,.427,.739
59,2021-06-12,4,4,1,3,0,0,1,3,0,0,.251,.320,.447,.766
60,2021-06-13,4,4,0,0,0,0,0,0,0,0,.247,.314,.438,.753
61,2021-06-14,5,5,1,2,0,0,0,0,0,0,.250,.316,.438,.754
62,2021-06-15,3,3,0,0,0,0,0,0,0,0,.247,.312,.432,.744
63,2021-06-16,5,5,3,3,2,0,0,0,0,0,.254,.318,.444,.762
64,2021-06-18,5,4,2,1,0,0,0,0,1,0,.254,.319,.441,.760
65,2021-06-19,4,4,0,0,0,0,0,0,0,0,.250,.315,.433,.748
66,2021-06-20,4,3,1,1,1,0,0,0,1,2,.251,.317,.436,.754
67,2021-06-21,6,6,1,2,0,0,0,0,0,1,.253,.318,.434,.751
68,2021-06-22,5,4,1,0,0,0,0,0,1,1,.249,.316,.427,.742
69,2021-06-24,4,3,0,2,1,0,0,0,1,1,.254,.322,.434,.755
70,2021-06-25,4,4,0,1,0,0,0,0,0,0,.254,.321,.431,.752
71,2021-06-27,5,4,2,1,0,0,0,0,1,0,.254,.322,.428,.750
72,2021-06-29,4,3,0,0,0,0,0,1,1,0,.251,.321,.423,.744
73,June,103,93,18,27,6,0,4,10,8,10,.290,.350,.484,.833
74,2021-07-01,5,5,1,1,0,0,0,0,0,0,.250,.319,.419,.738
75,2021-07-02,4,3,0,0,0,0,0,0,1,1,.247,.318,.415,.733
76,2021-07-03,5,5,0,2,0,0,0,1,0,0,.250,.319,.414,.734
77,2021-07-04,5,5,1,2,1,0,1,2,0,0,.253,.321,.428,.749
78,2021-07-05,5,5,0,0,0,0,0,0,0,2,.248,.316,.421,.736
79,2021-07-06,4,4,0,0,0,0,0,0,0,2,.245,.312,.415,.727
80,2021-07-07,4,4,0,2,0,0,0,0,0,1,.248,.314,.416,.730
81,2021-07-08,4,3,1,1,0,0,0,1,0,0,.249,.313,.415,.729
82,2021-07-09,3,2,0,0,0,0,0,0,1,0,.248,.314,.413,.726
83,2021-07-10,5,4,1,1,0,0,1,3,0,0,.248,.315,.420,.735
84,2021-07-11,6,6,1,3,0,0,1,5,0,0,.252,.318,.431,.749
