,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,2,1,0,0,2,0,2,.500,.500,.750,1.250
1,2019-03-30,4,3,0,3,2,0,0,3,1,0,.714,.750,1.143,1.893
2,March,12,11,0,5,3,0,0,5,1,4,.455,.500,.727,1.227
3,2019-03-31,4,4,0,0,0,0,0,0,0,2,.455,.500,.727,1.227
4,2019-04-02,5,5,0,0,0,0,0,0,0,0,.313,.353,.500,.853
5,2019-04-03,4,3,1,0,0,0,0,0,1,2,.263,.333,.421,.754
6,2019-04-04,4,4,0,2,1,0,0,1,0,2,.304,.360,.478,.838
7,2019-04-06,4,4,1,1,0,0,1,1,0,2,.296,.345,.556,.900
8,2019-04-07,4,4,0,0,0,0,0,0,0,3,.258,.303,.484,.787
9,2019-04-08,5,4,0,0,0,0,0,0,1,1,.229,.289,.429,.718
10,2019-04-09,4,4,0,0,0,0,0,0,0,1,.205,.262,.385,.646
11,2019-04-10,4,4,1,2,0,0,1,2,0,2,.233,.283,.465,.748
12,2019-04-11,5,5,2,2,1,0,1,3,0,1,.250,.294,.542,.836
13,2019-04-12,5,4,1,0,0,0,0,0,1,2,.231,.286,.500,.786
14,2019-04-13,4,4,0,0,0,0,0,0,0,3,.214,.267,.464,.731
15,2019-04-14,5,4,1,1,0,0,1,1,1,1,.217,.277,.500,.777
16,2019-04-15,1,1,0,0,0,0,0,0,0,1,.213,.273,.492,.764
17,2019-04-16,4,4,0,1,0,0,0,0,0,1,.215,.271,.477,.748
18,2019-04-17,4,3,0,1,0,0,0,0,1,1,.221,.284,.471,.754
19,2019-04-18,4,4,1,2,0,0,1,1,0,2,.236,.295,.514,.809
20,2019-04-19,4,4,0,1,0,0,0,0,0,1,.237,.293,.500,.793
21,2019-04-20,4,3,0,0,0,0,0,0,1,1,.228,.291,.481,.772
22,2019-04-21,5,5,0,0,0,0,0,0,0,5,.214,.275,.452,.727
23,2019-04-22,4,4,1,2,0,0,1,1,0,0,.227,.284,.489,.773
24,2019-04-23,4,3,0,0,0,0,0,0,1,0,.220,.283,.473,.755
25,2019-04-24,5,5,1,2,1,0,0,0,0,3,.229,.288,.479,.768
26,2019-04-26,3,2,0,0,0,0,0,0,1,1,.224,.290,.469,.759
27,2019-04-27,5,5,1,2,1,0,0,0,0,1,.233,.295,.476,.770
28,2019-04-28,4,3,0,0,0,0,0,1,0,1,.226,.284,.462,.747
29,2019-04-29,4,4,1,1,0,0,1,1,0,3,.227,.283,.482,.765
30,April,108,99,12,20,4,0,7,12,8,41,.202,.259,.455,.714
31,2019-05-01,3,3,0,0,0,0,0,0,0,1,.221,.276,.469,.745
32,2019-05-01,4,4,1,2,1,0,0,2,0,1,.231,.283,.479,.762
33,2019-05-02,4,4,0,0,0,0,0,0,0,1,.223,.275,.463,.738
34,2019-05-03,4,3,1,3,0,0,1,2,0,0,.242,.289,.500,.789
35,2019-05-04,6,6,2,3,1,0,0,2,0,0,.254,.298,.508,.806
36,2019-05-05,4,4,1,1,1,0,0,0,0,2,.254,.297,.507,.804
37,2019-05-06,4,4,0,1,0,0,0,0,0,1,.254,.295,.500,.795
38,2019-05-07,5,4,2,2,0,0,1,1,1,0,.261,.305,.521,.826
39,2019-05-08,4,3,0,0,0,0,0,0,1,2,.255,.304,.510,.814
40,2019-05-10,4,2,1,1,0,0,1,1,2,0,.259,.315,.531,.845
41,2019-05-11,3,2,0,0,0,0,0,0,0,0,.255,.315,.523,.839
42,2019-05-12,4,4,0,0,0,0,0,0,0,1,.248,.308,.510,.818
43,2019-05-14,5,5,1,3,2,0,0,2,0,0,.259,.316,.525,.841
44,2019-05-15,4,4,0,0,0,0,0,0,0,2,.253,.309,.512,.821
45,2019-05-16,4,3,0,1,0,0,0,0,0,1,.255,.313,.509,.822
46,2019-05-17,4,4,0,1,0,0,0,0,0,2,.254,.312,.503,.815
47,2019-05-18,4,4,0,1,0,0,0,0,0,2,.254,.311,.497,.808
48,2019-05-19,4,4,0,0,0,0,0,0,0,0,.249,.304,.486,.790
49,2019-05-22,4,4,1,1,0,0,1,3,0,1,.249,.303,.497,.800
50,2019-05-22,4,4,0,1,0,0,0,1,0,1,.249,.302,.492,.794
51,2019-05-25,4,4,0,0,0,0,0,0,0,1,.243,.296,.481,.778
52,2019-05-25,4,4,1,1,1,0,0,1,0,1,.244,.295,.482,.777
53,2019-05-26,5,4,2,2,0,0,1,1,1,1,.249,.302,.497,.800
54,2019-05-27,3,3,0,0,0,0,0,0,0,2,.245,.298,.490,.788
55,2019-05-28,3,3,0,0,0,0,0,0,0,1,.241,.294,.483,.777
56,2019-05-29,5,5,1,2,0,0,1,3,0,0,.245,.296,.495,.792
57,2019-05-30,4,4,1,1,0,0,1,3,0,0,.245,.296,.505,.800
58,2019-05-31,4,4,0,0,0,0,0,0,0,2,.241,.291,.495,.786
59,May,114,106,15,27,6,0,7,22,5,26,.255,.298,.509,.808
60,2019-06-01,4,3,1,0,0,0,0,0,0,1,.237,.290,.489,.778
