,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,3,3,0,1,1,0,0,0,0,1,.333,.333,.667,1.000
1,2020-07-25,5,5,1,2,0,0,0,1,0,1,.375,.375,.500,.875
2,2020-07-26,5,5,1,4,2,0,0,1,0,0,.538,.538,.769,1.308
3,2020-07-29,3,3,0,1,1,0,0,1,0,1,.500,.500,.750,1.250
4,July,16,16,2,8,4,0,0,3,0,3,.500,.500,.750,1.250
5,2020-08-01,1,1,0,0,0,0,0,0,0,0,.471,.471,.706,1.176
6,2020-08-02,2,2,0,2,1,0,0,1,0,0,.526,.526,.789,1.316
7,2020-08-05,3,2,0,0,0,0,0,0,0,0,.476,.500,.714,1.214
8,2020-08-05,3,3,0,1,1,0,0,0,0,0,.458,.480,.708,1.188
9,2020-08-06,5,5,0,0,0,0,0,0,0,1,.379,.400,.586,.986
10,2020-08-07,5,4,1,4,1,0,0,3,0,0,.455,.457,.667,1.124
11,2020-08-08,4,4,0,0,0,0,0,0,0,1,.405,.410,.595,1.005
12,2020-08-11,1,1,0,0,0,0,0,0,0,0,.395,.400,.579,.979
13,2020-08-12,5,5,0,1,0,0,0,0,0,2,.372,.378,.535,.913
14,2020-08-13,5,4,0,2,1,0,0,2,1,1,.383,.400,.553,.953
15,2020-08-14,3,3,0,1,0,0,0,0,0,0,.380,.396,.540,.936
16,2020-08-15,5,5,1,3,1,0,0,1,0,0,.400,.414,.564,.977
17,2020-08-28,5,5,1,2,0,0,0,0,0,1,.400,.413,.550,.963
18,2020-08-29,4,4,0,2,1,0,0,0,0,1,.406,.418,.563,.980
19,2020-08-30,5,5,0,2,0,0,0,1,0,0,.406,.417,.551,.967
20,2020-08-31,5,5,1,2,1,0,0,2,0,1,.405,.416,.554,.970
21,August,61,58,4,22,7,0,0,10,1,8,.379,.393,.500,.893
22,2020-09-01,5,5,1,2,1,0,0,1,0,0,.405,.415,.557,.972
23,2020-09-02,5,5,0,2,0,0,0,0,0,0,.405,.414,.548,.961
24,2020-09-04,5,4,0,1,0,0,0,0,0,0,.398,.413,.534,.947
25,2020-09-05,4,3,1,1,1,0,0,0,1,1,.396,.417,.538,.955
26,2020-09-08,5,5,0,2,0,0,0,1,0,0,.396,.416,.531,.947
27,2020-09-09,5,5,0,0,0,0,0,0,0,1,.376,.396,.505,.901
28,2020-09-11,3,3,0,0,0,0,0,0,0,1,.365,.385,.490,.876
29,2020-09-11,3,3,0,0,0,0,0,0,0,1,.355,.375,.477,.852
30,2020-09-12,4,4,0,1,0,0,0,0,0,0,.351,.371,.468,.839
31,2020-09-13,4,4,0,1,0,0,0,0,0,1,.348,.367,.461,.828
32,2020-09-14,4,4,3,4,0,0,1,4,0,0,.370,.387,.504,.891
33,2020-09-15,4,4,0,2,1,0,0,1,0,1,.374,.391,.512,.903
34,2020-09-16,4,3,1,2,0,0,0,1,0,0,.381,.402,.516,.917
35,2020-09-17,3,2,0,0,0,0,0,0,1,0,.375,.400,.508,.908
36,2020-09-18,1,1,0,0,0,0,0,0,0,0,.372,.397,.504,.901
37,2020-09-19,2,1,1,1,1,0,0,0,0,0,.377,.406,.515,.921
38,2020-09-24,4,4,1,1,0,0,1,1,0,0,.373,.401,.530,.931
39,2020-09-25,4,4,1,1,0,0,1,1,0,0,.370,.397,.543,.941
40,2020-09-26,4,4,1,2,2,0,0,1,0,0,.373,.400,.556,.956
41,September,73,68,10,23,6,0,3,11,2,6,.338,.384,.559,.942
