,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2019-03-30,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,March,12,11,1,1,0,0,0,0,1,3,.091,.167,.091,.258
3,2019-03-31,4,3,1,1,0,0,0,0,1,1,.091,.167,.091,.258
4,2019-04-01,4,4,1,2,1,0,0,0,0,0,.200,.250,.267,.517
5,2019-04-03,4,4,1,0,0,0,0,0,0,0,.158,.200,.211,.410
6,2019-04-04,4,3,0,0,0,0,0,1,0,0,.136,.167,.182,.348
7,2019-04-05,1,0,0,0,0,0,0,0,1,0,.136,.200,.182,.382
8,2019-04-06,5,5,2,2,1,0,0,0,0,0,.185,.233,.259,.493
9,2019-04-07,4,4,0,1,0,0,0,1,0,1,.194,.235,.258,.493
10,2019-04-09,4,4,0,0,0,0,0,0,0,0,.171,.211,.229,.439
11,2019-04-10,4,4,0,0,0,0,0,0,0,1,.154,.190,.205,.396
12,2019-04-11,5,5,0,0,0,0,0,0,0,2,.136,.170,.182,.352
13,2019-04-12,5,4,0,1,1,0,0,0,0,2,.146,.192,.208,.401
14,2019-04-13,4,4,0,0,0,0,0,0,0,0,.135,.179,.192,.371
15,2019-04-14,5,5,1,1,0,0,0,0,0,1,.140,.180,.193,.373
16,2019-04-15,5,3,2,1,0,0,1,1,2,0,.150,.212,.250,.462
17,2019-04-16,5,5,0,1,0,0,0,0,0,0,.154,.211,.246,.457
18,2019-04-17,4,4,0,0,0,0,0,0,0,1,.145,.200,.232,.432
19,2019-04-20,5,3,1,0,0,0,0,0,2,0,.139,.213,.222,.435
20,2019-04-20,5,4,2,2,0,0,0,2,1,1,.158,.235,.237,.472
21,2019-04-21,4,3,0,0,0,0,0,0,1,1,.152,.236,.228,.464
22,2019-04-23,4,4,0,1,0,0,0,0,0,0,.157,.237,.229,.466
23,2019-04-24,5,4,1,3,1,0,1,4,1,1,.184,.265,.299,.564
24,2019-04-25,4,3,0,0,0,0,0,0,1,0,.178,.265,.289,.554
25,2019-04-26,5,3,0,0,0,0,0,0,1,0,.172,.271,.280,.551
26,2019-04-27,5,5,1,1,0,0,0,0,0,2,.173,.268,.276,.543
27,2019-04-28,4,3,0,2,0,0,0,0,1,1,.188,.284,.287,.572
28,2019-04-30,5,4,0,0,0,0,0,0,1,0,.181,.281,.276,.557
29,April,109,94,12,18,4,0,2,9,12,14,.191,.294,.298,.592
30,2019-05-01,4,4,0,1,0,0,0,0,0,0,.183,.280,.275,.555
31,2019-05-03,4,4,0,1,0,0,0,0,0,2,.186,.279,.274,.553
32,2019-05-04,4,4,0,1,1,0,0,0,0,2,.188,.278,.282,.560
33,2019-05-05,4,3,0,2,1,0,0,0,1,0,.200,.292,.300,.592
34,2019-05-06,5,5,0,1,0,0,0,0,0,0,.200,.289,.296,.585
35,2019-05-07,4,2,0,0,0,0,0,0,2,0,.197,.295,.291,.586
36,2019-05-08,5,5,1,2,0,0,1,2,0,1,.205,.298,.318,.616
37,2019-05-09,4,4,0,1,0,0,0,0,0,0,.206,.297,.316,.613
38,2019-05-10,5,4,0,1,0,0,0,0,1,1,.207,.300,.314,.614
39,2019-05-11,4,2,0,0,0,0,0,0,2,1,.204,.305,.310,.615
40,2019-05-12,4,4,0,0,0,0,0,0,0,1,.199,.298,.301,.599
41,2019-05-13,4,4,0,0,0,0,0,0,0,0,.193,.291,.293,.584
42,2019-05-14,4,4,1,1,0,0,1,1,0,0,.195,.290,.312,.602
43,2019-05-16,5,4,0,1,0,0,0,1,1,1,.196,.293,.310,.603
