,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-25,4,3,0,1,0,0,0,1,0,0,.333,.500,.333,.833
1,2020-07-28,4,4,1,2,1,0,0,0,0,0,.429,.500,.571,1.071
2,July,8,7,1,3,1,0,0,1,0,0,.429,.500,.571,1.071
3,2020-08-02,4,3,0,1,0,0,0,0,1,1,.400,.500,.500,1.000
4,2020-08-10,4,4,1,3,0,0,0,2,0,0,.500,.563,.571,1.134
5,2020-08-11,0,0,0,0,0,0,0,0,0,0,.500,.563,.571,1.134
6,2020-08-13,5,5,0,2,1,0,0,3,0,1,.474,.524,.579,1.103
7,2020-08-16,4,4,0,0,0,0,0,0,0,1,.391,.440,.478,.918
8,2020-08-17,1,1,0,0,0,0,0,0,0,0,.375,.423,.458,.881
9,2020-08-18,4,4,0,1,0,0,0,0,0,2,.357,.400,.429,.829
10,2020-08-23,4,4,0,0,0,0,0,0,0,0,.313,.353,.375,.728
11,2020-08-28,1,1,0,1,0,0,0,0,0,0,.333,.371,.394,.765
12,2020-08-30,5,4,1,2,1,0,0,2,1,0,.351,.400,.432,.832
13,August,32,30,2,10,2,0,0,7,2,5,.333,.375,.400,.775
14,2020-09-02,4,4,0,0,0,0,0,0,0,1,.317,.364,.390,.754
15,2020-09-04,4,4,2,2,1,0,0,0,0,1,.333,.375,.422,.797
16,2020-09-06,4,3,1,2,0,0,1,3,0,1,.354,.404,.500,.904
17,2020-09-11,4,4,0,0,0,0,0,0,0,0,.327,.375,.462,.836
18,2020-09-12,4,4,0,1,0,0,0,1,0,1,.321,.367,.446,.813
19,2020-09-17,4,4,0,1,0,0,0,2,0,1,.317,.359,.433,.793
20,2020-09-18,6,6,0,0,0,0,0,0,0,1,.288,.329,.394,.722
21,2020-09-19,4,4,0,1,1,0,0,0,0,0,.286,.324,.400,.724
22,2020-09-23,4,4,0,3,0,1,0,2,0,0,.311,.346,.446,.792
23,2020-09-24,1,1,0,1,0,0,0,0,0,0,.320,.354,.453,.808
24,2020-09-25,5,4,1,3,0,0,0,1,1,1,.342,.381,.468,.849
25,2020-09-27,5,3,1,1,0,0,0,0,2,2,.341,.393,.463,.857
26,September,49,45,5,15,2,1,1,9,3,9,.333,.388,.489,.877
