,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,5,5,2,3,0,1,1,1,0,1,.600,.600,1.600,2.200
1,2018-03-30,3,3,0,0,0,0,0,0,0,1,.375,.375,1.000,1.375
2,March,13,13,2,3,0,1,1,1,0,3,.231,.231,.615,.846
3,2018-03-31,5,5,0,0,0,0,0,0,0,1,.231,.231,.615,.846
4,2018-04-01,4,4,1,1,0,0,0,1,0,0,.235,.235,.529,.765
5,2018-04-02,4,4,0,0,0,0,0,0,0,2,.190,.190,.429,.619
6,2018-04-03,4,4,1,1,0,0,0,1,0,2,.200,.200,.400,.600
7,2018-04-04,5,5,0,0,0,0,0,0,0,3,.167,.167,.333,.500
8,2018-04-06,5,4,2,1,0,0,0,0,1,0,.176,.200,.324,.524
9,2018-04-07,4,4,0,1,0,0,0,0,0,1,.184,.205,.316,.521
10,2018-04-08,4,3,0,1,0,0,0,1,1,0,.195,.233,.317,.550
11,2018-04-09,5,5,1,2,0,0,0,1,0,0,.217,.250,.326,.576
12,2018-04-11,5,5,2,3,0,0,0,2,0,0,.255,.283,.353,.636
13,2018-04-12,5,5,1,1,0,0,0,2,0,2,.250,.276,.339,.615
14,2018-04-13,5,5,0,0,0,0,0,0,0,3,.230,.254,.311,.565
15,2018-04-14,4,4,0,1,0,0,0,0,0,2,.231,.254,.308,.561
16,2018-04-17,4,4,0,0,0,0,0,0,0,0,.217,.239,.290,.529
17,2018-04-18,4,4,0,0,0,0,0,0,0,1,.205,.227,.274,.501
18,2018-04-19,2,2,0,0,0,0,0,0,0,1,.200,.221,.267,.487
19,2018-04-20,4,3,0,0,0,0,0,0,1,0,.192,.222,.256,.479
20,2018-04-22,4,4,0,0,0,0,0,0,0,1,.183,.212,.244,.456
21,2018-04-23,3,3,0,1,0,0,0,1,0,1,.188,.216,.247,.463
22,2018-04-24,4,4,0,0,0,0,0,0,0,3,.180,.207,.236,.442
23,2018-04-25,3,3,0,0,0,0,0,0,0,2,.174,.200,.228,.428
24,2018-04-27,3,3,0,0,0,0,0,0,0,1,.168,.194,.221,.415
25,2018-04-28,4,4,0,1,0,0,0,0,0,2,.172,.196,.222,.418
26,April,89,86,8,14,0,0,0,9,3,27,.163,.191,.163,.354
27,2018-05-01,4,4,0,1,0,0,0,0,0,0,.175,.198,.223,.421
28,2018-05-02,4,4,0,0,0,0,0,0,0,2,.168,.191,.215,.406
29,2018-05-03,4,4,0,1,0,0,0,0,0,0,.171,.193,.216,.409
30,2018-05-04,4,3,0,0,0,0,0,0,1,1,.167,.195,.211,.405
31,2018-05-08,1,1,0,0,0,0,0,0,0,0,.165,.193,.209,.402
32,2018-05-10,4,3,0,0,0,0,0,1,0,0,.161,.187,.203,.390
33,2018-05-11,4,4,1,2,0,0,0,0,0,0,.172,.197,.213,.410
34,2018-05-12,6,5,1,0,0,0,0,0,1,1,.165,.195,.205,.400
35,2018-05-13,3,3,0,0,0,0,0,0,0,2,.162,.191,.200,.391
36,2018-05-14,3,3,0,0,0,0,0,0,0,1,.158,.187,.195,.382
37,2018-05-15,3,3,0,1,0,0,0,0,0,1,.162,.190,.199,.389
38,2018-05-16,3,3,0,1,1,0,0,0,0,1,.165,.193,.209,.402
39,2018-05-17,3,2,0,0,0,0,0,0,1,1,.163,.196,.206,.402
40,2018-05-19,2,2,0,0,0,0,0,0,0,0,.161,.193,.203,.396
41,2018-05-20,1,0,0,0,0,0,0,0,1,0,.161,.199,.203,.402
42,2018-05-22,1,1,0,0,0,0,0,0,0,0,.160,.197,.201,.399
43,2018-05-23,5,5,0,0,0,0,0,0,0,1,.154,.191,.195,.386
44,2018-05-24,4,4,0,0,0,0,0,0,0,0,.150,.186,.190,.376
45,2018-05-25,3,3,0,2,0,0,0,0,0,0,.160,.195,.199,.394
46,2018-05-26,5,3,2,0,0,0,0,0,2,1,.157,.201,.195,.396
47,2018-05-27,3,3,0,0,0,0,0,0,0,0,.154,.198,.191,.389
48,2018-05-28,2,1,0,0,0,0,0,0,1,0,.153,.201,.190,.391
49,2018-05-29,4,3,0,0,0,0,0,0,1,0,.151,.202,.187,.389
50,2018-05-30,4,4,0,0,0,0,0,0,0,0,.147,.198,.182,.380
51,2018-05-31,3,3,0,0,0,0,0,0,0,1,.145,.195,.179,.374
52,May,83,74,4,8,1,0,0,1,8,13,.108,.193,.122,.314
53,2018-06-18,3,3,1,2,0,0,0,0,0,1,.153,.202,.188,.390
54,2018-06-19,4,4,1,1,0,0,1,1,0,0,.156,.203,.206,.409
55,2018-06-21,4,3,2,1,0,0,1,2,1,0,.158,.209,.224,.433
56,2018-06-22,3,3,0,0,0,0,0,0,0,0,.156,.206,.220,.426
57,2018-06-23,4,4,0,1,0,0,0,0,0,1,.158,.207,.221,.428
58,2018-06-24,4,3,1,2,1,0,0,0,1,0,.166,.217,.233,.451
59,2018-06-25,2,2,0,0,0,0,0,0,0,2,.164,.215,.231,.446
60,2018-06-26,1,1,0,0,0,0,0,0,0,0,.163,.214,.230,.444
61,2018-06-27,5,5,1,2,0,0,0,0,0,2,.169,.219,.234,.452
