,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-30,5,4,0,0,0,0,0,1,0,0,.000,.000,.000,.000
1,March,5,4,0,0,0,0,0,1,0,0,.000,.000,.000,.000
2,2019-04-03,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,2019-04-07,5,4,1,2,0,0,0,2,1,0,.182,.231,.182,.413
4,2019-04-08,4,4,1,2,0,0,1,2,0,0,.267,.294,.467,.761
5,2019-04-09,1,1,0,0,0,0,0,0,0,1,.250,.278,.438,.715
6,2019-04-13,3,3,0,1,0,0,0,1,0,1,.263,.286,.421,.707
7,2019-04-16,4,3,0,0,0,0,0,0,1,1,.227,.280,.364,.644
8,2019-04-17,4,3,1,1,0,0,1,2,0,1,.240,.310,.480,.790
9,2019-04-19,4,4,0,1,0,0,0,0,0,1,.241,.303,.448,.751
10,2019-04-21,4,4,1,2,1,0,0,0,0,1,.273,.324,.485,.809
11,2019-04-22,1,1,0,0,0,0,0,0,0,0,.265,.316,.471,.786
12,2019-04-24,5,5,0,0,0,0,0,0,0,2,.231,.279,.410,.689
13,2019-04-28,5,5,0,2,0,0,0,1,0,0,.250,.292,.409,.701
14,2019-04-29,1,1,0,0,0,0,0,0,0,0,.244,.286,.400,.686
15,2019-04-30,4,3,0,1,0,0,0,0,0,0,.250,.302,.396,.698
16,April,48,44,4,12,1,0,2,8,2,8,.273,.333,.432,.765
17,2019-05-03,4,4,1,2,1,0,1,1,0,1,.269,.316,.481,.797
18,2019-05-04,1,1,1,1,0,0,1,3,0,0,.283,.328,.547,.875
19,2019-05-05,4,4,1,2,0,0,1,1,0,1,.298,.339,.596,.935
20,2019-05-06,3,3,0,0,0,0,0,0,0,1,.283,.323,.567,.890
21,2019-05-07,4,3,0,0,0,0,0,0,1,0,.270,.319,.540,.858
22,2019-05-08,1,1,0,0,0,0,0,0,0,1,.266,.314,.531,.846
23,2019-05-10,4,4,0,1,0,0,0,0,0,2,.265,.311,.515,.826
24,2019-05-12,3,3,0,0,0,0,0,0,0,1,.254,.299,.493,.792
25,2019-05-16,4,4,0,3,1,0,0,2,0,1,.280,.321,.520,.841
26,2019-05-17,5,4,2,1,0,0,0,1,1,0,.278,.326,.506,.832
27,2019-05-19,4,4,1,1,0,0,0,0,0,0,.277,.322,.494,.816
28,2019-05-20,1,1,0,0,0,0,0,0,0,0,.274,.319,.488,.807
29,2019-05-22,4,4,0,0,0,0,0,0,0,2,.261,.305,.466,.771
30,2019-05-27,4,3,1,1,0,0,0,0,1,0,.264,.313,.462,.775
