,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,July,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2020-08-24,4,3,0,1,0,0,0,0,1,1,.333,.500,.333,.833
3,2020-08-25,4,4,0,1,0,0,0,0,0,1,.286,.375,.286,.661
4,2020-08-26,3,3,0,0,0,0,0,0,0,2,.200,.273,.200,.473
5,2020-08-28,4,3,1,1,0,0,0,0,1,2,.231,.333,.231,.564
6,2020-08-29,4,3,1,1,0,0,1,1,1,2,.250,.368,.438,.806
7,2020-08-30,4,4,1,2,0,0,0,0,0,1,.300,.391,.450,.841
8,August,23,20,3,6,0,0,1,1,3,9,.300,.391,.450,.841
9,2020-09-01,4,3,1,0,0,0,0,0,1,1,.261,.370,.391,.762
10,2020-09-02,4,4,0,0,0,0,0,0,0,0,.222,.323,.333,.656
11,2020-09-03,5,4,0,0,0,0,0,0,1,3,.194,.306,.290,.596
12,2020-09-04,4,4,1,1,0,0,0,0,0,2,.200,.300,.286,.586
13,2020-09-05,4,3,0,1,0,0,0,0,1,1,.211,.318,.289,.608
14,2020-09-06,4,4,1,2,1,0,1,1,0,0,.238,.333,.405,.738
15,2020-09-07,4,3,1,0,0,0,0,0,1,2,.222,.327,.378,.705
16,2020-09-08,5,5,1,1,1,0,0,0,0,1,.220,.316,.380,.696
17,2020-09-09,5,4,2,1,1,0,0,0,1,1,.222,.323,.389,.712
18,2020-09-10,4,4,1,1,0,1,0,0,0,2,.224,.318,.414,.732
19,2020-09-11,5,4,1,1,0,0,0,0,1,2,.226,.324,.403,.727
20,2020-09-12,3,2,0,0,0,0,0,0,1,1,.219,.324,.391,.715
21,2020-09-12,4,4,0,2,0,0,0,0,0,2,.235,.333,.397,.730
22,2020-09-13,4,3,0,0,0,0,0,0,1,1,.225,.329,.380,.710
23,2020-09-15,4,4,0,0,0,0,0,0,0,1,.213,.314,.360,.674
24,2020-09-16,4,4,1,1,1,0,0,0,0,1,.215,.311,.367,.678
25,2020-09-17,4,4,0,1,0,0,0,0,0,1,.217,.309,.361,.670
26,2020-09-18,4,4,0,0,0,0,0,0,0,1,.207,.296,.345,.641
27,2020-09-19,4,4,1,2,0,0,1,1,0,1,.220,.304,.385,.688
28,2020-09-20,5,4,1,0,0,0,0,0,1,2,.211,.299,.368,.668
29,2020-09-21,4,3,1,0,0,0,0,0,1,1,.204,.297,.357,.654
30,2020-09-22,4,2,0,0,0,0,0,0,1,1,.200,.298,.350,.648
31,2020-09-23,4,4,1,2,1,0,0,0,0,1,.212,.305,.365,.670
32,2020-09-24,5,5,1,2,1,0,0,0,0,1,.220,.309,.376,.685
33,2020-09-26,5,5,1,1,0,0,1,1,0,3,.219,.305,.395,.699
34,2020-09-27,5,5,1,2,0,0,0,2,0,1,.227,.308,.395,.703
35,September,111,99,17,21,6,1,3,5,11,34,.212,.291,.384,.675
