,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,5,4,1,0,0,0,0,0,1,3,.000,.200,.000,.200
1,2020-07-26,3,3,0,0,0,0,0,0,0,2,.000,.125,.000,.125
2,2020-07-28,2,2,0,0,0,0,0,0,0,0,.000,.100,.000,.100
3,2020-07-30,4,4,0,2,0,0,0,0,0,2,.154,.214,.154,.368
4,2020-07-31,3,3,1,1,0,0,1,1,0,0,.188,.235,.375,.610
5,July,17,16,2,3,0,0,1,1,1,7,.188,.235,.375,.610
6,2020-08-02,3,3,0,0,0,0,0,0,0,2,.158,.200,.316,.516
7,2020-08-04,2,2,0,0,0,0,0,0,0,0,.143,.182,.286,.468
8,2020-08-05,4,4,2,3,0,0,1,2,0,1,.240,.269,.480,.749
9,2020-08-10,5,5,1,1,1,0,0,1,0,2,.233,.258,.467,.725
10,2020-08-11,4,4,0,2,0,1,0,1,0,1,.265,.286,.529,.815
11,2020-08-12,4,4,0,1,0,0,0,0,0,2,.263,.282,.500,.782
12,2020-08-13,2,2,1,2,0,1,0,0,0,0,.300,.317,.575,.892
13,2020-08-15,4,4,0,1,0,0,0,0,0,1,.295,.311,.545,.857
14,2020-08-16,2,2,0,0,0,0,0,0,0,2,.283,.298,.522,.820
15,2020-08-17,4,2,0,0,0,0,0,0,1,1,.271,.314,.500,.814
16,2020-08-18,5,5,0,0,0,0,0,0,0,5,.245,.286,.453,.738
17,2020-08-21,4,4,0,1,0,0,0,2,0,0,.246,.283,.439,.722
18,2020-08-23,3,3,0,0,0,0,0,0,0,3,.233,.270,.417,.686
19,2020-08-26,3,2,0,0,0,0,0,0,1,1,.226,.273,.403,.676
20,2020-08-29,3,3,0,1,0,0,0,0,0,2,.231,.275,.400,.675
21,2020-08-31,4,4,0,0,0,0,0,0,0,1,.217,.260,.377,.637
22,August,56,53,4,12,1,2,1,6,2,24,.226,.268,.377,.645
23,2020-09-01,4,4,0,0,0,0,0,0,0,1,.205,.247,.356,.603
24,2020-09-02,4,3,0,0,0,0,0,1,0,2,.197,.235,.342,.577
25,2020-09-03,5,5,0,1,0,0,0,0,0,2,.198,.233,.333,.566
26,2020-09-04,3,3,0,2,1,0,0,1,0,1,.214,.247,.357,.604
27,2020-09-04,3,3,0,1,0,0,0,1,0,1,.218,.250,.356,.606
28,2020-09-05,4,4,0,1,0,0,0,0,0,1,.220,.250,.352,.602
29,2020-09-06,5,3,1,2,0,0,0,0,2,0,.234,.277,.362,.639
30,2020-09-08,4,4,0,0,0,0,0,0,0,1,.224,.267,.347,.614
31,2020-09-11,4,3,0,1,0,0,0,0,1,1,.228,.275,.347,.622
32,2020-09-12,4,4,1,1,0,0,1,1,0,2,.229,.274,.371,.646
33,2020-09-13,4,3,1,1,0,0,0,0,1,0,.231,.282,.370,.652
34,2020-09-16,4,4,0,0,0,0,0,0,0,2,.223,.273,.357,.630
35,2020-09-18,6,6,1,0,0,0,0,0,0,3,.212,.260,.339,.599
36,2020-09-19,3,3,0,0,0,0,0,0,0,0,.207,.254,.331,.584
37,2020-09-20,5,4,3,2,0,0,2,5,1,0,.216,.267,.384,.651
38,2020-09-22,4,3,0,1,1,0,0,1,0,0,.219,.266,.391,.657
39,2020-09-23,4,4,1,1,1,0,0,1,0,0,.220,.266,.394,.660
40,2020-09-24,3,2,0,0,0,0,0,0,0,0,.216,.267,.388,.655
41,2020-09-25,3,3,0,0,0,0,0,0,0,0,.212,.262,.380,.641
42,2020-09-26,4,4,1,1,0,0,0,0,0,1,.213,.261,.376,.637
43,2020-09-27,5,5,1,1,1,0,0,1,0,1,.212,.259,.377,.636
44,September,85,77,10,16,4,0,3,12,5,19,.208,.259,.377,.635
