,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
1,2019-03-30,5,5,2,2,0,0,0,0,0,1,.222,.222,.222,.444
2,March,14,14,3,4,0,0,0,0,0,4,.286,.286,.286,.571
3,2019-03-31,5,5,1,2,0,0,0,0,0,1,.286,.286,.286,.571
4,2019-04-01,4,3,1,2,0,0,0,0,0,1,.353,.389,.353,.742
5,2019-04-02,5,4,1,1,0,0,0,0,1,1,.333,.391,.333,.725
6,2019-04-03,5,4,0,2,1,0,0,0,1,1,.360,.429,.400,.829
7,2019-04-04,4,4,0,0,0,0,0,0,0,3,.310,.375,.345,.720
8,2019-04-06,4,4,2,2,1,0,1,1,0,1,.333,.389,.485,.874
9,2019-04-07,5,4,2,2,1,0,1,3,0,2,.351,.415,.595,1.009
10,2019-04-09,5,3,3,2,1,0,1,1,2,0,.375,.457,.700,1.157
11,2019-04-10,4,3,0,1,0,0,0,3,1,0,.372,.460,.674,1.134
12,2019-04-11,5,3,1,0,0,0,0,0,2,2,.348,.455,.630,1.085
13,2019-04-12,5,4,0,1,1,0,0,1,1,0,.340,.450,.620,1.070
14,2019-04-13,4,3,0,1,1,0,0,0,1,0,.340,.453,.623,1.076
15,2019-04-14,5,5,0,1,1,0,0,0,0,1,.328,.435,.603,1.038
16,2019-04-15,6,6,1,1,0,0,0,0,0,1,.313,.413,.563,.976
17,2019-04-16,4,3,1,1,0,0,1,1,1,0,.313,.418,.597,1.015
18,2019-04-17,4,4,1,2,0,0,1,1,0,0,.324,.422,.634,1.055
19,2019-04-19,5,2,1,0,0,0,0,0,3,1,.315,.432,.616,1.048
20,2019-04-20,4,4,0,0,0,0,0,0,0,1,.299,.413,.584,.998
21,2019-04-21,4,3,1,1,0,0,1,1,1,0,.300,.417,.613,1.029
22,2019-04-22,4,2,0,0,0,0,0,1,1,1,.293,.410,.598,1.008
23,2019-04-23,5,4,1,2,0,0,0,0,1,0,.302,.419,.593,1.012
24,2019-04-24,4,3,0,0,0,0,0,0,1,1,.292,.413,.573,.986
25,2019-04-26,4,3,0,0,0,0,0,0,1,0,.283,.407,.554,.961
26,2019-04-27,5,4,0,0,0,0,0,0,1,3,.271,.398,.531,.930
