,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,5,3,0,0,0,0,0,1,1,2,.000,.200,.000,.200
1,2020-07-25,4,3,1,2,0,0,0,0,1,0,.333,.444,.333,.778
2,2020-07-28,4,4,0,0,0,0,0,0,0,3,.200,.308,.200,.508
3,2020-07-30,3,3,0,0,0,0,0,0,0,3,.154,.250,.154,.404
4,July,16,13,1,2,0,0,0,1,2,8,.154,.250,.154,.404
5,2020-08-01,3,2,0,0,0,0,0,0,0,1,.133,.263,.133,.396
6,2020-08-02,3,3,1,1,0,0,1,1,0,1,.167,.273,.333,.606
7,2020-08-03,5,3,1,0,0,0,0,0,2,0,.143,.296,.286,.582
8,2020-08-05,4,3,1,0,0,0,0,0,1,2,.125,.290,.250,.540
9,2020-08-07,4,3,0,0,0,0,0,0,1,1,.111,.286,.222,.508
10,2020-08-08,5,5,0,0,0,0,0,0,0,2,.094,.250,.188,.438
11,2020-08-11,4,4,0,1,0,0,0,0,0,3,.111,.250,.194,.444
12,2020-08-12,6,6,2,3,0,0,0,0,0,0,.167,.280,.238,.518
13,2020-08-15,3,3,1,0,0,0,0,0,0,2,.156,.264,.222,.486
14,2020-08-16,1,1,0,0,0,0,0,0,0,1,.152,.259,.217,.477
15,2020-08-17,4,3,0,0,0,0,0,0,1,1,.143,.259,.204,.463
16,2020-08-18,0,0,0,0,0,0,0,0,0,0,.143,.259,.204,.463
17,2020-08-19,3,3,0,1,0,0,0,0,0,2,.154,.262,.212,.474
18,August,45,39,6,6,0,0,1,1,5,16,.154,.267,.231,.497
19,2020-09-18,3,3,0,0,0,0,0,0,0,2,.145,.250,.200,.450
20,2020-09-19,2,2,0,1,0,0,0,2,0,1,.158,.258,.211,.468
21,2020-09-20,4,4,0,0,0,0,0,0,0,3,.148,.243,.197,.440
22,2020-09-22,5,5,1,1,0,0,1,1,0,3,.152,.240,.242,.482
23,2020-09-25,4,4,0,1,1,0,0,0,0,3,.157,.241,.257,.498
24,2020-09-27,2,2,0,1,0,0,0,0,0,1,.167,.247,.264,.511
25,September,20,20,1,4,1,0,1,3,0,13,.200,.200,.400,.600
