,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,3,2,0,1,0,0,0,0,1,1,.500,.667,.500,1.167
1,2020-07-25,4,3,0,0,0,0,0,0,1,0,.200,.429,.200,.629
2,2020-07-26,1,1,0,0,0,0,0,0,0,0,.167,.375,.167,.542
3,2020-07-27,0,0,0,0,0,0,0,0,0,0,.167,.375,.167,.542
4,2020-07-28,1,1,0,0,0,0,0,0,0,0,.143,.333,.143,.476
5,2020-07-29,4,4,0,0,0,0,0,0,0,1,.091,.231,.091,.322
6,2020-07-31,3,3,1,1,0,0,0,0,0,1,.143,.250,.143,.393
7,July,16,14,1,2,0,0,0,0,2,3,.143,.250,.143,.393
8,2020-08-01,2,2,0,0,0,0,0,0,0,1,.125,.222,.125,.347
9,2020-08-02,2,2,0,1,1,0,0,1,0,1,.167,.250,.222,.472
10,2020-08-05,3,3,0,1,0,0,0,0,0,0,.190,.261,.238,.499
11,2020-08-06,5,5,1,1,0,0,0,0,0,1,.192,.250,.231,.481
12,2020-08-07,3,2,0,1,0,0,0,1,0,0,.214,.267,.250,.517
13,2020-08-08,4,4,1,2,0,0,1,2,0,1,.250,.294,.375,.669
14,2020-08-09,4,3,0,1,1,0,0,0,1,0,.257,.316,.400,.716
15,2020-08-11,4,4,1,1,1,0,0,0,0,0,.256,.310,.410,.720
16,2020-08-12,4,2,1,0,0,0,0,0,2,1,.244,.326,.390,.716
17,2020-08-15,2,2,0,0,0,0,0,0,0,1,.233,.313,.372,.685
18,2020-08-15,3,2,1,2,0,0,0,0,1,0,.267,.353,.400,.753
19,2020-08-16,4,3,0,0,0,0,0,0,1,2,.250,.345,.375,.720
20,2020-08-17,4,4,0,1,0,0,0,0,0,0,.250,.339,.365,.704
21,2020-08-19,3,3,0,0,0,0,0,0,0,1,.236,.323,.345,.668
22,2020-08-19,3,3,0,0,0,0,0,0,0,1,.224,.308,.328,.635
23,2020-08-21,4,4,2,1,0,0,0,0,0,1,.226,.304,.323,.627
24,2020-08-22,5,5,0,2,1,0,0,1,0,2,.239,.311,.343,.654
25,2020-08-23,5,5,0,0,0,0,0,0,0,3,.222,.291,.319,.611
26,2020-08-24,4,4,0,1,0,0,0,0,0,1,.224,.289,.316,.605
27,2020-08-25,4,4,0,0,0,0,0,0,0,0,.213,.276,.300,.576
28,2020-08-26,4,3,2,1,0,0,0,0,1,0,.217,.286,.301,.587
29,2020-08-28,4,2,0,0,0,0,0,0,1,0,.212,.287,.294,.581
30,2020-08-29,4,3,0,0,0,0,0,0,1,1,.205,.286,.284,.570
31,2020-08-30,4,3,0,0,0,0,0,0,1,2,.198,.284,.275,.559
32,2020-08-31,4,3,0,0,0,0,0,0,0,1,.191,.283,.266,.549
33,August,92,80,9,16,4,0,1,5,9,21,.200,.289,.288,.576
34,2020-09-01,4,4,0,2,0,0,0,0,0,2,.204,.291,.276,.566
35,2020-09-02,2,2,0,0,0,0,0,0,0,0,.200,.286,.270,.556
36,2020-09-03,4,4,0,2,1,0,0,3,0,0,.212,.293,.288,.582
37,2020-09-04,4,4,0,1,0,0,0,0,0,0,.213,.292,.287,.579
38,2020-09-05,1,1,0,0,0,0,0,0,0,0,.211,.289,.284,.574
39,2020-09-06,3,3,0,1,0,0,0,0,0,1,.214,.290,.286,.576
40,2020-09-08,4,3,2,1,1,0,0,2,0,0,.217,.297,.296,.592
41,2020-09-09,4,4,0,3,0,0,0,1,0,0,.235,.311,.311,.622
42,2020-09-10,4,4,1,1,0,0,0,0,0,1,.236,.309,.309,.618
43,2020-09-11,4,4,0,0,0,0,0,0,0,2,.228,.300,.299,.599
44,2020-09-12,4,3,0,0,0,0,0,1,1,0,.223,.299,.292,.591
45,2020-09-13,5,4,1,1,1,0,0,1,1,1,.224,.302,.299,.600
46,2020-09-15,4,2,0,1,0,0,0,0,2,0,.228,.314,.301,.615
47,2020-09-16,4,3,0,0,0,0,0,0,1,1,.223,.312,.295,.607
48,2020-09-18,4,3,0,0,0,0,0,0,1,2,.218,.311,.289,.599
49,2020-09-19,3,3,0,1,0,0,0,0,0,0,.221,.311,.290,.601
50,2020-09-20,3,3,0,0,0,0,0,0,0,1,.216,.305,.284,.589
51,2020-09-21,3,3,0,0,0,0,0,0,0,1,.212,.300,.278,.578
52,2020-09-22,3,3,0,1,0,0,0,0,0,0,.214,.301,.279,.580
53,2020-09-23,4,4,1,1,1,0,0,0,0,1,.215,.299,.285,.584
54,2020-09-24,4,3,0,0,0,0,0,0,1,1,.211,.298,.280,.578
55,2020-09-25,3,2,0,0,0,0,0,0,0,2,.209,.295,.276,.571
56,2020-09-26,3,3,0,0,0,0,0,0,0,0,.205,.290,.271,.561
57,2020-09-27,3,3,0,0,0,0,0,0,0,1,.201,.286,.266,.552
58,September,84,75,5,16,4,0,0,8,7,17,.213,.289,.267,.556
