,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,3,2,1,1,0,0,0,0,1,0,.500,.667,.500,1.167
1,2020-07-25,4,4,0,0,0,0,0,0,0,4,.167,.286,.167,.452
2,2020-07-28,4,4,0,0,0,0,0,0,0,2,.100,.182,.100,.282
3,July,11,10,1,1,0,0,0,0,1,6,.100,.182,.100,.282
4,2020-08-18,4,4,0,0,0,0,0,0,0,1,.071,.133,.071,.205
5,2020-08-19,4,2,0,0,0,0,0,0,1,1,.063,.211,.063,.273
6,2020-08-21,4,2,0,1,0,0,0,0,2,1,.111,.304,.111,.416
7,2020-08-22,4,4,0,1,0,0,0,1,0,2,.136,.296,.136,.433
8,2020-08-24,4,4,0,0,0,0,0,0,0,1,.115,.258,.115,.373
9,2020-08-25,3,3,0,0,0,0,0,0,0,1,.103,.235,.103,.339
10,2020-08-26,4,2,0,0,0,0,0,0,1,1,.097,.263,.097,.360
11,2020-08-28,6,5,0,3,0,0,0,1,1,0,.167,.318,.167,.485
12,2020-08-29,1,1,0,0,0,0,0,0,0,1,.162,.311,.162,.473
13,2020-08-30,3,3,0,0,0,0,0,0,0,1,.150,.292,.150,.442
14,2020-08-31,3,3,0,0,0,0,0,0,0,0,.140,.275,.140,.414
15,August,40,33,0,5,0,0,0,2,5,10,.152,.300,.152,.452
16,2020-09-01,4,4,1,2,1,0,1,3,0,1,.170,.291,.255,.546
17,2020-09-02,1,1,0,0,0,0,0,0,0,1,.167,.286,.250,.536
18,2020-09-06,4,4,0,1,0,0,0,0,0,2,.173,.283,.250,.533
19,2020-09-07,4,4,1,1,0,0,0,0,0,1,.179,.281,.250,.531
20,2020-09-09,4,3,0,1,0,0,0,0,1,1,.186,.294,.254,.548
21,2020-09-11,3,3,0,0,0,0,0,0,0,2,.177,.282,.242,.524
22,2020-09-12,4,4,0,0,0,0,0,0,0,3,.167,.267,.227,.494
23,2020-09-13,0,0,0,0,0,0,0,0,0,0,.167,.267,.227,.494
24,2020-09-15,3,3,0,0,0,0,0,0,0,2,.159,.256,.217,.474
25,2020-09-17,5,3,0,0,0,0,0,0,2,0,.153,.265,.208,.473
26,2020-09-18,4,3,0,1,0,0,0,0,1,1,.160,.276,.213,.489
27,2020-09-19,4,4,1,1,0,0,0,0,0,2,.165,.275,.215,.490
28,2020-09-21,4,4,0,0,0,0,0,0,0,2,.157,.263,.205,.468
29,2020-09-22,4,4,1,0,0,0,0,0,0,0,.149,.253,.195,.448
30,2020-09-23,3,3,0,1,0,0,0,0,0,2,.156,.255,.200,.455
31,2020-09-24,2,2,1,1,1,0,0,0,0,0,.163,.260,.217,.477
32,2020-09-26,2,2,0,0,0,0,0,0,0,1,.160,.255,.213,.468
33,2020-09-27,4,3,0,1,0,0,0,0,1,1,.165,.264,.216,.480
34,September,59,54,5,10,2,0,1,3,5,22,.185,.254,.278,.532
