,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-04-18,4,4,0,0,0,0,0,0,0,4,.000,.000,.000,.000
1,2019-04-19,6,5,0,1,0,0,0,0,1,2,.111,.200,.111,.311
2,2019-04-20,4,3,1,1,0,0,0,0,1,1,.167,.286,.167,.452
3,2019-04-21,4,4,0,0,0,0,0,0,0,1,.125,.222,.125,.347
4,2019-04-22,2,2,0,0,0,0,0,0,0,2,.111,.200,.111,.311
5,2019-04-23,3,3,0,0,0,0,0,0,0,3,.095,.174,.095,.269
6,2019-04-24,4,4,0,1,0,0,0,1,0,1,.120,.185,.120,.305
7,April,27,25,1,3,0,0,0,1,2,14,.120,.185,.120,.305
8,2019-06-19,4,4,0,0,0,0,0,0,0,0,.103,.161,.103,.265
9,2019-06-21,4,3,1,1,1,0,0,0,1,2,.125,.200,.156,.356
10,2019-06-22,1,0,0,0,0,0,0,0,1,0,.125,.222,.156,.378
11,2019-06-23,4,4,0,0,0,0,0,0,0,1,.111,.200,.139,.339
12,2019-06-24,5,4,2,1,0,0,0,1,1,0,.125,.222,.150,.372
13,2019-06-25,1,1,0,0,0,0,0,0,0,1,.122,.217,.146,.364
14,2019-06-26,0,0,1,0,0,0,0,0,0,0,.122,.217,.146,.364
15,2019-06-27,0,0,0,0,0,0,0,0,0,0,.122,.217,.146,.364
16,2019-06-29,3,3,0,0,0,0,0,0,0,1,.114,.204,.136,.340
17,2019-06-30,1,1,0,0,0,0,0,0,0,0,.111,.200,.133,.333
18,June,23,20,4,2,1,0,0,1,3,5,.100,.217,.150,.367
19,2019-07-02,0,0,0,0,0,0,0,0,0,0,.111,.200,.133,.333
20,2019-07-05,0,0,1,0,0,0,0,0,0,0,.111,.200,.133,.333
21,2019-07-12,1,1,0,0,0,0,0,0,0,1,.109,.196,.130,.326
22,2019-07-13,4,4,0,0,0,0,0,0,0,1,.100,.182,.120,.302
23,2019-07-15,1,1,0,0,0,0,0,0,0,1,.098,.179,.118,.296
24,2019-07-16,2,2,0,0,0,0,0,0,0,0,.094,.172,.113,.286
25,2019-07-17,1,1,0,0,0,0,0,0,0,0,.093,.169,.111,.281
26,2019-07-18,1,0,1,0,0,0,0,0,1,0,.093,.183,.111,.294
27,2019-07-21,1,1,0,1,1,0,0,0,0,0,.109,.197,.145,.342
28,2019-07-23,6,5,1,1,0,0,1,2,0,2,.117,.197,.200,.397
29,2019-07-24,4,4,1,2,0,0,0,0,0,1,.141,.214,.219,.433
30,2019-07-27,4,3,0,0,0,0,0,0,1,1,.134,.216,.209,.425
31,2019-07-28,2,2,0,0,0,0,0,0,0,0,.130,.211,.203,.413
32,2019-07-31,1,1,0,0,0,0,0,0,0,0,.129,.208,.200,.408
33,July,28,25,4,4,1,0,1,2,2,7,.160,.222,.320,.542
34,2019-08-01,2,1,1,1,0,0,1,1,1,0,.141,.228,.254,.481
35,2019-08-02,7,6,2,3,0,0,1,1,1,2,.169,.256,.312,.568
36,2019-08-04,4,4,0,1,0,0,0,0,0,2,.173,.256,.309,.564
37,2019-08-05,4,4,0,2,0,0,0,1,0,0,.188,.266,.318,.584
38,2019-08-06,1,1,0,1,0,0,0,0,0,0,.198,.274,.326,.599
39,2019-08-07,1,1,0,0,0,0,0,0,0,0,.195,.271,.322,.593
40,2019-08-08,4,4,0,0,0,0,0,0,0,0,.187,.260,.308,.568
41,2019-08-10,1,1,0,0,0,0,0,0,0,0,.185,.257,.304,.562
42,2019-08-11,5,3,0,0,0,0,0,1,2,1,.179,.264,.295,.559
43,2019-08-13,4,4,0,2,0,1,0,1,0,2,.192,.273,.323,.596
44,2019-08-14,4,3,2,1,0,0,0,0,1,0,.196,.281,.324,.604
45,2019-08-15,2,2,2,2,1,0,0,1,0,0,.212,.293,.346,.639
46,2019-08-16,5,4,2,1,0,0,1,1,0,1,.213,.298,.370,.668
47,August,44,38,9,14,1,1,3,7,5,8,.368,.455,.684,1.139
