,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-05-03,4,3,0,0,0,0,0,0,0,2,.000,.250,.000,.250
1,2018-05-04,2,2,0,1,1,0,0,0,0,1,.200,.333,.400,.733
2,2018-05-06,3,2,0,1,0,0,0,0,1,1,.286,.444,.429,.873
3,2018-05-08,1,0,1,0,0,0,0,0,1,0,.286,.500,.429,.929
4,2018-05-09,1,1,0,0,0,0,0,0,0,1,.250,.455,.375,.830
5,2018-05-10,1,1,0,0,0,0,0,0,0,0,.222,.417,.333,.750
6,2018-05-11,1,1,0,0,0,0,0,0,0,0,.200,.385,.300,.685
7,2018-05-13,1,1,0,0,0,0,0,0,0,0,.182,.357,.273,.630
8,May,14,11,1,2,1,0,0,0,2,5,.182,.357,.273,.630
9,2018-09-02,0,0,1,0,0,0,0,0,0,0,.182,.357,.273,.630
10,2018-09-04,0,0,1,0,0,0,0,0,0,0,.182,.357,.273,.630
11,2018-09-09,0,0,0,0,0,0,0,0,0,0,.182,.357,.273,.630
12,2018-09-11,0,0,0,0,0,0,0,0,0,0,.182,.357,.273,.630
13,2018-09-15,0,0,1,0,0,0,0,0,0,0,.182,.357,.273,.630
14,2018-09-18,0,0,0,0,0,0,0,0,0,0,.182,.357,.273,.630
15,2018-09-21,0,0,0,0,0,0,0,0,0,0,.182,.357,.273,.630
16,2018-09-24,0,0,1,0,0,0,0,0,0,0,.182,.357,.273,.630
17,2018-09-25,0,0,1,0,0,0,0,0,0,0,.182,.357,.273,.630
18,2018-09-30,0,0,0,0,0,0,0,0,0,0,.182,.357,.273,.630
19,September,0,0,5,0,0,0,0,0,0,0,.000,.000,.000,.000
