,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-02,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021-04-03,3,2,0,1,1,0,0,0,1,0,.333,.500,.667,1.167
2,2021-04-05,1,1,0,0,0,0,0,0,0,0,.250,.400,.500,.900
3,2021-04-06,1,1,0,0,0,0,0,0,0,0,.200,.333,.400,.733
4,2021-04-07,1,1,0,0,0,0,0,0,0,0,.167,.286,.333,.619
5,2021-04-10,4,3,1,2,1,0,0,0,1,0,.333,.455,.556,1.010
6,2021-04-11,4,4,0,0,0,0,0,0,0,1,.231,.333,.385,.718
7,2021-04-12,1,1,0,0,0,0,0,0,0,0,.214,.313,.357,.670
8,2021-04-13,3,3,1,3,1,0,0,0,0,0,.353,.421,.529,.950
9,2021-04-14,3,3,0,1,0,0,0,0,0,1,.350,.409,.500,.909
10,2021-04-16,1,1,0,0,0,0,0,0,0,0,.333,.391,.476,.868
11,2021-04-17,3,3,0,1,0,0,0,0,0,1,.333,.385,.458,.843
12,2021-04-18,3,3,1,1,0,0,0,0,0,1,.333,.379,.444,.824
13,2021-04-19,4,3,0,0,0,0,0,0,1,0,.300,.364,.400,.764
14,2021-04-20,5,4,1,1,0,0,1,2,1,0,.294,.368,.471,.839
15,2021-04-21,5,5,0,1,0,0,0,0,0,0,.282,.349,.436,.785
16,2021-04-22,3,3,0,0,0,0,0,0,0,0,.262,.326,.405,.731
17,2021-04-23,4,3,1,0,0,0,0,0,1,1,.244,.320,.378,.698
18,2021-04-24,4,4,0,1,0,0,0,0,0,1,.245,.315,.367,.682
19,2021-04-25,4,4,1,1,0,0,0,0,0,0,.245,.310,.358,.669
20,2021-04-27,5,5,0,0,0,0,0,0,0,0,.224,.286,.328,.613
21,2021-04-28,5,3,0,1,0,0,0,1,1,1,.230,.299,.328,.626
22,2021-04-30,3,3,0,0,0,0,0,0,0,2,.219,.286,.313,.598
23,April,71,64,6,14,3,0,1,3,6,9,.219,.286,.313,.598
24,2021-05-01,1,1,0,0,0,0,0,0,0,1,.215,.282,.308,.589
25,2021-05-02,3,3,2,2,0,1,0,2,0,0,.235,.297,.353,.650
26,May,4,4,2,2,0,1,0,2,0,1,.500,.500,1.000,1.500
27,2021-08-04,4,2,1,2,0,0,0,0,2,0,.257,.333,.371,.705
28,2021-08-05,5,5,1,0,0,0,0,0,0,1,.240,.313,.347,.660
29,2021-08-06,3,3,0,0,0,0,0,0,0,0,.231,.302,.333,.636
30,2021-08-07,5,5,0,0,0,0,0,0,0,0,.217,.286,.313,.599
31,2021-08-08,1,1,0,1,0,0,0,1,0,0,.226,.293,.321,.615
32,2021-08-10,4,3,0,0,0,0,0,0,1,0,.218,.292,.310,.602
33,2021-08-11,1,1,0,1,0,0,0,0,0,0,.227,.299,.318,.617
34,2021-08-12,4,4,0,1,1,0,0,0,0,0,.228,.297,.326,.623
35,2021-08-13,1,1,0,0,0,0,0,0,0,0,.226,.294,.323,.617
36,2021-08-14,1,1,0,1,0,0,0,0,0,0,.234,.301,.330,.631
37,2021-08-15,4,4,0,3,1,0,0,2,0,0,.255,.318,.357,.675
38,2021-08-16,3,3,0,0,0,0,0,0,0,1,.248,.309,.347,.656
39,2021-08-17,3,3,1,1,0,0,1,2,0,1,.250,.310,.375,.685
40,2021-08-18,5,5,0,1,0,0,0,1,0,1,.248,.305,.367,.672
41,2021-08-20,4,3,0,0,0,0,0,0,1,1,.241,.303,.357,.660
42,2021-08-21,2,2,0,1,0,0,0,0,0,0,.246,.306,.360,.666
43,2021-08-22,2,2,0,1,0,0,0,0,0,0,.250,.310,.362,.672
44,2021-08-24,5,4,1,1,0,0,0,0,1,0,.250,.313,.358,.671
45,2021-08-25,3,3,0,0,0,0,0,0,0,0,.244,.306,.350,.656
46,2021-08-26,3,3,0,1,1,0,0,0,0,0,.246,.307,.357,.664
47,2021-08-27,4,4,0,2,1,0,0,1,0,0,.254,.312,.369,.681
48,2021-08-28,5,4,1,1,0,0,1,2,0,1,.254,.308,.388,.696
49,2021-08-29,4,4,0,0,0,0,0,0,0,1,.246,.300,.377,.677
50,August,76,70,5,18,4,0,2,9,5,7,.257,.303,.400,.703
51,2021-09-03,1,1,0,0,0,0,0,0,0,0,.245,.298,.374,.672
52,2021-09-04,1,1,0,0,0,0,0,0,0,0,.243,.296,.371,.668
53,2021-09-05,3,3,0,0,0,0,0,0,0,0,.238,.290,.364,.654
54,2021-09-06,1,1,0,0,0,0,0,0,0,1,.236,.288,.361,.650
55,2021-09-07,5,4,1,2,1,0,0,1,1,0,.243,.298,.372,.670
56,2021-09-08,3,3,0,0,0,0,0,0,0,0,.238,.293,.364,.657
57,2021-09-10,5,5,0,0,0,0,0,0,0,0,.231,.284,.353,.637
58,2021-09-11,6,6,3,3,1,0,1,5,0,0,.241,.291,.383,.674
59,2021-09-12,1,1,0,0,0,0,0,0,0,1,.239,.290,.380,.670
60,2021-09-13,4,3,1,1,0,0,1,1,1,0,.241,.294,.398,.692
61,2021-09-14,5,4,0,2,0,0,0,1,1,1,.247,.303,.400,.703
62,2021-09-15,5,4,0,0,0,0,0,0,1,0,.241,.300,.391,.691
63,2021-09-16,1,1,1,1,0,0,0,0,0,0,.246,.304,.394,.698
64,2021-09-17,3,3,0,0,0,0,0,0,0,1,.242,.299,.388,.687
65,2021-09-18,4,3,0,1,1,0,0,0,0,1,.243,.303,.392,.695
66,2021-09-19,1,1,0,0,0,0,0,0,0,0,.242,.302,.390,.692
67,2021-09-21,5,5,1,1,0,0,1,1,0,1,.241,.299,.401,.700
68,2021-09-22,5,3,2,0,0,0,0,0,1,0,.237,.298,.395,.693
69,2021-09-23,5,3,1,1,1,0,0,1,2,0,.238,.305,.399,.704
70,2021-09-24,5,5,1,3,0,0,1,1,0,0,.247,.312,.419,.731
71,2021-09-25,5,5,0,1,0,0,0,0,0,2,.246,.309,.414,.723
72,2021-09-26,1,1,1,1,0,0,0,1,0,0,.250,.313,.417,.729
73,2021-09-28,4,4,0,1,0,0,0,0,0,1,.250,.311,.413,.725
74,2021-09-29,1,1,0,1,0,0,0,0,0,0,.254,.314,.416,.731
75,2021-09-30,1,1,0,0,0,0,0,0,0,0,.252,.313,.414,.727
76,September,81,72,12,19,4,0,4,12,7,9,.264,.338,.486,.824
77,2021-10-01,1,1,0,0,0,0,0,0,0,0,.251,.312,.412,.724
78,2021-10-02,4,4,0,1,0,0,0,0,0,0,.251,.311,.409,.720
79,2021-10-03,5,5,1,1,0,0,0,1,0,0,.250,.308,.405,.713
80,October,10,10,1,2,0,0,0,1,0,0,.200,.200,.200,.400
