,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-04-02,3,3,0,1,0,0,0,0,0,2,.333,.333,.333,.667
1,2019-04-03,3,3,0,0,0,0,0,0,0,1,.167,.167,.167,.333
2,2019-04-04,4,4,1,1,0,0,0,0,0,1,.200,.200,.200,.400
3,2019-04-06,2,2,0,0,0,0,0,0,0,2,.167,.167,.167,.333
4,2019-04-07,1,0,1,0,0,0,0,0,1,0,.167,.231,.167,.397
5,2019-04-10,3,3,0,1,0,0,0,0,0,2,.200,.250,.200,.450
6,2019-04-13,3,2,0,0,0,0,0,1,0,0,.176,.222,.176,.399
7,2019-04-18,2,1,0,0,0,0,0,0,1,0,.167,.250,.167,.417
8,2019-04-19,3,3,1,2,0,0,0,0,0,0,.238,.304,.238,.542
9,2019-04-20,1,1,1,0,0,0,0,0,0,1,.227,.292,.227,.519
10,2019-04-21,3,2,0,0,0,0,0,0,1,1,.208,.296,.208,.505
11,2019-04-22,2,2,0,0,0,0,0,0,0,1,.192,.276,.192,.468
12,2019-04-23,5,4,0,1,0,0,0,1,1,1,.200,.294,.200,.494
13,2019-04-24,4,3,2,2,0,0,0,1,1,1,.242,.342,.242,.584
14,2019-04-25,4,3,1,1,0,0,0,0,1,1,.250,.357,.250,.607
15,2019-04-26,1,1,0,0,0,0,0,0,0,1,.243,.349,.243,.592
16,2019-04-28,5,4,1,1,0,0,0,2,1,1,.244,.354,.244,.598
17,2019-04-30,3,3,0,0,0,0,0,0,0,2,.227,.333,.227,.561
18,April,52,44,8,10,0,0,0,5,7,18,.227,.333,.227,.561
19,2019-05-01,4,4,0,0,0,0,0,0,0,0,.208,.309,.208,.517
20,2019-05-03,3,1,0,0,0,0,0,0,0,0,.204,.316,.204,.520
21,May,7,5,0,0,0,0,0,0,0,0,.000,.167,.000,.167
22,2019-07-30,2,2,1,1,0,0,1,1,0,0,.216,.322,.275,.596
23,July,2,2,1,1,0,0,1,1,0,0,.500,.500,2.000,2.500
24,2019-08-21,0,0,0,0,0,0,0,0,0,0,.216,.322,.275,.596
25,2019-08-25,2,2,0,0,0,0,0,0,0,0,.208,.311,.264,.576
26,2019-08-26,0,0,0,0,0,0,0,0,0,0,.208,.311,.264,.576
27,2019-08-28,4,4,1,1,1,0,0,0,0,2,.211,.308,.281,.588
28,August,6,6,1,1,1,0,0,0,0,2,.167,.167,.333,.500
29,2019-09-02,3,3,0,1,0,0,0,0,0,1,.217,.309,.283,.592
30,2019-09-03,4,4,0,2,0,0,0,0,0,1,.234,.319,.297,.616
31,2019-09-04,3,2,0,0,0,0,0,0,1,1,.227,.320,.288,.608
32,2019-09-08,0,0,0,0,0,0,0,0,0,0,.227,.320,.288,.608
33,2019-09-10,3,3,1,1,0,1,0,2,0,0,.232,.321,.319,.639
34,2019-09-12,4,3,1,2,1,0,0,0,1,1,.250,.341,.347,.689
35,2019-09-13,0,0,0,0,0,0,0,0,0,0,.250,.341,.347,.689
36,2019-09-14,2,2,0,0,0,0,0,1,0,0,.243,.333,.338,.671
37,2019-09-15,3,3,1,1,0,0,0,0,0,0,.247,.333,.338,.671
38,2019-09-18,0,0,0,0,0,0,0,0,0,0,.247,.333,.338,.671
39,2019-09-20,2,2,1,1,0,0,1,2,0,1,.253,.337,.380,.717
40,2019-09-21,4,3,1,2,1,0,0,0,1,0,.268,.355,.402,.757
41,2019-09-22,3,3,0,0,0,0,0,0,0,1,.259,.344,.388,.732
42,2019-09-24,3,3,0,0,0,0,0,0,0,1,.250,.333,.375,.708
43,2019-09-25,2,1,0,0,0,0,0,0,1,0,.247,.337,.371,.707
44,2019-09-27,1,1,0,0,0,0,0,0,0,1,.244,.333,.367,.700
45,2019-09-28,2,2,1,1,0,0,0,0,0,0,.250,.337,.370,.706
46,2019-09-29,2,2,0,0,0,0,0,0,0,0,.245,.330,.362,.692
47,September,41,37,6,11,2,1,1,5,4,8,.297,.366,.486,.852
