,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500
1,2019-03-30,5,4,3,2,1,0,0,2,1,1,.375,.444,.500,.944
2,March,10,9,3,4,1,0,0,3,1,1,.444,.500,.556,1.056
3,2019-03-31,1,1,0,1,0,0,0,1,0,0,.444,.500,.556,1.056
4,2019-04-01,4,4,0,2,0,0,0,0,0,0,.462,.500,.538,1.038
5,2019-04-02,5,5,2,2,0,0,0,1,0,0,.444,.474,.500,.974
6,2019-04-03,1,1,0,1,0,0,0,1,0,0,.474,.500,.526,1.026
7,2019-04-04,4,4,0,2,0,0,0,0,0,1,.478,.500,.522,1.022
8,2019-04-06,4,4,0,0,0,0,0,0,0,0,.407,.429,.444,.873
9,2019-04-07,3,3,0,1,0,0,0,1,0,0,.400,.419,.433,.853
10,2019-04-09,1,1,0,0,0,0,0,0,0,0,.387,.406,.419,.826
11,2019-04-10,4,4,0,1,0,0,0,2,0,1,.371,.389,.400,.789
12,2019-04-11,5,3,1,1,0,0,0,0,2,0,.368,.415,.395,.809
13,2019-04-12,5,2,0,0,0,0,0,0,3,2,.350,.435,.375,.810
14,2019-04-14,4,4,1,1,0,0,0,0,0,0,.341,.420,.364,.784
15,2019-04-15,6,6,1,1,0,0,0,2,0,1,.320,.393,.340,.733
16,2019-04-16,4,3,1,1,0,0,1,2,0,0,.321,.383,.396,.780
17,2019-04-17,1,0,0,0,0,0,0,0,0,0,.321,.393,.396,.790
18,2019-04-19,5,5,0,1,0,0,0,2,0,1,.310,.379,.379,.758
19,2019-04-20,3,3,0,0,0,0,0,0,0,1,.295,.362,.361,.723
20,2019-04-21,1,1,0,0,0,0,0,0,0,1,.290,.357,.355,.712
21,2019-04-22,4,3,0,1,0,0,0,1,1,0,.292,.365,.354,.719
22,2019-04-23,4,3,1,1,0,0,0,1,1,0,.294,.372,.353,.725
23,2019-04-24,4,4,0,0,0,0,0,0,0,3,.278,.354,.333,.687
24,2019-04-26,4,4,0,0,0,0,0,0,0,0,.263,.337,.316,.653
25,2019-04-27,1,1,0,0,0,0,0,0,0,1,.260,.333,.312,.645
26,2019-04-28,4,4,1,1,0,0,0,0,0,0,.259,.330,.309,.638
27,2019-04-29,4,4,1,1,1,0,0,1,0,0,.259,.326,.318,.644
28,2019-04-30,4,4,0,0,0,0,0,0,0,2,.247,.313,.303,.616
29,April,89,80,9,18,1,0,1,14,7,14,.225,.292,.275,.567
30,2019-05-01,1,1,0,0,0,0,0,0,0,1,.244,.310,.300,.610
31,2019-05-02,3,3,0,1,1,0,0,0,0,1,.247,.311,.312,.622
32,2019-05-03,4,3,0,1,0,0,0,1,1,1,.250,.318,.313,.630
33,2019-05-04,6,6,1,1,0,0,0,0,0,1,.245,.310,.304,.614
34,2019-05-06,4,4,0,0,0,0,0,0,0,2,.236,.299,.292,.592
35,2019-05-07,5,4,0,0,0,0,0,0,1,3,.227,.295,.282,.577
36,2019-05-10,5,5,1,2,0,0,0,1,0,0,.235,.299,.287,.586
37,2019-05-14,4,3,1,1,0,0,1,4,1,0,.237,.305,.314,.619
38,2019-05-15,3,3,0,0,0,0,0,0,0,0,.231,.299,.306,.604
39,2019-05-16,1,1,0,1,0,0,0,1,0,0,.238,.304,.311,.615
40,2019-05-17,5,4,1,2,1,0,0,0,1,1,.246,.314,.325,.640
41,2019-05-18,3,3,0,0,0,0,0,0,0,2,.240,.308,.318,.626
42,2019-05-19,1,1,0,0,0,0,0,0,0,0,.238,.306,.315,.621
43,2019-05-20,4,3,1,0,0,0,0,0,1,1,.233,.304,.308,.612
44,2019-05-21,4,3,1,2,0,0,0,0,1,1,.243,.316,.316,.632
45,2019-05-22,2,1,1,0,0,0,0,0,1,0,.241,.318,.314,.632
46,2019-05-23,4,3,1,2,0,0,0,1,1,1,.250,.329,.321,.650
47,2019-05-24,4,4,2,2,0,0,1,2,0,0,.257,.333,.347,.681
48,2019-05-25,5,4,2,3,0,0,2,4,1,0,.270,.347,.399,.746
49,2019-05-26,4,4,1,1,0,0,0,0,0,1,.270,.345,.395,.740
50,2019-05-28,5,4,0,0,0,0,0,0,1,0,.263,.341,.385,.726
51,2019-05-29,5,4,0,0,0,0,0,0,1,2,.256,.337,.375,.712
52,2019-05-30,1,1,0,1,0,0,0,0,0,0,.261,.341,.379,.720
53,2019-05-31,5,5,1,2,0,0,0,0,0,0,.265,.342,.380,.722
54,May,88,77,14,22,2,0,4,14,11,18,.286,.375,.468,.842
55,2019-06-01,1,1,0,0,0,0,0,0,0,0,.263,.340,.377,.718
56,2019-06-02,4,4,1,2,0,0,1,1,0,0,.269,.344,.398,.741
57,2019-06-04,5,5,1,3,0,0,1,2,0,0,.278,.350,.420,.771
58,2019-06-05,4,2,1,1,0,0,0,0,2,0,.281,.358,.421,.780
59,2019-06-06,1,0,0,0,0,0,0,0,1,0,.281,.361,.421,.783
60,2019-06-07,4,4,0,0,0,0,0,0,0,0,.275,.354,.412,.766
61,2019-06-08,4,4,1,2,1,0,0,0,0,0,.280,.357,.419,.776
62,2019-06-11,5,5,0,1,0,0,0,1,0,1,.277,.353,.414,.767
63,2019-06-13,4,3,0,0,0,0,0,0,1,2,.273,.352,.407,.759
64,2019-06-14,4,4,0,1,0,0,0,2,0,0,.273,.350,.404,.754
65,2019-06-15,4,4,1,1,1,0,0,1,0,1,.272,.348,.406,.754
66,2019-06-16,1,1,0,0,0,0,0,0,0,0,.271,.346,.404,.750
67,2019-06-17,4,4,0,1,0,0,0,0,0,0,.271,.345,.401,.746
68,2019-06-19,4,4,1,2,1,0,0,0,0,0,.275,.347,.408,.755
69,2019-06-20,4,3,0,0,0,0,0,0,1,1,.271,.346,.402,.748
70,2019-06-22,5,4,2,1,0,0,1,2,1,1,.271,.347,.413,.760
71,2019-06-24,5,4,1,3,0,0,1,1,1,0,.279,.356,.432,.788
72,2019-06-25,5,5,0,1,0,0,0,0,0,0,.278,.353,.427,.780
73,2019-06-27,4,4,0,1,0,0,0,0,0,1,.277,.351,.424,.776
74,2019-06-28,1,1,0,0,0,0,0,0,0,1,.276,.350,.422,.772
75,2019-06-29,4,4,0,0,0,0,0,0,0,1,.271,.345,.415,.760
76,2019-06-30,1,1,0,0,0,0,0,0,0,0,.270,.343,.414,.757
77,June,78,71,9,20,3,0,4,10,7,9,.282,.346,.493,.839
78,2019-07-02,4,3,0,1,0,0,0,0,1,0,.271,.346,.413,.758
79,2019-07-03,4,4,0,2,0,0,0,0,0,0,.275,.348,.414,.762
80,2019-07-05,4,3,0,1,0,0,0,0,1,1,.275,.350,.413,.763
81,2019-07-07,4,3,0,0,0,0,0,0,1,1,.272,.349,.408,.757
82,2019-07-12,4,3,0,1,0,0,0,2,1,0,.273,.351,.407,.758
83,2019-07-14,5,4,0,1,0,0,0,0,1,1,.272,.352,.405,.756
84,2019-07-16,4,4,0,0,0,0,0,0,0,0,.268,.347,.398,.745
85,2019-07-17,5,5,0,1,1,0,0,0,0,0,.267,.344,.398,.743
86,2019-07-18,1,0,0,0,0,0,0,0,1,0,.267,.347,.398,.745
87,2019-07-19,4,4,0,1,0,0,0,0,0,0,.267,.345,.396,.742
88,2019-07-20,4,4,0,1,0,0,0,0,0,1,.266,.344,.394,.738
89,2019-07-21,5,5,0,0,0,0,0,0,0,0,.262,.339,.387,.726
90,2019-07-23,4,4,0,1,0,0,0,0,0,0,.261,.338,.385,.723
91,2019-07-24,2,1,0,0,0,0,0,0,1,1,.261,.339,.384,.722
92,2019-07-25,5,4,0,1,0,0,0,1,0,0,.260,.336,.382,.718
93,2019-07-26,3,3,1,1,0,0,1,1,0,0,.261,.336,.392,.728
94,2019-07-27,3,3,0,0,0,0,0,0,0,0,.259,.333,.388,.721
95,2019-07-28,4,3,1,1,0,0,0,0,1,0,.259,.335,.387,.722
96,2019-07-30,5,5,0,0,0,0,0,0,0,0,.255,.330,.381,.711
97,2019-07-31,4,4,0,1,0,0,0,1,0,0,.255,.329,.379,.708
98,July,78,69,2,14,1,0,1,5,8,5,.203,.282,.261,.543
99,2019-08-01,4,3,0,2,0,0,0,2,1,0,.259,.334,.382,.716
100,2019-08-02,4,4,0,0,0,0,0,1,0,0,.256,.330,.377,.708
101,2019-08-03,5,5,1,4,1,0,1,6,0,0,.264,.337,.396,.733
102,2019-08-05,4,4,0,1,0,0,0,0,0,1,.264,.336,.394,.730
103,2019-08-06,4,4,1,1,0,0,1,3,0,0,.264,.335,.402,.737
104,2019-08-07,4,4,0,2,0,0,0,0,0,1,.267,.337,.403,.740
105,2019-08-09,4,3,1,1,0,0,0,0,1,0,.267,.339,.402,.741
106,2019-08-10,4,4,1,1,0,0,1,1,0,1,.267,.338,.409,.747
107,2019-08-11,4,4,1,2,1,0,0,0,0,0,.270,.339,.413,.753
108,2019-08-13,4,3,0,1,0,0,0,0,1,0,.270,.341,.413,.754
109,2019-08-14,5,4,0,1,0,0,0,0,1,1,.270,.342,.411,.753
110,2019-08-15,6,6,0,4,0,0,0,1,0,1,.277,.347,.415,.762
111,2019-08-16,1,1,0,1,0,0,0,0,0,0,.279,.348,.417,.765
112,2019-08-17,5,5,0,2,0,0,0,0,0,1,.281,.349,.417,.766
113,2019-08-18,5,5,0,1,0,0,0,1,0,0,.279,.347,.414,.761
114,2019-08-20,4,4,1,1,0,0,0,0,0,0,.279,.346,.412,.758
115,2019-08-21,5,5,0,1,0,0,0,0,0,0,.278,.345,.409,.754
116,2019-08-22,3,3,0,1,1,0,0,2,0,0,.279,.344,.411,.756
117,2019-08-23,3,3,0,2,0,0,0,0,0,0,.282,.347,.413,.760
118,2019-08-24,4,4,0,2,0,0,0,0,0,1,.284,.348,.414,.762
119,2019-08-25,1,1,0,1,0,0,0,0,0,0,.286,.350,.416,.765
120,2019-08-27,4,4,0,2,0,0,0,0,0,0,.288,.351,.416,.768
121,2019-08-28,5,4,1,2,0,0,0,1,0,1,.290,.354,.417,.771
122,2019-08-29,4,4,0,2,1,0,0,0,0,1,.292,.355,.421,.776
123,2019-08-30,3,3,0,1,0,0,0,1,0,1,.293,.355,.420,.775
124,2019-08-31,5,5,2,4,1,0,0,1,0,0,.299,.360,.427,.787
125,August,104,99,9,43,5,0,3,20,4,10,.434,.462,.576,1.037
126,2019-09-01,4,4,0,1,1,0,0,0,0,0,.298,.359,.428,.787
127,2019-09-03,4,4,1,1,1,0,0,1,0,1,.298,.358,.429,.787
128,2019-09-04,5,4,0,0,0,0,0,0,1,0,.295,.357,.424,.781
129,2019-09-06,4,4,0,1,0,0,0,1,0,0,.295,.356,.423,.778
130,2019-09-07,1,1,0,0,0,0,0,0,0,0,.294,.355,.422,.777
131,2019-09-08,5,4,2,3,1,0,1,3,1,0,.298,.360,.434,.794
132,2019-09-09,4,3,1,2,1,0,0,0,0,0,.301,.363,.438,.801
133,2019-09-10,4,4,0,0,0,0,0,0,0,1,.298,.360,.434,.794
134,2019-09-11,4,4,0,0,0,0,0,1,0,1,.295,.357,.430,.787
135,2019-09-13,4,3,0,1,0,0,0,0,1,1,.295,.358,.430,.788
136,2019-09-14,3,3,0,0,0,0,0,0,0,2,.293,.356,.427,.782
137,2019-09-15,4,4,0,0,0,0,0,0,0,0,.291,.353,.423,.776
138,2019-09-17,4,4,1,2,1,0,0,0,0,2,.293,.354,.426,.780
139,2019-09-18,1,0,0,0,0,0,0,0,1,0,.293,.355,.426,.781
140,2019-09-20,5,4,0,1,0,0,0,0,1,2,.292,.356,.424,.780
141,2019-09-21,4,4,0,0,0,0,0,0,0,1,.290,.353,.420,.774
142,2019-09-22,4,3,1,1,1,0,0,0,0,1,.290,.354,.422,.776
143,2019-09-23,5,4,0,1,0,0,0,0,1,0,.290,.355,.421,.775
144,2019-09-24,3,3,0,0,0,0,0,0,0,0,.288,.353,.418,.770
145,2019-09-25,4,3,0,0,0,0,0,1,0,0,.286,.350,.415,.765
146,2019-09-29,1,1,0,1,0,0,0,0,0,0,.288,.351,.416,.768
147,September,77,68,6,15,6,0,1,7,6,12,.221,.299,.353,.652
