,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,4,4,1,1,0,0,0,1,0,2,.250,.250,.250,.500
1,2020-07-25,2,2,0,0,0,0,0,0,0,2,.167,.167,.167,.333
2,2020-07-26,4,4,0,1,0,0,0,2,0,0,.200,.200,.200,.400
3,2020-07-27,4,4,1,1,0,0,1,2,0,1,.214,.214,.429,.643
4,2020-07-28,4,4,0,0,0,0,0,0,0,0,.167,.167,.333,.500
5,2020-07-29,1,0,0,0,0,0,0,0,1,0,.167,.211,.333,.544
6,2020-07-30,4,4,1,1,0,0,0,0,0,0,.182,.217,.318,.536
7,2020-07-31,4,3,0,2,0,0,0,0,1,0,.240,.296,.360,.656
8,July,27,25,3,6,0,0,1,5,2,5,.240,.296,.360,.656
9,2020-08-01,4,4,0,1,1,0,0,1,0,1,.241,.290,.379,.670
10,2020-08-02,4,4,3,4,1,0,2,3,0,0,.333,.371,.667,1.038
11,2020-08-04,4,4,0,0,0,0,0,0,0,2,.297,.333,.595,.928
12,2020-08-05,4,4,1,2,1,0,0,0,0,0,.317,.349,.610,.959
13,2020-08-07,4,1,1,1,0,0,0,0,3,0,.333,.404,.619,1.023
14,2020-08-08,4,2,1,1,0,0,0,0,2,0,.341,.431,.614,1.045
15,2020-08-09,4,3,1,0,0,0,0,0,1,1,.319,.418,.574,.993
16,2020-08-10,5,5,1,1,1,0,0,1,0,1,.308,.400,.558,.958
17,2020-08-11,4,4,0,0,0,0,0,0,0,1,.286,.375,.518,.893
18,2020-08-12,2,2,0,1,0,0,0,0,0,0,.293,.379,.517,.896
19,2020-08-14,4,4,0,0,0,0,0,0,0,3,.274,.357,.484,.841
20,2020-08-15,4,4,1,1,0,0,1,1,0,0,.273,.351,.515,.866
21,2020-08-16,4,4,0,0,0,0,0,0,0,2,.257,.333,.486,.819
22,2020-08-17,4,4,0,1,0,0,0,0,0,1,.257,.329,.473,.802
23,2020-08-18,4,3,0,2,0,0,0,2,0,1,.273,.337,.481,.818
24,2020-08-19,4,3,0,0,0,0,0,0,1,2,.263,.333,.463,.796
25,2020-08-20,5,5,2,3,0,0,1,2,0,1,.282,.347,.506,.853
26,2020-08-21,4,4,1,1,0,0,1,1,0,1,.281,.343,.528,.872
27,2020-08-22,5,4,0,0,0,0,0,0,1,0,.269,.337,.505,.842
28,2020-08-23,4,3,0,1,1,0,0,1,1,0,.271,.343,.510,.853
29,2020-08-25,5,5,2,3,1,0,0,0,0,0,.287,.354,.525,.879
30,2020-08-26,4,4,0,0,0,0,0,0,0,1,.276,.342,.505,.847
31,2020-08-28,3,3,0,1,0,0,0,0,0,2,.278,.342,.500,.842
32,2020-08-29,4,4,1,3,1,0,1,3,0,0,.295,.355,.545,.900
33,2020-08-30,5,4,1,2,0,0,1,2,1,1,.302,.364,.569,.933
34,2020-08-31,4,4,0,1,0,0,0,1,0,3,.300,.361,.558,.919
35,August,106,95,16,30,7,0,7,18,10,24,.316,.377,.611,.988
36,2020-09-01,4,4,1,1,1,0,0,0,0,2,.298,.358,.556,.914
37,2020-09-02,4,3,1,0,0,0,0,0,1,0,.291,.355,.543,.898
38,2020-09-03,5,5,0,1,0,0,0,0,0,1,.288,.349,.530,.880
39,2020-09-04,4,4,0,0,0,0,0,0,0,1,.279,.340,.515,.855
40,2020-09-05,5,5,1,1,0,0,1,1,0,0,.277,.335,.525,.860
41,2020-09-06,5,5,2,2,0,0,1,2,0,0,.281,.338,.541,.879
42,2020-09-08,4,4,0,1,0,0,0,0,0,1,.280,.335,.533,.869
43,2020-09-08,4,3,1,1,0,0,0,0,1,0,.281,.339,.529,.869
44,2020-09-10,4,3,0,1,0,0,0,0,1,0,.282,.343,.526,.869
45,2020-09-11,4,4,0,1,0,0,0,0,0,1,.281,.341,.519,.860
46,2020-09-12,4,3,1,0,0,0,0,0,1,0,.276,.339,.509,.848
47,2020-09-15,4,4,1,2,0,0,0,0,0,1,.281,.342,.509,.851
48,2020-09-16,5,5,1,1,0,0,0,0,0,0,.279,.339,.500,.839
49,2020-09-17,4,4,1,2,0,0,0,0,0,1,.284,.342,.500,.842
50,2020-09-18,6,5,1,2,0,0,0,0,1,0,.287,.347,.497,.844
51,2020-09-19,4,4,0,1,0,0,0,0,0,0,.286,.345,.492,.837
52,2020-09-22,5,4,2,1,0,0,0,0,1,1,.286,.346,.487,.833
53,2020-09-23,5,4,2,2,0,0,0,0,1,1,.290,.352,.487,.839
54,2020-09-24,3,3,0,1,0,0,0,0,0,0,.291,.352,.485,.836
55,2020-09-25,1,0,0,0,0,0,0,0,1,0,.291,.355,.485,.840
56,2020-09-26,5,4,1,2,0,0,0,1,1,1,.295,.360,.485,.845
57,2020-09-27,3,3,1,2,0,0,1,1,0,1,.300,.364,.502,.867
58,September,92,83,17,25,1,0,3,5,9,12,.301,.370,.422,.791
