,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,4,3,0,2,1,0,0,0,1,1,.667,.750,1.000,1.750
1,2021-04-02,5,5,0,0,0,0,0,0,0,5,.250,.333,.375,.708
2,2021-04-03,4,3,1,0,0,0,0,0,0,1,.182,.308,.273,.580
3,2021-04-04,5,3,0,0,0,0,0,0,2,1,.143,.333,.214,.548
4,2021-04-05,5,5,1,2,0,0,0,0,0,3,.211,.348,.263,.611
5,2021-04-06,5,3,1,0,0,0,0,0,2,1,.182,.357,.227,.584
6,2021-04-08,4,4,1,1,0,0,1,2,0,0,.192,.344,.346,.690
7,2021-04-11,5,5,0,0,0,0,0,0,0,0,.161,.297,.290,.588
8,2021-04-12,4,4,0,2,0,0,0,0,0,0,.200,.317,.314,.631
9,2021-04-13,4,4,0,0,0,0,0,0,0,3,.179,.289,.282,.571
10,2021-04-14,5,4,1,1,0,0,0,2,0,1,.186,.300,.279,.579
11,2021-04-15,4,4,0,1,0,0,0,1,0,1,.191,.296,.277,.573
12,2021-04-17,5,3,1,0,0,0,0,1,1,0,.180,.288,.260,.548
13,2021-04-18,3,3,0,1,0,0,0,1,0,1,.189,.290,.264,.554
14,2021-04-18,4,2,0,1,0,0,0,0,1,1,.200,.318,.273,.591
15,2021-04-20,5,5,1,1,1,0,0,1,0,3,.200,.310,.283,.593
16,2021-04-23,5,4,1,3,0,0,1,3,1,0,.234,.342,.359,.702
17,2021-04-24,4,4,1,3,0,0,0,0,0,0,.265,.363,.382,.745
18,2021-04-25,5,3,1,0,0,0,0,0,2,1,.254,.365,.366,.731
19,2021-04-27,4,4,0,1,0,0,0,0,0,0,.253,.360,.360,.720
20,2021-04-29,3,3,0,1,1,0,0,0,0,0,.256,.359,.372,.730
21,2021-04-29,4,3,1,2,0,0,1,3,1,1,.272,.375,.420,.795
22,2021-04-30,4,3,0,1,0,0,0,1,1,2,.274,.380,.417,.797
23,April,100,84,11,23,3,0,3,15,12,26,.274,.380,.417,.797
24,2021-05-01,4,4,0,1,0,0,0,0,0,2,.273,.375,.409,.784
25,2021-05-02,4,3,0,0,0,0,0,0,1,3,.264,.370,.396,.766
26,2021-05-04,4,4,1,2,1,0,0,1,0,0,.274,.375,.411,.786
27,2021-05-05,4,4,0,0,0,0,0,0,0,1,.263,.362,.394,.756
28,2021-05-07,4,3,0,0,0,0,0,0,1,1,.255,.358,.382,.741
29,2021-05-08,5,5,1,2,1,0,0,3,0,2,.262,.360,.393,.752
30,2021-05-09,5,4,2,1,0,0,0,0,1,2,.261,.362,.387,.749
31,2021-05-11,4,3,1,0,0,0,0,0,1,2,.254,.358,.377,.735
32,2021-05-12,5,5,1,2,1,0,0,2,0,2,.261,.360,.387,.746
33,2021-05-13,4,3,1,1,0,0,0,0,1,0,.262,.364,.385,.749
34,2021-05-14,3,2,0,1,0,0,0,0,1,0,.266,.370,.387,.757
35,2021-05-14,4,2,0,1,1,0,0,1,2,1,.270,.380,.397,.777
36,2021-05-15,4,3,0,1,0,0,0,0,1,1,.271,.383,.395,.778
37,2021-05-16,5,4,0,1,0,0,0,1,1,2,.271,.384,.391,.775
38,2021-05-17,4,2,2,2,1,0,0,1,2,0,.281,.399,.407,.806
39,2021-05-18,5,4,1,1,1,0,0,1,1,0,.281,.399,.410,.809
40,2021-05-19,4,2,0,1,0,0,0,0,2,1,.284,.407,.411,.818
41,2021-05-21,4,4,0,2,1,0,0,0,0,1,.290,.409,.421,.830
42,2021-05-22,4,3,0,0,0,0,0,0,1,2,.284,.406,.412,.818
43,2021-05-23,4,2,1,1,0,0,0,0,2,1,.287,.413,.413,.826
