,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2021-04-02,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,2021-04-03,1,1,1,1,0,0,1,1,0,0,.111,.111,.444,.556
3,2021-04-05,4,4,0,0,0,0,0,0,0,1,.077,.077,.308,.385
4,2021-04-06,5,5,0,1,0,0,0,0,0,3,.111,.111,.278,.389
5,2021-04-08,4,3,0,0,0,0,0,0,1,1,.095,.136,.238,.374
6,2021-04-10,1,1,0,1,1,0,0,0,0,0,.136,.174,.318,.492
7,2021-04-11,0,0,0,0,0,0,0,0,0,0,.136,.174,.318,.492
8,2021-04-12,5,3,1,1,0,0,1,1,2,0,.160,.250,.440,.690
9,2021-04-13,5,5,4,4,1,0,2,7,0,1,.267,.333,.733,1.067
10,2021-04-14,5,5,0,1,0,0,0,0,0,4,.257,.316,.657,.973
11,2021-04-15,1,1,1,1,1,0,0,1,0,0,.278,.333,.694,1.028
12,2021-04-16,4,4,0,0,0,0,0,0,0,0,.250,.302,.625,.927
13,2021-04-17,6,6,1,1,0,1,0,1,0,3,.239,.286,.609,.894
14,2021-04-18,3,3,0,0,0,0,0,0,0,2,.224,.269,.571,.841
15,2021-04-20,5,5,0,1,0,0,0,2,0,2,.222,.263,.537,.800
16,2021-04-21,4,4,0,1,0,0,0,1,0,0,.224,.262,.517,.780
17,2021-04-22,3,3,0,0,0,0,0,0,0,1,.213,.250,.492,.742
18,2021-04-23,3,3,0,0,0,0,0,0,0,2,.203,.239,.469,.708
19,2021-04-24,1,1,0,0,0,0,0,0,0,1,.200,.235,.462,.697
20,2021-04-25,4,4,0,1,0,0,0,0,0,2,.203,.236,.449,.685
21,2021-04-26,4,3,1,0,0,0,0,0,0,2,.194,.237,.431,.667
22,2021-04-27,4,4,0,0,0,0,0,0,0,3,.184,.225,.408,.633
23,2021-04-28,5,4,0,1,0,0,0,0,1,1,.188,.235,.400,.635
24,2021-04-30,5,5,0,1,0,0,0,0,0,1,.188,.233,.388,.622
25,April,90,85,9,16,3,1,4,14,4,33,.188,.233,.388,.622
26,2021-05-01,3,3,0,0,0,0,0,0,0,1,.182,.226,.375,.601
27,2021-05-02,1,1,0,0,0,0,0,0,0,1,.180,.223,.371,.594
28,2021-05-04,4,4,1,1,0,0,0,0,0,1,.183,.224,.366,.590
29,2021-05-05,4,4,1,2,0,0,1,4,0,0,.196,.235,.402,.637
30,2021-05-06,3,3,1,1,0,0,1,1,0,0,.200,.238,.430,.668
31,2021-05-07,4,3,1,2,1,0,0,1,1,0,.214,.257,.447,.704
32,2021-05-08,4,4,0,1,0,0,0,1,0,3,.215,.257,.439,.696
33,2021-05-09,4,4,0,0,0,0,0,0,0,2,.207,.248,.423,.671
34,2021-05-11,4,3,0,0,0,0,0,0,1,0,.202,.248,.412,.660
35,2021-05-12,4,4,0,2,0,0,0,0,0,1,.212,.256,.415,.671
36,2021-05-13,4,4,0,2,0,0,0,1,0,0,.221,.264,.418,.682
37,2021-05-14,4,4,1,1,0,0,1,3,0,1,.222,.263,.437,.700
38,2021-05-16,4,4,1,1,0,0,1,3,0,1,.223,.263,.454,.717
39,2021-05-18,4,3,0,0,0,0,0,1,0,1,.218,.255,.444,.699
40,2021-05-19,4,4,0,2,0,0,0,1,0,1,.226,.262,.445,.707
41,2021-05-21,6,5,1,1,0,0,0,0,1,1,.225,.265,.437,.702
42,2021-05-22,4,4,0,0,0,0,0,0,0,2,.219,.258,.425,.683
43,2021-05-24,4,4,2,1,0,0,1,3,0,0,.220,.258,.440,.698
44,2021-05-25,4,3,0,0,0,0,0,0,1,1,.216,.258,.431,.689
45,2021-05-26,4,4,1,0,0,0,0,0,0,0,.210,.251,.420,.672
46,2021-05-27,4,3,0,1,1,0,0,0,1,2,.213,.257,.425,.682
47,May,81,75,10,18,2,0,5,19,5,19,.240,.284,.467,.751
48,2021-06-01,4,3,0,0,0,0,0,0,1,2,.209,.257,.417,.674
49,2021-06-02,4,4,0,0,0,0,0,0,0,2,.204,.251,.407,.659
50,2021-06-03,4,4,0,0,0,0,0,0,0,0,.199,.246,.398,.644
51,2021-06-04,4,3,0,0,0,0,0,0,1,3,.195,.246,.391,.637
