,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,5,4,0,0,0,0,0,0,1,2,.000,.200,.000,.200
1,March,10,9,1,2,0,0,0,0,1,2,.222,.300,.222,.522
2,2019-03-31,5,5,1,2,0,0,0,0,0,0,.222,.300,.222,.522
3,2019-04-01,6,4,1,1,0,0,0,0,2,1,.231,.375,.231,.606
4,2019-04-03,5,5,0,3,2,0,0,1,0,0,.333,.429,.444,.873
5,2019-04-04,4,4,0,1,0,0,0,0,0,0,.318,.400,.409,.809
6,2019-04-05,4,4,0,1,1,0,0,1,0,1,.308,.379,.423,.802
7,2019-04-06,1,0,1,0,0,0,0,0,1,0,.308,.400,.423,.823
8,2019-04-07,5,4,2,2,0,0,1,1,0,0,.333,.429,.533,.962
9,2019-04-08,4,4,0,1,0,0,0,0,0,1,.324,.410,.500,.910
10,2019-04-10,5,4,0,0,0,0,0,0,1,1,.289,.386,.447,.834
11,2019-04-11,4,4,0,2,0,0,0,0,0,2,.310,.396,.452,.848
12,2019-04-12,5,4,2,1,0,0,0,0,0,1,.304,.385,.435,.819
13,2019-04-13,5,5,0,0,0,0,0,0,0,1,.275,.351,.392,.743
14,2019-04-14,4,3,2,2,1,0,0,0,1,0,.296,.377,.426,.803
15,2019-04-16,5,4,0,0,0,0,0,0,1,1,.276,.364,.397,.760
16,2019-04-17,5,4,1,1,1,0,0,0,1,1,.274,.366,.403,.769
17,2019-04-21,1,1,0,0,0,0,0,0,0,0,.270,.361,.397,.758
18,2019-04-22,5,5,0,1,0,0,0,0,0,0,.265,.351,.382,.733
19,2019-04-23,4,4,0,1,0,0,0,0,0,0,.264,.346,.375,.721
20,2019-04-24,4,4,0,1,0,0,0,0,0,0,.263,.341,.368,.710
21,2019-04-26,4,4,1,1,0,0,0,0,0,0,.263,.337,.363,.700
22,2019-04-27,4,3,0,1,0,0,0,1,1,0,.265,.344,.361,.706
23,2019-04-28,5,4,0,0,0,0,0,1,1,1,.253,.337,.345,.682
24,2019-04-30,6,6,2,2,0,0,0,1,0,2,.258,.337,.344,.681
25,April,95,84,12,22,5,0,1,6,9,13,.262,.340,.357,.698
26,2019-05-01,5,5,0,0,0,0,0,0,0,0,.245,.321,.327,.648
27,2019-05-03,5,4,1,2,0,0,0,0,1,1,.255,.333,.333,.667
28,2019-05-04,5,5,0,1,0,0,0,0,0,1,.252,.328,.327,.655
29,2019-05-05,6,6,1,2,1,0,0,1,0,1,.257,.328,.336,.664
30,2019-05-07,4,4,1,1,0,1,0,0,0,0,.256,.326,.350,.676
31,2019-05-08,3,3,1,1,0,0,0,0,0,0,.258,.326,.350,.676
32,2019-05-09,4,4,1,1,0,0,0,0,0,1,.258,.324,.347,.670
33,2019-05-10,4,4,1,1,0,0,1,1,0,3,.258,.321,.367,.689
34,2019-05-11,4,4,0,0,0,0,0,0,0,1,.250,.313,.356,.669
