,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2018-03-30,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,March,13,11,0,0,0,0,0,0,2,1,.000,.154,.000,.154
3,2018-03-31,5,3,0,0,0,0,0,0,2,1,.000,.154,.000,.154
4,2018-04-01,0,0,0,0,0,0,0,0,0,0,.000,.154,.000,.154
5,2018-04-02,5,4,1,1,0,0,0,0,1,1,.067,.222,.067,.289
6,2018-04-03,6,4,2,2,0,0,0,1,2,1,.158,.333,.158,.491
7,2018-04-05,6,4,1,1,0,0,0,0,2,0,.174,.367,.174,.541
8,2018-04-07,5,3,2,0,0,0,0,0,2,0,.154,.371,.154,.525
9,2018-04-08,5,5,0,1,1,0,0,1,0,1,.161,.350,.194,.544
10,2018-04-10,5,3,2,2,1,1,0,2,2,0,.206,.400,.324,.724
11,2018-04-12,5,5,0,2,0,0,0,1,0,0,.231,.400,.333,.733
12,2018-04-13,5,4,0,0,0,0,0,0,1,1,.209,.382,.302,.684
13,2018-04-14,5,5,2,2,1,0,0,3,0,2,.229,.383,.333,.717
14,2018-04-15,4,4,0,3,1,1,0,1,0,0,.269,.406,.423,.829
15,2018-04-17,4,3,0,0,0,0,0,1,0,0,.255,.382,.400,.782
16,2018-04-19,5,5,1,2,0,0,1,3,0,1,.267,.384,.450,.834
17,2018-04-20,4,4,1,1,0,0,0,0,0,2,.266,.377,.438,.814
18,2018-04-21,4,3,0,0,0,0,0,0,1,0,.254,.370,.418,.788
19,2018-04-22,4,3,0,0,0,0,0,0,1,0,.243,.365,.400,.765
20,2018-04-24,5,5,0,0,0,0,0,0,0,4,.227,.344,.373,.718
21,2018-04-25,5,3,0,0,0,0,0,0,2,0,.218,.347,.359,.706
22,2018-04-26,4,4,1,2,1,0,0,1,0,2,.232,.354,.378,.732
23,2018-04-27,1,1,0,0,0,0,0,0,0,1,.229,.350,.373,.724
24,2018-04-28,5,5,2,3,2,0,0,0,0,1,.250,.362,.409,.771
25,2018-04-29,4,3,1,0,0,0,0,0,1,0,.242,.358,.396,.753
26,2018-04-30,5,4,1,1,0,0,0,1,0,0,.242,.351,.389,.740
27,April,101,84,17,23,7,2,1,15,15,17,.274,.376,.440,.817
28,2018-05-01,6,6,1,3,1,0,0,0,0,0,.257,.358,.406,.764
29,2018-05-02,4,4,0,0,0,0,0,0,0,3,.248,.347,.390,.737
30,2018-05-04,4,4,0,0,0,0,0,0,0,1,.239,.336,.376,.712
31,2018-05-05,5,5,2,3,1,1,0,1,0,0,.254,.346,.412,.758
32,2018-05-06,5,5,0,0,0,0,0,0,0,2,.244,.333,.395,.728
33,2018-05-08,4,4,0,1,0,0,0,1,0,2,.244,.331,.390,.721
