,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2020-07-25,4,3,0,0,0,0,0,0,1,0,.000,.125,.000,.125
2,2020-07-26,4,3,0,0,0,0,0,0,1,2,.000,.167,.000,.167
3,2020-07-27,5,3,1,0,0,0,0,0,2,1,.000,.235,.000,.235
4,2020-07-28,4,4,1,2,1,0,0,0,0,2,.118,.286,.176,.462
5,2020-07-29,3,3,0,0,0,0,0,0,0,2,.100,.250,.150,.400
6,2020-07-31,4,4,0,0,0,0,0,0,0,1,.083,.214,.125,.339
7,July,28,24,2,2,1,0,0,0,4,8,.083,.214,.125,.339
8,2020-08-01,4,3,1,2,1,0,0,0,1,1,.148,.281,.222,.504
9,2020-08-02,1,1,0,0,0,0,0,0,0,1,.143,.273,.214,.487
10,2020-08-03,4,3,0,0,0,0,0,0,1,2,.129,.270,.194,.464
11,2020-08-04,4,3,1,1,0,1,0,0,1,1,.147,.293,.265,.557
12,2020-08-05,3,3,0,0,0,0,0,0,0,0,.135,.273,.243,.516
13,2020-08-06,4,4,2,2,1,0,0,0,0,1,.171,.292,.293,.584
14,2020-08-07,6,5,3,3,0,0,0,0,1,1,.217,.333,.326,.659
15,2020-08-08,4,3,1,0,0,0,0,0,1,1,.204,.328,.306,.634
16,2020-08-09,4,4,0,0,0,0,0,0,0,2,.189,.306,.283,.590
17,2020-08-13,4,3,0,0,0,0,0,0,1,1,.179,.303,.268,.571
18,2020-08-14,4,4,1,1,0,0,1,1,0,2,.183,.300,.317,.617
19,2020-08-18,5,5,0,1,0,0,0,0,0,2,.185,.293,.308,.601
20,2020-08-19,3,3,0,0,0,0,0,0,0,1,.176,.282,.294,.576
21,2020-08-20,1,1,0,0,0,0,0,0,0,1,.174,.278,.290,.568
22,2020-08-21,4,4,3,3,0,1,1,4,0,0,.205,.301,.384,.685
23,2020-08-22,5,5,0,2,1,0,0,1,0,1,.218,.307,.397,.704
24,2020-08-23,4,4,0,1,0,0,0,1,0,2,.220,.304,.390,.695
25,2020-08-25,3,3,0,0,0,0,0,0,0,1,.212,.295,.376,.671
26,2020-08-26,4,3,1,0,0,0,0,0,1,2,.205,.293,.364,.657
27,2020-08-27,4,4,0,1,0,0,0,1,0,1,.207,.291,.359,.650
28,2020-08-27,3,3,0,0,0,0,0,0,0,1,.200,.283,.347,.630
29,2020-08-28,4,4,0,0,0,0,0,0,0,3,.192,.273,.333,.606
30,2020-08-29,5,4,0,0,0,0,0,0,1,0,.184,.270,.320,.590
31,August,87,79,13,17,3,2,2,8,8,28,.215,.287,.380,.667
32,2020-09-03,4,4,1,2,1,0,1,3,0,0,.196,.277,.364,.642
33,2020-09-04,4,3,1,0,0,0,0,0,1,1,.191,.276,.355,.631
34,2020-09-04,3,3,0,1,0,0,0,0,0,0,.195,.278,.354,.632
35,2020-09-05,5,4,0,0,0,0,0,0,1,0,.188,.275,.342,.617
36,2020-09-06,4,3,0,1,0,0,0,1,1,0,.192,.281,.342,.623
37,2020-09-08,4,4,0,0,0,0,0,0,0,2,.185,.273,.331,.604
38,2020-09-09,4,3,0,0,0,0,0,0,1,0,.181,.273,.323,.596
39,2020-09-11,4,3,1,0,0,0,0,0,0,1,.177,.272,.315,.588
40,2020-09-12,4,3,1,1,0,0,1,1,1,0,.180,.278,.338,.616
41,2020-09-13,3,3,0,0,0,0,0,0,0,0,.176,.273,.331,.604
42,2020-09-14,3,2,0,0,0,0,0,0,1,2,.174,.274,.326,.600
43,2020-09-14,3,2,0,1,0,0,0,0,1,0,.179,.281,.329,.610
44,2020-09-15,4,3,0,0,0,0,0,0,1,1,.175,.280,.322,.602
45,2020-09-16,1,1,0,0,0,0,0,0,0,0,.174,.279,.319,.598
46,2020-09-17,4,4,0,1,0,0,0,0,0,1,.176,.278,.318,.596
47,2020-09-18,4,3,0,0,0,0,0,1,0,0,.172,.273,.311,.584
48,2020-09-18,3,3,1,2,0,0,1,2,0,1,.182,.280,.338,.618
49,2020-09-19,4,3,0,0,0,0,0,0,1,1,.178,.279,.331,.610
50,2020-09-20,4,4,1,1,1,0,0,0,0,1,.180,.279,.335,.614
51,2020-09-21,4,4,0,1,0,0,0,0,0,1,.182,.278,.333,.611
52,2020-09-22,4,4,0,0,0,0,0,0,0,3,.178,.272,.325,.598
53,2020-09-24,4,4,2,3,0,0,1,1,0,1,.191,.282,.353,.635
54,2020-09-25,4,4,0,0,0,0,0,0,0,2,.186,.276,.345,.621
55,2020-09-26,4,4,1,1,0,0,1,2,0,1,.188,.276,.359,.635
56,2020-09-27,4,4,0,1,0,0,0,0,0,2,.189,.275,.357,.632
57,September,93,82,9,16,2,0,5,11,9,21,.195,.283,.402,.685
