,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,5,3,0,1,0,0,0,0,1,0,.333,.600,.333,.933
1,2021-04-02,5,5,0,0,0,0,0,0,0,3,.125,.300,.125,.425
2,2021-04-03,5,5,0,2,1,0,0,0,0,1,.231,.333,.308,.641
3,2021-04-04,4,4,0,1,0,0,0,0,0,1,.235,.316,.294,.610
4,2021-04-05,5,5,0,2,1,0,0,1,0,1,.273,.333,.364,.697
5,2021-04-06,4,3,1,1,0,0,1,2,1,0,.280,.357,.480,.837
6,2021-04-08,4,3,2,2,1,0,1,2,1,0,.321,.406,.643,1.049
7,2021-04-09,4,4,0,2,0,0,0,0,0,1,.344,.417,.625,1.042
8,2021-04-10,4,4,0,1,0,0,0,0,0,1,.333,.400,.583,.983
9,2021-04-12,4,4,1,1,0,0,1,1,0,2,.325,.386,.625,1.011
10,2021-04-13,4,4,0,0,0,0,0,0,0,0,.295,.354,.568,.922
11,2021-04-14,4,4,0,1,0,0,0,0,0,0,.292,.346,.542,.888
12,2021-04-16,4,4,1,1,0,0,0,0,0,0,.288,.339,.519,.858
13,2021-04-17,4,3,0,1,0,0,0,0,1,1,.291,.350,.509,.859
14,2021-04-18,4,4,1,0,0,0,0,0,0,0,.271,.328,.475,.803
15,2021-04-20,4,4,1,1,1,0,0,1,0,1,.270,.324,.476,.800
16,2021-04-21,4,3,1,1,0,0,0,0,1,0,.273,.333,.470,.803
17,2021-04-22,5,5,3,2,0,0,0,2,0,0,.282,.338,.465,.802
18,2021-04-23,5,4,0,0,0,0,0,1,0,1,.267,.317,.440,.757
19,2021-04-24,6,6,2,3,0,0,1,1,0,1,.284,.330,.481,.811
20,2021-04-26,4,4,1,1,0,0,0,0,0,0,.282,.326,.471,.797
21,2021-04-27,3,1,0,0,0,0,0,0,2,1,.279,.337,.465,.802
22,2021-04-28,4,4,1,1,0,0,0,1,0,0,.278,.333,.456,.789
23,2021-04-29,4,4,0,1,1,0,0,0,0,0,.277,.330,.457,.788
24,2021-04-30,5,5,1,4,2,0,0,1,0,1,.303,.352,.495,.847
25,April,108,99,16,30,7,0,4,13,7,16,.303,.352,.495,.847
26,2021-05-01,4,3,0,0,0,0,0,0,1,1,.294,.348,.480,.829
27,2021-05-02,4,4,0,0,0,0,0,0,0,2,.283,.336,.462,.798
28,2021-05-04,4,4,0,0,0,0,0,0,0,1,.273,.325,.445,.770
29,2021-05-05,4,4,0,0,0,0,0,1,0,1,.263,.315,.430,.744
30,2021-05-06,4,4,0,0,0,0,0,0,0,1,.254,.305,.415,.720
