,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,3,1,1,0,0,1,1,1,1,.333,.500,1.333,1.833
1,2019-03-29,7,6,0,1,0,0,0,1,1,3,.222,.364,.556,.919
2,2019-03-30,4,4,2,1,0,0,0,1,0,1,.231,.333,.462,.795
3,March,16,14,3,3,0,0,1,3,2,5,.214,.313,.429,.741
4,2019-03-31,1,1,0,0,0,0,0,0,0,0,.214,.313,.429,.741
5,2019-04-01,4,4,0,0,0,0,0,0,0,2,.167,.250,.333,.583
6,2019-04-02,4,3,0,0,0,0,0,0,1,0,.143,.250,.286,.536
7,2019-04-03,4,2,0,0,0,0,0,0,2,0,.130,.286,.261,.547
8,2019-04-05,5,4,1,2,0,0,0,1,1,0,.185,.333,.296,.630
9,2019-04-06,5,5,0,1,0,0,0,0,0,1,.188,.316,.281,.597
10,2019-04-07,6,4,2,2,2,0,0,0,2,1,.222,.364,.361,.725
11,2019-04-08,4,4,0,2,0,0,0,1,0,1,.250,.375,.375,.750
12,2019-04-09,1,1,0,0,0,0,0,0,0,1,.244,.367,.366,.733
13,2019-04-10,4,4,0,0,0,0,0,0,0,2,.222,.340,.333,.673
14,2019-04-11,3,2,1,2,1,0,0,0,0,0,.255,.375,.383,.758
15,2019-04-12,5,3,2,2,1,0,1,1,2,0,.280,.410,.480,.890
16,2019-04-13,4,4,0,0,0,0,0,0,0,0,.259,.385,.444,.829
17,2019-04-14,5,5,0,0,0,0,0,0,0,0,.237,.357,.407,.764
18,2019-04-15,4,4,1,0,0,0,0,0,0,2,.222,.338,.381,.719
19,2019-04-16,4,4,2,3,1,0,0,0,0,0,.254,.359,.418,.777
20,2019-04-17,0,0,0,0,0,0,0,0,0,0,.254,.359,.418,.777
21,2019-04-18,4,4,0,0,0,0,0,0,0,1,.239,.341,.394,.736
22,2019-04-19,5,3,0,1,0,0,0,0,2,0,.243,.356,.392,.748
23,2019-04-20,4,4,0,1,0,0,0,0,0,1,.244,.352,.385,.736
24,2019-04-21,5,5,2,3,2,0,0,1,0,2,.265,.365,.422,.786
25,2019-04-23,4,4,0,2,0,0,0,0,0,1,.276,.370,.425,.795
26,2019-04-24,4,3,2,1,0,0,0,0,1,2,.278,.375,.422,.797
27,2019-04-25,1,0,1,0,0,0,0,0,1,0,.278,.381,.422,.803
28,2019-04-26,4,4,0,0,0,0,0,0,0,1,.266,.367,.404,.771
29,2019-04-27,4,4,0,0,0,0,0,0,0,2,.255,.354,.388,.742
30,2019-04-28,4,4,1,1,1,0,0,2,0,1,.255,.350,.392,.743
31,2019-04-29,4,3,0,0,0,0,0,0,1,0,.248,.347,.381,.728
32,2019-04-30,5,5,0,0,0,0,0,0,0,1,.236,.333,.364,.697
33,April,110,96,15,23,8,0,1,6,13,22,.240,.336,.354,.690
34,2019-05-01,4,4,0,0,0,0,0,0,0,3,.228,.323,.351,.674
35,2019-05-03,4,2,0,0,0,0,0,1,1,0,.224,.321,.345,.666
36,2019-05-04,5,5,1,1,0,0,0,0,0,2,.223,.317,.339,.655
37,2019-05-05,5,4,1,2,2,0,0,0,1,0,.232,.326,.360,.686
38,2019-05-06,4,3,2,1,0,0,0,1,1,1,.234,.331,.359,.690
39,2019-05-08,4,4,0,1,0,0,0,1,0,1,.235,.329,.356,.685
40,2019-05-09,4,3,0,0,0,0,0,0,1,1,.230,.327,.348,.675
41,2019-05-11,4,3,0,0,0,0,0,0,1,0,.225,.325,.341,.666
42,2019-05-12,4,3,1,1,0,0,1,5,0,1,.227,.323,.362,.685
43,2019-05-14,4,4,1,2,1,0,0,0,0,0,.234,.327,.372,.700
44,2019-05-15,4,4,1,2,0,0,0,0,0,0,.242,.331,.376,.707
45,2019-05-17,4,4,1,1,0,0,1,2,0,1,.242,.330,.392,.722
46,2019-05-18,4,4,0,0,0,0,0,0,0,1,.236,.322,.382,.704
47,2019-05-19,5,4,1,0,0,0,0,0,1,1,.230,.319,.373,.692
48,2019-05-21,5,5,1,2,0,0,0,1,0,1,.235,.321,.373,.694
49,2019-05-22,4,3,0,0,0,0,0,0,0,0,.231,.320,.367,.686
50,2019-05-24,5,3,1,1,0,0,0,0,2,0,.233,.327,.366,.693
51,2019-05-25,5,5,1,2,1,0,0,2,0,1,.237,.328,.373,.701
52,2019-05-26,5,4,2,1,0,0,1,2,1,0,.238,.330,.387,.717
