,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2019-03-30,4,4,0,1,0,0,0,0,0,0,.143,.143,.143,.286
2,March,12,12,0,2,0,0,0,0,0,2,.167,.167,.167,.333
3,2019-03-31,5,5,0,1,0,0,0,0,0,1,.167,.167,.167,.333
4,2019-04-01,3,3,0,0,0,0,0,0,0,0,.133,.133,.133,.267
5,2019-04-02,4,3,0,0,0,0,0,0,1,1,.111,.158,.111,.269
6,2019-04-04,4,3,0,0,0,0,0,0,1,2,.095,.174,.095,.269
7,2019-04-06,4,4,0,1,1,0,0,0,0,0,.120,.185,.160,.345
8,2019-04-07,3,3,0,1,0,0,0,1,0,2,.143,.200,.179,.379
9,2019-04-09,4,4,1,1,0,0,0,0,0,0,.156,.206,.188,.393
10,2019-04-11,4,2,0,0,0,0,0,0,1,2,.147,.237,.176,.413
11,2019-04-12,1,1,0,0,0,0,0,0,0,1,.143,.231,.171,.402
12,2019-04-14,4,3,1,0,0,0,0,0,1,1,.132,.233,.158,.390
13,2019-04-15,4,4,0,1,0,0,0,0,0,2,.143,.234,.167,.401
14,2019-04-16,4,4,1,1,0,0,0,0,0,2,.152,.235,.174,.409
15,2019-04-18,4,4,0,1,0,0,0,0,0,1,.160,.236,.180,.416
16,2019-04-19,4,3,0,1,1,0,0,2,1,1,.170,.254,.208,.462
17,2019-04-21,4,3,0,1,1,0,0,0,1,1,.179,.270,.232,.502
18,2019-04-24,3,3,0,0,0,0,0,0,0,2,.169,.258,.220,.478
19,2019-04-26,3,3,1,1,0,0,0,0,0,1,.177,.261,.226,.487
20,2019-04-27,4,3,1,1,1,0,0,1,0,0,.185,.260,.246,.506
21,2019-04-28,2,1,0,0,0,0,0,0,1,0,.182,.267,.242,.509
22,April,63,54,5,10,4,0,0,4,7,19,.185,.286,.259,.545
23,2019-05-01,4,4,1,2,0,0,0,0,0,0,.200,.278,.257,.536
24,2019-05-02,3,3,0,0,0,0,0,0,0,2,.192,.268,.247,.515
25,2019-05-03,1,0,0,0,0,0,0,0,0,0,.192,.268,.247,.515
26,2019-05-04,4,4,0,1,0,0,0,0,0,0,.195,.267,.247,.514
27,2019-05-05,3,3,0,0,0,0,0,0,0,1,.188,.258,.238,.496
28,2019-05-06,3,2,0,0,0,0,0,0,1,0,.183,.261,.232,.493
29,2019-05-10,4,4,0,0,0,0,0,0,0,1,.174,.250,.221,.471
30,2019-05-12,3,3,0,0,0,0,0,0,0,1,.169,.242,.213,.456
31,2019-05-14,4,3,0,0,0,0,0,0,1,2,.163,.243,.207,.449
32,2019-05-16,3,2,0,0,0,0,0,0,1,0,.160,.245,.202,.447
33,2019-05-17,5,4,1,2,0,0,1,2,1,1,.173,.261,.245,.506
34,2019-05-19,4,4,1,2,0,0,1,2,0,1,.186,.270,.284,.554
35,2019-05-20,3,3,0,0,0,0,0,0,0,1,.181,.263,.276,.539
36,2019-05-21,4,4,0,1,0,0,0,1,0,1,.183,.262,.275,.538
37,2019-05-22,2,2,0,1,0,0,0,1,0,1,.189,.266,.279,.545
38,2019-05-23,3,3,0,0,0,0,0,0,0,0,.184,.260,.272,.532
39,2019-05-24,3,3,0,0,0,0,0,0,0,1,.179,.254,.265,.519
40,2019-05-25,1,1,0,0,0,0,0,0,0,0,.178,.252,.263,.515
41,2019-05-26,4,4,0,0,0,0,0,0,0,2,.172,.244,.254,.498
42,2019-05-28,4,4,0,0,0,0,0,0,0,0,.167,.237,.246,.483
43,2019-05-29,5,3,0,0,0,0,0,0,2,1,.163,.243,.240,.483
44,May,70,63,3,9,0,0,2,6,6,16,.143,.217,.238,.456
45,2019-06-01,4,3,0,1,1,0,0,1,1,1,.167,.250,.250,.500
46,2019-06-04,3,3,0,0,0,0,0,0,0,0,.163,.245,.244,.490
47,2019-06-05,4,3,0,1,0,0,0,0,1,0,.167,.252,.246,.498
48,2019-06-07,3,2,0,0,0,0,0,0,1,0,.164,.253,.243,.496
49,2019-06-09,4,3,0,2,1,0,0,1,1,0,.175,.265,.259,.524
50,2019-06-11,4,4,0,0,0,0,0,0,0,4,.170,.259,.252,.511
51,2019-06-13,5,5,3,3,0,0,0,2,0,0,.184,.269,.263,.532
52,2019-06-15,3,3,0,0,0,0,0,0,0,0,.181,.264,.258,.522
53,2019-06-16,5,5,0,0,0,0,0,0,0,2,.175,.257,.250,.507
54,2019-06-18,3,3,0,0,0,0,0,0,0,0,.172,.253,.245,.498
55,2019-06-19,4,2,2,0,0,0,0,0,2,0,.170,.258,.242,.500
56,2019-06-21,4,4,0,0,0,0,0,0,0,2,.166,.253,.237,.489
57,2019-06-22,0,0,0,0,0,0,0,0,0,0,.166,.253,.237,.489
