,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-05-15,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021-05-16,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2021-05-17,4,3,0,0,0,0,0,0,1,0,.000,.125,.000,.125
3,2021-05-18,1,1,0,0,0,0,0,0,0,1,.000,.111,.000,.111
4,2021-05-20,3,3,0,0,0,0,0,0,0,2,.000,.083,.000,.083
5,2021-05-23,3,3,0,0,0,0,0,0,0,0,.000,.067,.000,.067
6,2021-05-25,1,1,0,0,0,0,0,0,0,1,.000,.063,.000,.062
7,2021-05-27,1,0,0,0,0,0,0,0,1,0,.000,.118,.000,.118
8,2021-05-28,1,1,0,0,0,0,0,0,0,0,.000,.111,.000,.111
9,2021-05-29,1,1,0,0,0,0,0,0,0,0,.000,.105,.000,.105
10,2021-05-30,0,0,0,0,0,0,0,0,0,0,.000,.105,.000,.105
11,2021-05-31,4,4,0,0,0,0,0,0,0,3,.000,.087,.000,.087
12,May,23,21,0,0,0,0,0,0,2,7,.000,.087,.000,.087
13,2021-06-01,1,1,0,0,0,0,0,0,0,0,.000,.083,.000,.083
14,2021-06-27,4,4,0,0,0,0,0,0,0,2,.000,.071,.000,.071
15,2021-06-28,5,4,0,1,0,0,0,0,1,0,.033,.121,.033,.154
16,2021-06-29,5,5,1,1,0,0,0,0,0,1,.057,.132,.057,.189
17,2021-06-30,4,4,0,1,0,0,0,0,0,1,.077,.143,.077,.220
18,June,19,18,1,3,0,0,0,0,1,4,.167,.211,.167,.377
19,2021-07-02,4,2,1,1,0,0,1,1,2,1,.098,.196,.171,.366
20,2021-07-03,3,2,1,0,0,0,0,0,1,1,.093,.204,.163,.367
21,2021-07-04,4,4,0,0,0,0,0,0,0,1,.085,.189,.149,.338
22,2021-07-06,4,4,1,1,0,0,0,0,0,1,.098,.193,.157,.350
23,2021-07-07,4,4,1,2,0,0,0,0,0,1,.127,.213,.182,.395
24,2021-07-09,0,0,0,0,0,0,0,0,0,0,.127,.213,.182,.395
25,2021-07-10,4,3,0,2,0,0,0,2,1,0,.155,.246,.207,.453
26,2021-07-11,3,3,0,0,0,0,0,0,0,2,.148,.235,.197,.432
27,2021-07-17,4,4,0,0,0,0,0,1,0,1,.138,.222,.185,.407
28,2021-07-18,4,3,1,1,1,0,0,0,0,0,.147,.237,.206,.443
29,2021-07-20,0,0,0,0,0,0,0,0,0,0,.147,.237,.206,.443
30,2021-07-21,4,4,0,0,0,0,0,0,0,0,.139,.225,.194,.419
31,2021-07-25,3,2,0,0,0,0,0,0,1,1,.135,.229,.189,.418
32,2021-07-27,3,3,0,0,0,0,0,0,0,1,.130,.221,.182,.403
33,2021-07-28,3,3,0,0,0,0,0,0,0,1,.125,.213,.175,.388
34,2021-07-29,4,4,0,0,0,0,0,0,0,1,.119,.204,.167,.371
35,July,51,45,5,7,1,0,1,4,5,12,.156,.255,.244,.499
36,2021-08-01,3,3,0,0,0,0,0,0,0,0,.115,.198,.161,.359
37,August,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
