,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,2,1,0,0,0,0,1,.500,.500,.750,1.250
1,2019-03-29,7,7,0,0,0,0,0,0,0,2,.182,.182,.273,.454
2,2019-03-30,3,3,0,0,0,0,0,0,0,1,.143,.143,.214,.357
3,March,15,15,0,2,1,0,0,0,0,4,.133,.133,.200,.333
4,2019-03-31,1,1,0,0,0,0,0,0,0,0,.133,.133,.200,.333
5,2019-04-01,5,5,0,1,0,0,0,1,0,1,.150,.150,.200,.350
6,2019-04-02,5,5,0,0,0,0,0,0,0,2,.120,.120,.160,.280
7,2019-04-03,4,4,0,0,0,0,0,0,0,1,.103,.103,.138,.241
8,2019-04-05,5,4,1,1,0,0,0,1,1,1,.121,.147,.152,.299
9,2019-04-06,4,4,1,3,1,0,0,0,0,0,.189,.211,.243,.454
10,2019-04-07,4,3,0,0,0,0,0,0,1,0,.175,.214,.225,.439
11,2019-04-09,4,4,1,2,2,0,0,1,0,1,.205,.239,.295,.535
12,2019-04-10,5,3,1,1,0,0,0,0,2,2,.213,.275,.298,.572
13,2019-04-11,5,3,1,1,0,0,1,3,2,2,.220,.304,.360,.664
14,2019-04-12,3,3,0,0,0,0,0,0,0,0,.208,.288,.340,.628
15,2019-04-13,4,3,1,1,0,0,0,0,0,0,.214,.302,.339,.641
16,2019-04-14,4,4,0,1,0,0,0,0,0,2,.217,.299,.333,.632
17,2019-04-16,5,4,1,2,0,0,0,2,0,1,.234,.319,.344,.663
18,2019-04-17,5,5,0,0,0,0,0,0,0,2,.217,.299,.319,.618
19,2019-04-18,1,1,0,1,0,0,0,0,0,0,.229,.308,.329,.636
20,2019-04-19,4,2,0,0,0,0,0,0,2,1,.222,.317,.319,.636
21,2019-04-20,5,5,1,2,0,0,1,1,0,1,.234,.322,.364,.686
22,2019-04-21,3,3,0,0,0,0,0,0,0,1,.225,.311,.350,.661
23,2019-04-22,6,5,2,3,0,0,1,3,1,1,.247,.333,.400,.733
24,2019-04-23,4,4,1,3,1,0,0,0,0,0,.270,.350,.427,.777
25,2019-04-24,5,4,2,3,1,1,0,1,1,0,.290,.371,.473,.844
26,2019-04-25,4,2,1,0,0,0,0,1,0,1,.284,.367,.463,.830
27,2019-04-27,4,4,0,1,1,0,0,0,0,1,.283,.363,.465,.828
28,2019-04-28,7,6,2,2,0,0,2,3,1,2,.286,.367,.514,.881
29,2019-04-30,4,4,1,3,2,0,0,0,0,0,.303,.379,.541,.920
30,April,109,94,17,31,8,1,5,17,11,23,.330,.413,.596,1.009
31,2019-05-01,4,4,0,0,0,0,0,0,0,2,.292,.367,.522,.889
