,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,4,2,0,0,0,0,0,0,2,0,.000,.500,.000,.500
1,March,8,5,1,1,1,0,0,1,2,0,.200,.375,.400,.775
2,2018-03-31,4,3,1,1,1,0,0,1,0,0,.200,.375,.400,.775
3,2018-04-01,4,4,1,2,1,0,0,2,0,1,.333,.417,.556,.972
4,2018-04-02,1,1,0,0,0,0,0,0,0,1,.300,.385,.500,.885
5,2018-04-03,3,2,0,0,0,0,0,0,1,0,.250,.375,.417,.792
6,2018-04-04,4,4,0,0,0,0,0,0,0,3,.188,.300,.313,.612
7,2018-04-07,5,4,0,0,0,0,0,1,1,0,.150,.280,.250,.530
8,2018-04-08,4,3,0,0,0,0,0,0,1,0,.130,.276,.217,.493
9,2018-04-10,4,4,0,1,0,0,0,0,0,3,.148,.273,.222,.495
10,2018-04-11,1,1,1,1,0,0,1,1,0,0,.179,.294,.357,.651
11,2018-04-13,3,3,0,0,0,0,0,0,0,1,.161,.270,.323,.593
12,2018-04-14,2,2,0,1,0,0,0,0,0,0,.182,.282,.333,.615
13,2018-04-15,4,3,0,0,0,0,0,1,0,2,.167,.256,.306,.561
14,2018-04-16,5,5,1,1,0,0,0,1,0,4,.171,.250,.293,.543
15,2018-04-17,2,1,0,1,1,0,0,0,1,0,.190,.280,.333,.613
16,2018-04-18,3,3,1,2,0,0,0,0,0,0,.222,.302,.356,.657
17,2018-04-21,1,1,1,1,0,0,1,1,0,0,.239,.315,.435,.750
18,2018-04-22,2,1,0,0,0,0,0,0,1,1,.234,.321,.426,.747
19,2018-04-23,4,4,1,3,0,0,1,1,0,0,.275,.350,.510,.860
20,2018-04-24,3,2,0,0,0,0,0,0,1,0,.264,.349,.491,.840
21,2018-04-25,4,4,1,1,0,1,0,0,0,2,.263,.343,.509,.852
22,2018-04-27,4,3,0,0,0,0,0,0,1,1,.250,.338,.483,.821
23,2018-04-29,4,3,0,1,0,0,0,1,1,0,.254,.347,.476,.823
24,2018-04-30,4,4,0,0,0,0,0,0,0,1,.239,.329,.448,.777
25,April,71,62,7,15,2,1,3,9,8,20,.242,.324,.452,.776
26,2018-05-01,1,1,0,0,0,0,0,0,0,0,.235,.325,.441,.766
