,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-03,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
1,2021-04-04,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2021-04-05,4,4,1,2,1,0,0,2,0,1,.222,.222,.333,.556
3,2021-04-06,2,2,0,1,1,0,0,0,0,1,.273,.273,.455,.727
4,2021-04-07,1,1,0,1,0,0,0,0,0,0,.333,.333,.500,.833
5,2021-04-08,4,4,0,1,0,0,0,1,0,2,.313,.313,.438,.750
6,2021-04-10,1,1,0,1,0,0,0,0,0,0,.353,.353,.471,.824
7,2021-04-11,5,4,1,1,0,0,0,0,1,1,.333,.364,.429,.792
8,2021-04-14,2,2,1,1,0,0,0,0,0,1,.348,.375,.435,.810
9,2021-04-14,3,2,1,0,0,0,0,1,1,2,.320,.370,.400,.770
10,2021-04-15,4,4,0,0,0,0,0,0,0,2,.276,.323,.345,.667
11,2021-04-17,4,3,0,0,0,0,0,0,1,2,.250,.314,.313,.627
12,2021-04-18,1,1,0,0,0,0,0,0,0,0,.242,.306,.303,.609
13,2021-04-19,5,4,0,1,0,0,0,1,1,2,.243,.317,.297,.614
14,2021-04-21,1,1,0,0,0,0,0,0,0,1,.237,.310,.289,.599
15,2021-04-22,4,4,0,0,0,0,0,0,0,2,.214,.283,.262,.544
16,2021-04-24,3,3,0,0,0,0,0,0,0,3,.200,.265,.244,.510
17,2021-04-27,1,1,0,0,0,0,0,0,0,1,.196,.260,.239,.499
18,2021-04-28,1,1,0,0,0,0,0,0,0,1,.191,.255,.234,.489
19,2021-04-30,4,4,0,0,0,0,0,0,0,1,.176,.236,.216,.452
20,April,55,51,4,9,2,0,0,5,4,26,.176,.236,.216,.452
21,2021-05-01,3,3,0,0,0,0,0,0,0,0,.167,.224,.204,.428
22,2021-05-02,4,3,0,0,0,0,0,0,0,0,.158,.213,.193,.406
23,2021-05-05,2,2,0,0,0,0,0,0,0,0,.153,.206,.186,.393
24,2021-05-06,5,5,3,3,1,0,0,1,0,1,.188,.235,.234,.470
25,2021-05-07,4,3,1,0,0,0,0,0,1,2,.179,.236,.224,.460
26,2021-05-08,1,0,0,0,0,0,0,0,1,0,.179,.247,.224,.470
27,2021-05-09,4,4,0,0,0,0,0,0,0,1,.169,.234,.211,.445
28,2021-05-10,3,3,0,0,0,0,0,0,0,0,.162,.225,.203,.428
29,2021-05-11,3,3,0,0,0,0,0,0,0,2,.156,.217,.195,.412
30,2021-05-12,3,3,0,0,0,0,0,0,0,1,.150,.209,.188,.397
31,2021-05-15,4,4,0,2,2,0,0,2,0,1,.167,.222,.226,.448
32,2021-05-19,4,4,0,1,1,0,0,0,0,0,.170,.223,.239,.462
33,2021-05-22,4,4,0,1,0,0,0,0,0,2,.174,.224,.239,.464
34,2021-05-23,3,3,1,1,0,0,1,1,0,1,.179,.228,.274,.501
35,May,47,44,5,8,4,0,1,4,2,11,.182,.217,.341,.558
36,2021-07-24,3,1,0,0,0,0,0,0,2,0,.177,.240,.271,.511
37,2021-07-25,3,3,1,1,0,0,0,0,0,2,.182,.243,.273,.516
38,2021-07-26,4,4,0,2,0,0,0,0,0,1,.194,.252,.282,.534
39,2021-07-29,4,4,0,1,0,0,0,0,0,2,.196,.252,.280,.532
40,July,14,12,1,4,0,0,0,0,2,5,.333,.429,.333,.762
41,2021-08-03,3,3,0,1,0,0,0,0,0,0,.200,.254,.282,.536
42,2021-08-04,2,2,0,0,0,0,0,0,0,1,.196,.250,.277,.527
43,2021-08-05,1,1,1,1,0,0,0,0,0,0,.204,.256,.283,.539
44,2021-08-06,2,2,0,0,0,0,0,0,0,1,.200,.252,.278,.530
45,2021-08-07,3,3,1,0,0,0,0,0,0,2,.195,.246,.271,.517
46,2021-08-10,4,4,0,1,0,0,0,0,0,2,.197,.246,.270,.517
47,2021-08-11,1,1,0,0,0,0,0,0,0,0,.195,.244,.268,.513
48,2021-08-12,3,3,0,0,0,0,0,0,0,3,.190,.239,.262,.501
49,2021-08-14,1,1,0,0,0,0,0,0,0,0,.189,.237,.260,.497
50,August,20,20,2,3,0,0,0,0,0,9,.150,.150,.150,.300
51,2021-09-06,0,0,0,0,0,0,0,0,0,0,.189,.237,.260,.497
52,September,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
