,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2019-03-29,3,2,0,0,0,0,0,1,0,1,.000,.000,.000,.000
2,2019-03-30,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,March,11,10,0,1,1,0,0,1,0,3,.100,.091,.200,.291
4,2019-03-31,4,4,0,1,1,0,0,0,0,0,.100,.091,.200,.291
5,2019-04-01,4,3,0,0,0,0,0,1,0,0,.077,.067,.154,.220
6,2019-04-02,1,1,0,0,0,0,0,0,0,0,.071,.063,.143,.205
7,2019-04-03,3,2,0,0,0,0,0,0,1,0,.063,.105,.125,.230
8,2019-04-05,4,3,1,1,0,0,0,0,1,1,.105,.174,.158,.332
9,2019-04-06,1,0,0,0,0,0,0,0,1,0,.105,.208,.158,.366
10,2019-04-07,4,3,0,0,0,0,0,0,1,1,.091,.214,.136,.351
11,2019-04-08,1,1,1,1,0,0,1,2,0,0,.130,.241,.304,.546
12,2019-04-09,4,4,0,1,0,0,0,0,0,0,.148,.242,.296,.539
13,2019-04-10,1,1,0,0,0,0,0,0,0,0,.143,.235,.286,.521
14,2019-04-11,3,2,1,1,0,0,1,1,1,1,.167,.270,.400,.670
15,2019-04-12,4,4,0,1,1,0,0,0,0,1,.176,.268,.412,.680
16,2019-04-13,4,4,1,1,0,0,1,1,0,0,.184,.267,.474,.740
17,2019-04-14,4,3,0,2,0,0,0,1,1,0,.220,.306,.488,.794
18,2019-04-15,4,4,1,1,0,0,1,1,0,1,.222,.302,.533,.835
19,2019-04-16,4,4,0,1,0,0,0,0,0,2,.224,.298,.510,.808
20,2019-04-18,4,3,0,0,0,0,0,0,1,2,.212,.295,.481,.776
21,2019-04-19,4,4,0,0,0,0,0,0,0,2,.196,.277,.446,.723
22,2019-04-20,1,1,0,0,0,0,0,0,0,1,.193,.273,.439,.711
23,2019-04-21,3,3,0,1,0,0,0,0,0,1,.200,.275,.433,.709
24,2019-04-23,4,4,2,2,0,0,2,3,0,0,.219,.288,.531,.819
25,2019-04-24,3,3,0,0,0,0,0,0,0,1,.209,.276,.507,.784
26,2019-04-26,3,3,0,0,0,0,0,0,0,0,.200,.266,.486,.752
27,2019-04-27,3,3,0,0,0,0,0,0,0,2,.192,.256,.466,.722
28,2019-04-28,1,1,0,1,0,0,0,0,0,0,.203,.265,.473,.738
29,2019-04-29,4,4,0,1,0,0,0,0,0,1,.205,.264,.462,.726
