,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,5,4,0,2,0,0,0,1,1,1,.500,.600,.500,1.100
1,2018-03-30,5,5,1,2,0,0,0,0,0,1,.444,.500,.444,.944
2,March,13,12,2,5,0,0,1,3,1,2,.417,.462,.667,1.128
3,2018-03-31,3,3,1,1,0,0,1,2,0,0,.417,.462,.667,1.128
4,2018-04-02,4,2,0,0,0,0,0,0,2,0,.357,.471,.571,1.042
5,2018-04-03,4,4,0,1,0,0,0,2,0,1,.333,.429,.500,.929
6,2018-04-04,4,3,0,0,0,0,0,0,1,1,.286,.400,.429,.829
7,2018-04-05,3,3,0,2,0,0,0,0,0,0,.333,.429,.458,.887
8,2018-04-06,4,3,0,2,1,0,0,0,1,1,.370,.469,.519,.987
9,2018-04-07,4,3,0,0,0,0,0,0,1,2,.333,.444,.467,.911
10,2018-04-08,4,3,0,2,0,0,0,0,1,0,.364,.475,.485,.960
11,2018-04-09,4,4,1,1,0,1,0,0,0,1,.351,.455,.514,.968
12,2018-04-10,4,3,0,1,0,0,0,0,1,0,.350,.458,.500,.958
13,2018-04-11,4,4,0,0,0,0,0,0,0,3,.318,.423,.455,.878
14,2018-04-12,3,2,0,0,0,0,0,0,1,1,.304,.418,.435,.853
15,2018-04-13,4,4,1,1,0,0,0,1,0,1,.300,.407,.420,.827
16,2018-04-14,5,5,1,2,0,0,0,0,0,1,.309,.406,.418,.824
17,2018-04-15,5,2,1,1,0,0,0,1,3,0,.316,.435,.421,.856
18,2018-04-16,4,4,0,0,0,0,0,0,0,1,.295,.411,.393,.804
19,2018-04-17,6,6,0,1,0,0,0,0,0,3,.284,.392,.373,.766
20,2018-04-18,4,4,0,0,0,0,0,0,0,2,.268,.373,.352,.726
21,2018-04-20,4,4,0,0,0,0,0,0,0,1,.253,.356,.333,.690
22,2018-04-21,4,4,0,1,0,0,0,0,0,1,.253,.352,.329,.681
23,2018-04-22,3,3,0,0,0,0,0,0,0,2,.244,.340,.317,.658
24,2018-04-23,5,4,1,1,0,0,0,0,1,2,.244,.343,.314,.657
25,2018-04-24,3,3,0,0,0,0,0,0,0,0,.236,.333,.303,.637
26,2018-04-25,3,3,0,0,0,0,0,0,0,1,.228,.324,.293,.617
27,2018-04-27,4,4,0,2,0,0,0,0,0,1,.240,.330,.302,.632
28,2018-04-28,5,4,3,2,0,0,0,0,0,1,.250,.342,.310,.652
29,2018-04-29,4,4,0,1,0,0,0,2,0,1,.250,.339,.308,.647
30,2018-04-30,5,5,1,1,0,0,0,0,0,1,.248,.333,.303,.636
31,April,110,97,9,22,1,1,0,6,12,29,.227,.318,.258,.576
32,2018-05-01,3,2,0,0,0,0,0,0,1,0,.243,.333,.297,.631
33,2018-05-02,4,4,0,0,0,0,0,0,0,2,.235,.323,.287,.610
34,2018-05-04,3,3,0,0,0,0,0,0,0,1,.229,.316,.280,.596
35,2018-05-05,4,3,0,1,1,0,0,1,0,1,.231,.314,.289,.603
36,2018-05-06,4,4,0,2,0,0,0,0,0,0,.240,.319,.296,.615
37,2018-05-07,4,4,0,0,0,0,0,1,0,0,.233,.310,.287,.597
38,2018-05-08,3,3,0,0,0,0,0,0,0,0,.227,.304,.280,.584
39,2018-05-09,4,4,0,1,0,0,0,0,0,1,.228,.303,.279,.582
40,2018-05-10,3,3,0,0,0,0,0,0,0,0,.223,.297,.273,.570
41,2018-05-11,2,2,0,0,0,0,0,0,0,0,.220,.293,.270,.562
42,2018-05-12,5,5,0,0,0,0,0,0,0,1,.212,.284,.260,.544
43,2018-05-13,4,2,1,2,1,0,0,1,1,0,.223,.295,.277,.572
44,2018-05-14,4,4,2,3,1,1,0,0,0,0,.237,.306,.309,.615
45,2018-05-15,3,3,0,0,0,0,0,0,0,0,.232,.301,.303,.604
46,2018-05-17,4,4,1,2,1,0,0,0,0,1,.239,.305,.314,.620
47,2018-05-18,4,4,0,1,0,0,0,0,0,1,.239,.304,.313,.617
48,2018-05-19,4,4,0,0,0,0,0,0,0,1,.234,.297,.305,.603
49,2018-05-20,4,4,2,2,0,0,0,1,0,0,.240,.302,.310,.612
50,2018-05-21,4,4,0,0,0,0,0,0,0,0,.234,.295,.303,.598
51,2018-05-22,3,3,0,0,0,0,0,0,0,0,.230,.291,.298,.589
52,2018-05-23,4,4,1,2,2,0,0,0,0,1,.236,.295,.313,.608
53,2018-05-25,3,3,0,1,0,0,0,0,0,1,.238,.296,.314,.609
54,2018-05-26,4,3,1,1,0,0,1,2,1,0,.239,.300,.330,.629
55,2018-05-27,3,3,1,1,1,0,0,0,0,2,.241,.300,.335,.635
56,2018-05-28,4,4,0,1,1,0,0,0,0,0,.241,.299,.338,.638
57,2018-05-29,4,4,0,0,0,0,0,0,0,1,.236,.294,.332,.625
58,2018-05-30,4,3,1,1,1,0,0,0,1,0,.238,.297,.337,.634
59,2018-05-31,5,4,0,0,0,0,0,0,1,3,.233,.295,.330,.625
60,May,104,97,10,21,9,1,1,6,5,17,.216,.250,.361,.611
61,2018-06-01,4,3,0,1,0,1,0,2,1,1,.234,.299,.340,.638
62,2018-06-02,4,4,1,1,0,0,0,0,0,0,.235,.298,.338,.636
63,2018-06-03,4,4,1,1,0,0,0,0,0,0,.235,.297,.336,.634
64,2018-06-04,5,4,0,1,0,0,0,1,0,1,.235,.295,.335,.630
65,2018-06-05,4,3,0,1,0,0,0,0,1,0,.237,.298,.335,.633
66,2018-06-06,4,2,0,0,0,0,0,1,1,0,.235,.299,.332,.631
67,2018-06-08,4,3,0,0,0,0,0,0,1,1,.231,.298,.328,.626
68,2018-06-09,4,4,1,2,1,0,1,2,0,0,.236,.301,.348,.649
69,2018-06-10,4,3,0,0,0,0,0,1,0,0,.233,.297,.343,.640
70,2018-06-11,4,3,0,0,0,0,0,0,1,0,.230,.296,.339,.635
71,2018-06-12,4,4,1,1,0,0,0,0,0,1,.230,.295,.337,.633
72,2018-06-13,4,4,0,1,1,0,0,2,0,1,.231,.295,.340,.635
73,2018-06-14,4,4,0,0,0,0,0,0,0,2,.227,.290,.335,.625
74,2018-06-15,5,5,1,5,1,0,1,4,0,0,.242,.303,.363,.666
75,2018-06-16,4,4,0,1,0,0,0,0,0,0,.242,.302,.362,.664
76,2018-06-17,4,4,0,2,0,0,0,0,0,2,.246,.305,.364,.668
77,2018-06-19,4,4,0,1,1,0,0,0,0,3,.246,.304,.366,.670
78,2018-06-20,3,2,0,0,0,0,0,0,1,1,.244,.304,.363,.667
79,2018-06-21,4,4,0,0,0,0,0,0,0,2,.241,.300,.358,.658
80,2018-06-22,4,4,1,1,0,0,0,0,0,0,.241,.300,.356,.656
81,2018-06-23,4,4,0,1,0,0,0,0,0,2,.241,.299,.355,.654
82,2018-06-24,4,4,0,0,0,0,0,0,0,2,.238,.295,.350,.645
83,2018-06-25,4,4,1,2,0,0,0,0,0,1,.241,.298,.352,.650
84,2018-06-26,4,4,0,2,0,0,0,0,0,1,.245,.300,.354,.654
85,2018-06-27,3,3,0,0,0,0,0,0,0,2,.242,.298,.350,.648
86,2018-06-29,4,3,0,0,0,0,0,0,1,2,.240,.297,.347,.644
87,2018-06-30,3,3,0,0,0,0,0,1,0,1,.238,.294,.343,.638
88,June,107,97,7,24,4,1,2,14,7,26,.247,.292,.371,.664
89,2018-07-01,5,4,1,0,0,0,0,0,1,3,.235,.293,.339,.632
90,2018-07-03,4,3,0,0,0,0,0,0,1,0,.232,.292,.335,.628
91,2018-07-04,4,4,0,2,1,0,0,0,0,0,.236,.295,.341,.636
92,2018-07-05,4,4,0,1,0,0,0,1,0,1,.236,.294,.340,.634
93,2018-07-06,3,3,0,1,0,0,0,0,0,0,.237,.295,.340,.634
94,2018-07-07,4,3,0,0,0,0,0,0,1,0,.235,.294,.336,.630
95,2018-07-08,7,6,1,2,0,0,0,0,1,2,.236,.297,.336,.633
96,2018-07-09,4,4,0,0,0,0,0,0,0,1,.234,.293,.332,.626
97,2018-07-10,3,3,1,1,0,0,0,0,0,0,.234,.294,.332,.626
98,2018-07-11,4,4,0,0,0,0,0,0,0,2,.232,.291,.328,.619
99,2018-07-12,4,4,0,1,0,0,0,0,0,2,.232,.290,.328,.618
100,2018-07-13,5,5,0,0,0,0,0,0,0,2,.229,.286,.323,.609
101,2018-07-14,4,4,0,1,1,0,0,2,0,0,.229,.286,.325,.611
102,2018-07-15,3,1,0,0,0,0,0,1,1,0,.228,.289,.324,.613
103,2018-07-20,4,4,0,3,1,0,0,2,0,1,.234,.294,.331,.625
104,2018-07-22,5,5,1,3,0,0,0,2,0,1,.239,.298,.335,.633
105,2018-07-22,3,2,0,0,0,0,0,0,1,0,.238,.298,.333,.631
106,2018-07-23,4,4,1,1,0,0,0,1,0,1,.238,.297,.332,.630
107,2018-07-24,3,3,0,0,0,0,0,0,0,0,.236,.295,.330,.625
108,2018-07-25,4,4,1,1,0,0,1,2,0,1,.236,.295,.337,.632
109,2018-07-27,3,3,0,2,0,0,0,0,0,0,.239,.297,.339,.637
110,2018-07-28,4,4,0,1,1,0,0,0,0,1,.240,.297,.341,.638
111,2018-07-29,4,4,0,1,1,0,0,1,0,3,.240,.296,.343,.639
112,2018-07-30,5,5,0,1,0,0,0,0,0,2,.239,.295,.341,.636
113,2018-07-31,4,3,0,0,0,0,0,0,1,0,.237,.295,.338,.633
114,July,101,93,6,22,5,0,1,12,7,23,.237,.297,.323,.620
115,2018-08-02,5,5,1,2,2,0,0,0,0,0,.239,.296,.344,.640
116,2018-08-03,4,4,1,1,0,0,0,0,0,1,.240,.296,.343,.639
117,2018-08-04,4,4,0,0,0,0,0,0,0,2,.237,.293,.340,.633
118,2018-08-05,5,4,1,1,0,0,1,1,1,1,.237,.294,.346,.640
119,2018-08-07,5,5,1,0,0,0,0,0,0,2,.234,.291,.342,.633
120,2018-08-08,4,3,0,0,0,0,0,0,1,1,.233,.291,.340,.630
121,2018-08-09,4,2,2,1,0,0,1,1,2,0,.234,.295,.348,.642
122,2018-08-10,3,3,0,2,0,0,0,1,0,0,.237,.297,.350,.647
123,2018-08-11,4,4,0,0,0,0,0,0,0,3,.235,.294,.347,.641
124,2018-08-12,4,4,2,2,0,0,1,4,0,1,.237,.296,.355,.651
125,2018-08-13,4,4,2,2,0,0,1,1,0,0,.240,.298,.363,.661
126,2018-08-14,4,4,1,1,0,0,1,1,0,1,.240,.298,.369,.666
127,2018-08-15,4,3,0,0,0,0,0,0,1,3,.238,.297,.366,.663
128,2018-08-16,3,3,0,0,0,0,0,0,0,0,.237,.295,.364,.659
129,2018-08-17,4,4,0,0,0,0,0,0,0,0,.235,.293,.361,.654
