,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-27,4,3,0,0,0,0,0,0,1,2,.000,.250,.000,.250
1,2020-07-28,1,1,0,0,0,0,0,0,0,1,.000,.200,.000,.200
2,2020-07-29,3,3,0,0,0,0,0,0,0,1,.000,.125,.000,.125
3,2020-07-31,4,4,1,1,1,0,0,0,0,2,.091,.167,.182,.348
4,July,12,11,1,1,1,0,0,0,1,6,.091,.167,.182,.348
5,2020-08-01,4,3,0,0,0,0,0,1,1,2,.071,.188,.143,.330
6,2020-08-04,4,2,0,0,0,0,0,1,1,1,.063,.200,.125,.325
7,2020-08-05,3,3,0,0,0,0,0,0,0,1,.053,.174,.105,.279
8,2020-08-06,4,4,1,1,0,0,1,3,0,2,.087,.185,.261,.446
9,2020-08-07,1,1,0,0,0,0,0,0,0,0,.083,.179,.250,.429
10,2020-08-08,5,5,0,0,0,0,0,0,0,3,.069,.152,.207,.358
11,2020-08-13,4,3,1,1,0,0,1,2,1,1,.094,.189,.313,.502
12,2020-08-14,4,4,0,0,0,0,0,0,0,2,.083,.171,.278,.448
13,2020-08-18,5,4,0,0,0,0,0,0,1,3,.075,.174,.250,.424
14,2020-08-19,3,3,0,0,0,0,0,0,0,1,.070,.163,.233,.396
15,2020-08-21,4,4,0,1,0,0,0,1,0,2,.085,.170,.234,.404
16,2020-08-22,4,3,1,2,1,0,1,2,1,1,.120,.211,.340,.550
17,2020-08-23,4,3,2,2,0,0,1,2,1,1,.151,.246,.415,.661
18,2020-08-25,3,3,0,0,0,0,0,0,0,3,.143,.234,.393,.627
19,2020-08-26,4,3,0,0,0,0,0,0,1,2,.136,.235,.373,.608
20,2020-08-27,4,4,0,0,0,0,0,0,0,1,.127,.222,.349,.571
21,2020-08-27,3,3,0,0,0,0,0,0,0,0,.121,.213,.333,.547
22,2020-08-28,4,4,0,0,0,0,0,0,0,2,.114,.203,.314,.517
23,2020-08-29,1,1,0,0,0,0,0,0,0,0,.113,.200,.310,.510
24,2020-08-30,4,4,1,1,0,0,1,1,0,1,.120,.202,.347,.549
25,2020-08-31,4,4,0,0,0,0,0,0,0,2,.114,.193,.329,.522
26,August,76,68,6,8,1,0,5,13,7,31,.118,.197,.353,.550
27,2020-09-02,4,4,0,2,1,0,0,0,0,0,.133,.207,.349,.556
28,2020-09-03,4,4,1,2,0,0,0,0,0,1,.149,.219,.356,.575
29,2020-09-04,3,3,0,2,2,0,0,1,0,1,.167,.232,.389,.621
30,2020-09-04,3,3,0,0,0,0,0,0,0,2,.161,.225,.376,.602
31,2020-09-05,4,3,0,0,0,0,0,1,0,3,.156,.217,.365,.582
32,2020-09-06,4,4,0,0,0,0,0,0,0,2,.150,.209,.350,.559
33,2020-09-08,4,4,0,1,0,0,0,0,0,0,.154,.211,.346,.557
34,2020-09-09,4,3,0,0,0,0,0,1,0,2,.150,.205,.336,.542
35,2020-09-11,1,1,0,0,0,0,0,0,0,1,.148,.203,.333,.537
36,2020-09-12,4,4,0,1,0,0,0,0,0,1,.152,.205,.330,.535
37,2020-09-13,4,4,0,0,0,0,0,0,0,0,.147,.198,.319,.517
38,2020-09-14,1,1,0,0,0,0,0,0,0,1,.145,.197,.316,.513
39,2020-09-14,3,3,0,0,0,0,0,0,0,2,.142,.192,.308,.501
40,2020-09-15,4,3,0,0,0,0,0,0,1,3,.138,.194,.301,.495
41,2020-09-16,3,3,0,0,0,0,0,0,0,1,.135,.190,.294,.483
42,2020-09-17,4,4,1,2,1,0,1,3,0,0,.146,.199,.331,.529
43,2020-09-18,4,4,0,1,0,0,0,0,0,0,.149,.200,.328,.528
44,2020-09-18,3,3,0,1,0,0,0,0,0,2,.153,.203,.328,.531
45,2020-09-20,3,3,0,0,0,0,0,0,0,3,.150,.199,.321,.520
46,2020-09-21,3,1,0,0,0,0,0,0,2,1,.149,.208,.319,.527
47,2020-09-22,3,2,2,1,0,0,0,0,1,0,.154,.217,.322,.538
48,2020-09-23,3,2,0,0,0,0,0,0,1,1,.152,.219,.317,.536
49,2020-09-24,4,3,0,1,0,0,0,1,0,0,.155,.220,.318,.537
50,2020-09-25,4,4,1,1,0,0,1,2,0,0,.158,.220,.336,.556
51,2020-09-26,5,5,0,0,0,0,0,0,0,1,.153,.214,.325,.539
52,September,86,78,5,15,4,0,2,9,5,28,.192,.235,.321,.556
