,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-05-13,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2021-05-14,4,4,2,3,2,0,1,3,0,1,.375,.375,1.000,1.375
2,2021-05-15,5,5,0,0,0,0,0,0,0,3,.231,.231,.615,.846
3,2021-05-16,5,5,0,0,0,0,0,0,0,0,.167,.167,.444,.611
4,2021-05-17,4,4,0,1,0,0,0,0,0,1,.182,.182,.409,.591
5,2021-05-18,4,3,0,0,0,0,0,0,1,0,.160,.192,.360,.552
6,2021-05-19,4,3,0,1,0,0,0,0,0,1,.179,.233,.357,.590
7,2021-05-21,4,3,0,0,0,0,0,0,1,0,.161,.235,.323,.558
8,2021-05-22,5,5,0,0,0,0,0,0,0,1,.139,.205,.278,.483
9,2021-05-23,1,1,0,0,0,0,0,0,0,0,.135,.200,.270,.470
10,2021-05-24,5,4,2,1,0,0,1,1,1,0,.146,.222,.341,.564
11,2021-05-25,5,5,0,2,0,0,0,1,0,1,.174,.240,.348,.588
12,2021-05-26,5,5,0,0,0,0,0,1,0,0,.157,.218,.314,.532
13,2021-05-27,4,4,0,0,0,0,0,0,0,2,.145,.203,.291,.494
14,2021-05-28,4,3,1,0,0,0,0,0,1,1,.138,.206,.276,.482
15,2021-05-29,4,4,0,0,0,0,0,0,0,2,.129,.194,.258,.452
16,2021-05-30,4,3,0,0,0,0,0,0,1,0,.123,.197,.246,.443
17,2021-05-31,5,3,1,0,0,0,0,0,2,3,.118,.211,.235,.446
18,May,76,68,6,8,2,0,2,6,7,17,.118,.211,.235,.446
19,2021-06-01,4,4,0,0,0,0,0,0,0,3,.111,.200,.222,.422
20,2021-06-03,4,3,1,0,0,0,0,0,1,3,.107,.202,.213,.416
21,2021-06-04,4,4,0,0,0,0,0,0,0,2,.101,.193,.203,.396
22,2021-06-05,4,4,0,0,0,0,0,0,0,1,.096,.185,.193,.378
23,2021-06-06,0,0,0,0,0,0,0,0,0,0,.096,.185,.193,.378
24,June,16,15,1,0,0,0,0,0,1,9,.000,.063,.000,.062
25,2021-07-16,4,4,0,1,0,0,0,0,0,2,.103,.188,.195,.383
26,2021-07-17,5,5,0,1,0,0,0,0,0,2,.109,.188,.196,.384
27,2021-07-18,4,4,0,1,0,0,0,0,0,2,.115,.190,.198,.388
28,2021-07-20,4,4,0,0,0,0,0,0,0,2,.110,.183,.190,.374
29,2021-07-21,3,3,0,0,0,0,0,0,0,1,.107,.179,.184,.363
30,2021-07-22,4,3,0,0,0,0,0,0,1,2,.104,.181,.179,.360
31,2021-07-23,3,3,0,0,0,0,0,0,0,2,.101,.176,.174,.351
32,2021-07-24,4,2,1,0,0,0,0,0,2,1,.099,.187,.171,.358
33,2021-07-25,4,4,0,1,0,0,0,0,0,1,.104,.189,.174,.363
34,2021-07-26,4,3,1,0,0,0,0,0,1,3,.102,.191,.169,.360
35,2021-07-27,4,4,1,2,0,0,0,2,0,2,.115,.200,.180,.380
36,2021-07-28,5,4,0,0,0,0,0,1,1,2,.111,.200,.175,.375
37,2021-07-30,5,5,2,2,0,0,1,4,0,0,.122,.207,.206,.413
38,2021-07-31,4,4,0,0,0,0,0,0,0,0,.119,.201,.200,.401
39,July,57,52,5,8,0,0,1,7,5,22,.154,.228,.212,.440
40,2021-08-01,4,2,0,1,0,0,0,0,2,0,.124,.216,.204,.420
41,2021-08-02,5,4,0,2,0,0,0,1,1,1,.135,.228,.213,.441
42,2021-08-03,4,4,1,1,0,0,1,1,0,1,.138,.228,.234,.463
43,2021-08-04,4,4,0,0,0,0,0,0,0,2,.134,.223,.228,.451
44,2021-08-05,4,3,2,2,0,0,1,1,1,0,.145,.235,.257,.492
45,2021-08-06,4,4,0,0,0,0,0,0,0,0,.141,.230,.250,.480
46,2021-08-07,4,4,1,2,2,0,0,0,0,1,.150,.236,.269,.505
