,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-29,7,5,0,1,0,0,0,0,2,2,.200,.429,.200,.629
1,2019-03-30,4,4,2,2,0,0,1,1,0,1,.333,.455,.667,1.121
2,March,11,9,2,3,0,0,1,1,2,3,.333,.455,.667,1.121
3,2019-03-31,0,0,0,0,0,0,0,0,0,0,.333,.455,.667,1.121
4,2019-04-02,1,0,0,0,0,0,0,0,1,0,.333,.500,.667,1.167
5,2019-04-05,5,5,1,3,0,0,0,1,0,0,.429,.529,.643,1.172
6,2019-04-06,1,1,0,0,0,0,0,0,0,0,.400,.500,.600,1.100
7,2019-04-07,4,4,0,0,0,0,0,0,0,2,.316,.409,.474,.883
8,2019-04-09,1,1,1,1,0,0,1,2,0,0,.350,.435,.650,1.085
9,2019-04-10,5,4,0,0,0,0,0,1,1,1,.292,.393,.542,.934
10,2019-04-11,5,5,2,1,0,0,0,0,0,2,.276,.364,.483,.846
11,2019-04-12,4,4,1,1,1,0,0,0,0,0,.273,.351,.485,.836
12,2019-04-13,1,0,0,0,0,0,0,0,1,0,.273,.368,.485,.853
13,2019-04-16,0,0,0,0,0,0,0,0,0,0,.273,.368,.485,.853
14,2019-04-17,5,4,0,1,0,0,0,0,1,1,.270,.372,.459,.832
15,2019-04-18,0,0,0,0,0,0,0,0,0,0,.270,.372,.459,.832
16,2019-04-20,5,4,0,1,0,0,0,1,0,1,.268,.354,.439,.793
17,2019-04-21,4,3,1,2,0,0,1,1,1,0,.295,.385,.523,.907
18,2019-04-22,6,5,2,1,0,0,0,0,1,0,.286,.379,.490,.869
19,2019-04-23,4,3,1,2,0,0,0,0,1,0,.308,.403,.500,.903
20,2019-04-25,5,5,2,3,0,1,0,1,0,0,.333,.418,.544,.962
21,2019-04-26,0,0,0,0,0,0,0,0,0,0,.333,.418,.544,.962
22,2019-04-27,4,3,0,0,0,0,0,0,1,2,.317,.408,.517,.925
23,2019-04-28,4,4,0,1,0,0,0,0,0,0,.313,.400,.500,.900
24,2019-04-30,0,0,0,0,0,0,0,0,0,0,.313,.400,.500,.900
25,April,64,55,11,17,1,1,2,7,8,9,.309,.391,.473,.863
26,2019-05-01,4,3,0,0,0,0,0,0,1,1,.299,.392,.478,.870
27,2019-05-05,5,5,1,2,0,0,0,0,0,2,.306,.393,.472,.865
28,2019-05-08,6,3,2,0,0,0,0,0,3,0,.293,.400,.453,.853
29,2019-05-09,5,4,0,1,0,0,0,0,1,2,.291,.400,.443,.843
30,2019-05-10,3,3,0,0,0,0,0,0,0,0,.280,.388,.427,.815
31,2019-05-11,1,1,0,0,0,0,0,0,0,1,.277,.384,.422,.806
32,2019-05-12,1,1,0,0,0,0,0,0,0,0,.274,.380,.417,.797
33,2019-05-13,5,5,2,2,0,0,0,0,0,1,.281,.381,.416,.797
34,2019-05-15,5,4,3,2,0,0,0,2,1,1,.290,.391,.419,.810
