,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,March,5,5,1,2,0,0,0,0,0,0,.400,.400,.400,.800
2,2018-03-31,4,4,1,2,0,0,0,0,0,0,.400,.400,.400,.800
3,2018-04-01,4,4,0,3,0,0,0,0,0,0,.556,.556,.556,1.111
4,2018-04-04,1,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000
5,2018-04-07,4,3,0,1,0,0,0,0,1,0,.462,.500,.462,.962
6,2018-04-08,1,1,1,1,0,0,0,0,0,0,.500,.533,.500,1.033
7,2018-04-10,4,3,0,0,0,0,0,1,0,1,.412,.421,.412,.833
8,2018-04-11,2,2,0,0,0,0,0,0,0,0,.368,.381,.368,.749
9,2018-04-14,1,1,0,0,0,0,0,0,0,1,.350,.364,.350,.714
10,2018-04-16,4,3,1,1,0,0,0,0,1,0,.348,.385,.348,.732
11,2018-04-17,4,3,0,2,0,0,0,0,1,0,.385,.433,.385,.818
12,2018-04-18,1,1,1,1,1,0,0,2,0,0,.407,.452,.444,.896
13,2018-04-19,1,1,0,0,0,0,0,0,0,0,.393,.438,.429,.866
14,2018-04-20,1,1,0,0,0,0,0,0,0,0,.379,.424,.414,.838
15,2018-04-24,1,1,0,0,0,0,0,0,0,0,.367,.412,.400,.812
16,2018-04-25,1,1,0,0,0,0,0,0,0,0,.355,.400,.387,.787
17,2018-04-26,1,1,0,0,0,0,0,0,0,0,.344,.389,.375,.764
18,2018-04-27,4,3,2,2,0,0,0,0,0,0,.371,.425,.400,.825
19,2018-04-28,3,3,0,0,0,0,0,0,0,1,.342,.395,.368,.764
20,April,38,33,5,11,1,0,0,3,3,4,.333,.395,.364,.758
21,2018-05-01,0,0,0,0,0,0,0,0,0,0,.342,.395,.368,.764
22,2018-05-02,3,3,0,0,0,0,0,0,0,1,.317,.370,.341,.711
23,2018-05-03,1,1,0,1,0,0,0,0,0,0,.333,.383,.357,.740
24,2018-05-05,1,1,0,0,0,0,0,0,0,0,.326,.375,.349,.724
25,2018-05-06,4,4,1,1,0,0,0,0,0,1,.319,.365,.340,.706
26,2018-05-07,0,0,0,0,0,0,0,0,0,0,.319,.365,.340,.706
27,2018-05-08,1,1,0,1,0,0,0,0,0,0,.333,.377,.354,.732
28,2018-05-11,2,2,0,0,0,0,0,0,0,0,.320,.364,.340,.704
29,2018-05-13,1,1,0,0,0,0,0,0,0,0,.314,.357,.333,.690
30,2018-05-15,5,5,2,4,0,1,0,3,0,1,.357,.393,.411,.804
31,2018-05-16,3,3,0,0,0,0,0,0,0,2,.339,.375,.390,.765
32,May,21,21,3,7,0,1,0,3,0,5,.333,.333,.429,.762
