,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-02,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500
1,2021-04-03,4,4,0,1,0,0,0,2,0,1,.250,.250,.250,.500
2,2021-04-04,6,4,1,1,1,0,0,2,2,0,.250,.357,.333,.690
3,2021-04-05,4,4,0,0,0,0,0,0,0,1,.188,.278,.250,.528
4,2021-04-06,4,4,0,2,1,0,0,0,0,0,.250,.318,.350,.668
5,2021-04-07,4,4,0,0,0,0,0,0,0,2,.208,.269,.292,.561
6,2021-04-08,4,4,0,0,0,0,0,0,0,1,.179,.233,.250,.483
7,2021-04-10,5,3,0,1,0,0,0,1,2,0,.194,.286,.258,.544
8,2021-04-11,5,4,1,2,0,0,1,4,1,0,.229,.325,.371,.696
9,2021-04-13,3,3,0,0,0,0,0,0,0,1,.211,.302,.342,.644
10,2021-04-13,4,3,1,1,1,0,0,3,1,0,.220,.319,.366,.685
11,2021-04-15,3,2,1,1,0,0,0,0,1,0,.233,.340,.372,.712
12,2021-04-15,3,3,0,0,0,0,0,0,0,1,.217,.321,.348,.669
13,2021-04-16,4,4,0,1,1,0,0,0,0,2,.220,.316,.360,.676
14,2021-04-17,5,5,2,3,0,0,1,2,0,1,.255,.339,.436,.775
15,2021-04-18,4,4,0,1,0,0,0,0,0,2,.254,.333,.424,.757
16,2021-04-20,5,5,0,0,0,0,0,1,0,1,.234,.310,.391,.700
17,2021-04-21,4,4,0,1,1,0,0,0,0,1,.235,.307,.397,.704
18,2021-04-23,4,3,0,2,0,0,0,0,1,0,.254,.329,.408,.738
19,2021-04-24,4,4,0,1,0,0,0,0,0,1,.253,.325,.400,.725
20,2021-04-25,5,4,1,1,0,0,1,1,1,2,.253,.330,.430,.760
21,2021-04-26,4,4,0,1,1,0,0,0,0,1,.253,.326,.434,.760
22,2021-04-27,4,4,0,2,0,0,0,1,0,1,.264,.333,.437,.770
23,2021-04-28,4,4,0,0,0,0,0,0,0,2,.253,.320,.418,.738
24,2021-04-29,4,4,0,0,0,0,0,0,0,0,.242,.308,.400,.708
25,April,104,95,7,23,6,0,3,17,9,21,.242,.308,.400,.708
26,2021-05-01,5,4,1,1,0,0,0,0,1,1,.242,.312,.394,.706
27,2021-05-02,5,5,0,0,0,0,0,0,0,2,.231,.298,.375,.673
28,2021-05-03,4,4,0,1,1,0,0,1,0,1,.231,.297,.380,.676
29,2021-05-04,4,4,0,0,0,0,0,0,0,0,.223,.287,.366,.653
30,2021-05-05,4,4,0,1,0,0,0,0,0,1,.224,.286,.362,.648
31,2021-05-07,4,4,0,0,0,0,0,0,0,0,.217,.277,.350,.627
32,2021-05-08,4,4,1,0,0,0,0,0,0,0,.210,.269,.339,.607
33,2021-05-10,4,3,0,0,0,0,0,0,1,0,.205,.268,.331,.599
34,2021-05-11,4,4,0,1,0,0,0,0,0,1,.206,.268,.328,.596
35,2021-05-12,4,3,0,0,0,0,0,0,1,0,.201,.267,.321,.588
36,2021-05-14,4,4,0,0,0,0,0,0,0,0,.196,.260,.312,.572
37,2021-05-16,4,4,2,3,1,0,1,3,0,0,.211,.273,.352,.625
38,2021-05-18,5,5,0,0,0,0,0,0,0,2,.204,.264,.340,.604
39,2021-05-19,5,5,0,0,0,0,0,0,0,0,.197,.256,.329,.585
40,2021-05-20,4,4,0,0,0,0,0,0,0,0,.192,.250,.321,.570
41,2021-05-21,4,4,0,0,0,0,0,0,0,0,.188,.244,.313,.557
42,2021-05-22,5,4,1,2,1,0,0,0,1,1,.195,.254,.323,.577
43,2021-05-23,3,2,0,1,1,0,0,2,0,0,.199,.256,.331,.587
44,2021-05-24,4,4,0,0,0,0,0,0,0,1,.194,.250,.324,.574
45,2021-05-25,5,5,1,2,1,0,0,0,0,0,.200,.254,.331,.585
46,2021-05-26,4,4,0,1,1,0,0,1,0,1,.201,.254,.335,.589
47,2021-05-27,4,4,0,1,0,0,0,0,0,1,.202,.254,.333,.587
48,2021-05-29,3,3,1,1,0,0,1,1,0,0,.204,.255,.349,.604
49,2021-05-29,3,3,0,1,0,0,0,0,0,0,.206,.256,.349,.605
50,2021-05-30,4,4,0,0,0,0,0,0,0,0,.202,.251,.342,.593
51,2021-05-31,4,4,1,0,0,0,0,0,0,0,.198,.246,.335,.582
52,May,107,102,8,16,6,0,2,8,4,12,.157,.187,.275,.461
53,2021-06-01,4,4,1,1,0,0,1,1,0,0,.199,.247,.348,.595
54,2021-06-02,4,4,0,2,1,0,0,0,0,0,.205,.251,.356,.607
55,2021-06-04,3,3,0,0,0,0,0,0,0,0,.202,.248,.351,.599
56,2021-06-05,4,4,0,0,0,0,0,0,0,1,.198,.243,.344,.588
57,2021-06-06,5,5,1,2,0,0,0,2,0,0,.203,.247,.346,.592
