,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-21,2,1,0,0,0,0,0,0,1,0,.000,.500,.000,.500
1,2019-03-30,3,2,1,1,0,0,1,2,1,0,.333,.600,1.333,1.933
2,March,9,6,1,1,0,0,1,2,3,1,.167,.444,.667,1.111
3,2019-03-31,4,3,0,0,0,0,0,0,1,1,.167,.444,.667,1.111
4,2019-04-01,3,1,1,0,0,0,0,0,2,1,.143,.500,.571,1.071
5,2019-04-02,3,2,0,0,0,0,0,0,1,0,.111,.467,.444,.911
6,2019-04-04,4,4,0,1,0,0,0,0,0,0,.154,.421,.385,.806
7,2019-04-05,0,0,1,0,0,0,0,0,0,0,.154,.421,.385,.806
8,2019-04-06,4,3,0,1,0,0,0,0,1,1,.188,.435,.375,.810
9,2019-04-08,4,3,2,1,0,0,1,1,1,2,.211,.444,.526,.971
10,2019-04-09,5,4,1,1,0,0,0,0,1,3,.217,.438,.478,.916
11,2019-04-12,3,2,1,0,0,0,0,0,1,2,.200,.429,.440,.869
12,2019-04-16,2,1,0,1,0,0,0,0,0,0,.231,.459,.462,.921
13,2019-04-17,3,3,1,1,1,0,0,0,0,0,.241,.450,.483,.933
14,2019-04-20,1,0,0,0,0,0,0,1,0,0,.241,.439,.483,.922
15,2019-04-22,4,4,0,1,0,0,0,0,0,0,.242,.422,.455,.877
16,2019-04-24,4,3,0,0,0,0,0,0,1,1,.222,.408,.417,.825
17,2019-04-27,1,1,0,0,0,0,0,0,0,0,.216,.400,.405,.805
18,2019-04-28,3,3,0,0,0,0,0,0,0,2,.200,.377,.375,.752
19,April,44,34,7,7,1,0,1,2,8,12,.206,.364,.324,.687
20,2019-05-13,5,5,1,1,0,0,1,1,0,2,.200,.362,.422,.784
21,2019-05-14,1,1,0,0,0,0,0,0,0,0,.196,.356,.413,.769
22,2019-05-16,2,2,1,1,0,0,1,2,0,0,.208,.361,.479,.840
23,2019-05-17,4,4,1,1,0,0,1,2,0,1,.212,.354,.519,.873
24,2019-05-18,3,3,0,0,0,0,0,0,0,0,.200,.338,.491,.829
25,2019-05-19,1,1,0,0,0,0,0,0,0,1,.196,.333,.482,.816
26,2019-05-20,4,3,0,0,0,0,0,0,0,0,.186,.329,.458,.786
27,2019-05-21,4,4,1,2,0,0,1,2,0,0,.206,.338,.508,.846
28,2019-05-22,5,5,1,2,1,0,1,3,0,0,.221,.341,.559,.900
29,2019-05-24,4,3,1,1,0,0,1,1,0,2,.225,.349,.592,.940
30,2019-05-25,4,3,1,1,1,0,0,0,1,1,.230,.356,.595,.950
31,2019-05-26,4,3,0,0,0,0,0,0,1,1,.221,.351,.571,.922
32,2019-05-27,4,3,1,1,0,0,0,1,1,0,.225,.357,.563,.920
33,2019-05-28,4,3,0,0,0,0,0,0,1,1,.217,.353,.542,.895
34,2019-05-29,5,4,1,2,0,0,1,1,0,1,.230,.364,.575,.939
35,2019-05-31,4,4,0,1,0,0,0,0,0,1,.231,.360,.560,.921
36,May,58,51,9,13,2,0,7,13,4,11,.255,.345,.706,1.051
37,2019-06-02,1,1,0,0,0,0,0,0,0,1,.228,.357,.554,.912
38,2019-06-05,1,1,0,0,0,0,0,0,0,1,.226,.354,.548,.902
39,2019-06-06,4,1,1,1,0,0,0,0,3,0,.234,.376,.553,.929
40,2019-06-07,4,4,1,2,0,0,0,0,0,1,.245,.380,.551,.931
41,2019-06-08,5,4,0,1,1,0,0,0,1,0,.245,.381,.549,.930
42,2019-06-08,4,4,1,1,0,0,1,1,0,1,.245,.377,.566,.943
43,2019-06-09,5,4,0,0,0,0,0,1,0,2,.236,.363,.545,.908
44,2019-06-10,1,0,1,0,0,0,0,0,1,0,.236,.368,.545,.913
45,2019-06-14,5,5,0,0,0,0,0,0,0,1,.226,.355,.522,.876
46,2019-06-15,5,3,3,1,1,0,0,0,1,0,.229,.363,.525,.888
47,2019-06-16,4,3,1,1,0,0,0,0,1,1,.231,.367,.521,.887
