,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-05-16,5,5,1,2,2,0,0,1,0,1,.400,.400,.800,1.200
1,2019-05-17,4,4,0,0,0,0,0,0,0,3,.222,.222,.444,.667
2,2019-05-18,6,4,3,1,0,0,1,2,1,1,.231,.267,.615,.882
3,2019-05-19,4,4,0,0,0,0,0,0,0,3,.176,.211,.471,.681
4,2019-05-20,4,4,1,1,0,0,1,2,0,1,.190,.217,.571,.789
5,2019-05-23,5,4,3,2,0,0,2,3,1,1,.240,.286,.800,1.086
6,2019-05-24,5,3,3,1,0,0,1,1,2,1,.250,.333,.857,1.190
7,2019-05-25,4,4,0,1,0,0,0,0,0,2,.250,.324,.781,1.106
8,2019-05-27,5,3,0,0,0,0,0,0,2,3,.229,.333,.714,1.048
9,2019-05-28,4,3,0,1,1,0,0,0,1,0,.237,.348,.711,1.058
10,2019-05-31,4,4,0,0,0,0,0,0,0,2,.214,.320,.643,.963
11,May,50,42,11,9,3,0,5,9,7,18,.214,.320,.643,.963
12,2019-06-01,5,5,0,1,1,0,0,1,0,3,.213,.309,.617,.926
13,2019-06-02,4,3,2,3,2,0,0,1,1,0,.260,.356,.680,1.036
14,2019-06-04,3,2,0,0,0,0,0,0,1,1,.250,.355,.654,1.009
15,2019-06-05,4,4,1,1,0,0,0,0,0,1,.250,.348,.625,.974
16,2019-06-08,4,4,0,0,0,0,0,0,0,3,.233,.329,.583,.912
17,2019-06-09,5,5,1,2,0,0,1,1,0,2,.246,.333,.615,.949
18,2019-06-11,4,4,0,0,0,0,0,0,0,1,.232,.316,.580,.896
19,2019-06-12,4,4,1,2,1,0,0,0,0,1,.247,.325,.589,.914
20,2019-06-14,3,2,0,0,0,0,0,0,1,1,.240,.326,.573,.899
21,2019-06-16,5,4,1,2,0,0,1,1,1,2,.253,.341,.608,.948
22,2019-06-17,4,3,0,0,0,0,0,0,1,2,.244,.337,.585,.922
23,2019-06-18,7,7,0,0,0,0,0,0,0,5,.225,.314,.539,.853
24,2019-06-19,4,3,0,0,0,0,0,0,1,2,.217,.311,.522,.833
25,2019-06-20,1,1,0,0,0,0,0,0,0,1,.215,.308,.516,.824
26,2019-06-21,5,5,1,1,0,0,1,1,0,4,.214,.304,.531,.834
27,2019-06-22,4,4,1,1,0,0,1,1,0,0,.216,.302,.549,.851
28,2019-06-23,4,3,0,0,0,0,0,0,1,3,.210,.300,.533,.833
29,2019-06-25,4,4,1,1,0,0,0,0,0,3,.211,.298,.523,.821
30,2019-06-26,2,2,0,0,0,0,0,0,0,0,.207,.294,.514,.807
31,2019-06-27,7,7,0,0,0,0,0,0,0,3,.195,.278,.483,.761
32,2019-06-28,4,3,2,2,0,0,2,4,1,0,.207,.292,.537,.829
33,2019-06-29,4,3,1,1,0,0,1,2,1,1,.210,.298,.556,.854
34,2019-06-30,2,2,0,1,0,0,0,1,0,0,.214,.301,.556,.856
35,June,93,84,12,18,4,0,7,13,9,39,.214,.290,.512,.802
36,2019-07-02,4,4,1,2,0,0,1,2,0,1,.223,.306,.577,.883
37,2019-07-03,5,5,0,1,1,0,0,0,0,1,.222,.303,.570,.873
38,2019-07-04,4,3,0,1,0,0,0,0,1,1,.225,.308,.565,.873
39,2019-07-05,3,3,1,1,0,0,0,0,0,1,.227,.308,.560,.868
40,2019-07-06,4,3,2,1,0,1,0,0,1,1,.229,.313,.569,.882
41,2019-07-07,5,4,1,2,1,0,0,0,1,2,.236,.321,.574,.896
42,2019-07-12,4,4,1,1,1,0,0,0,0,0,.237,.320,.572,.892
43,2019-07-13,0,0,0,0,0,0,0,0,0,0,.237,.320,.572,.892
44,2019-07-14,4,4,0,1,0,0,0,0,0,3,.237,.318,.564,.882
45,2019-07-16,4,3,0,0,0,0,0,0,1,2,.233,.317,.553,.870
46,2019-07-17,4,4,0,1,0,0,0,1,0,3,.233,.315,.546,.861
47,2019-07-18,4,2,2,1,0,0,0,0,2,0,.236,.324,.545,.870
48,2019-07-19,4,2,1,0,0,0,0,0,2,1,.234,.328,.539,.867
49,2019-07-20,4,3,1,2,1,0,1,1,1,0,.241,.337,.565,.901
50,2019-07-21,5,5,0,0,0,0,0,0,0,2,.234,.328,.549,.877
51,2019-07-22,4,4,0,0,0,0,0,1,0,2,.229,.322,.536,.858
52,2019-07-23,6,6,2,2,0,0,2,5,0,2,.232,.322,.562,.884
53,2019-07-24,4,2,1,0,0,0,0,0,2,2,.230,.326,.556,.882
54,2019-07-25,4,4,1,2,0,0,1,2,0,1,.236,.329,.571,.899
55,2019-07-26,4,4,0,2,0,0,0,0,0,1,.241,.332,.569,.901
56,2019-07-27,3,3,0,0,0,0,0,0,0,1,.237,.327,.561,.888
57,2019-07-28,4,4,2,3,0,0,1,3,0,0,.248,.335,.579,.914
58,2019-07-30,4,2,0,1,1,0,0,1,2,1,.250,.342,.583,.925
59,2019-07-31,4,2,0,0,0,0,0,0,2,0,.248,.345,.578,.922
60,July,95,80,16,24,5,1,6,16,15,28,.300,.411,.613,1.023
61,2019-08-01,5,5,1,1,1,0,0,0,0,2,.246,.342,.573,.915
62,2019-08-02,4,4,1,1,0,0,0,1,0,1,.247,.340,.567,.908
63,2019-08-03,4,4,0,0,0,0,0,0,0,3,.242,.335,.557,.892
64,2019-08-04,4,4,0,0,0,0,0,0,0,2,.238,.329,.547,.876
65,2019-08-05,1,1,1,1,0,0,1,2,0,0,.241,.332,.563,.894
66,2019-08-06,4,2,0,1,0,0,0,0,2,0,.243,.338,.562,.900
67,2019-08-07,5,5,2,2,0,0,1,4,0,0,.247,.340,.571,.911
68,2019-08-08,4,3,1,1,1,0,0,1,0,2,.248,.342,.573,.915
69,2019-08-09,4,2,0,0,0,0,0,0,2,2,.246,.344,.568,.912
70,2019-08-10,4,4,0,0,0,0,0,0,0,2,.242,.339,.558,.898
71,2019-08-11,5,5,0,0,0,0,0,0,0,1,.237,.333,.547,.880
72,2019-08-13,5,4,1,1,0,0,0,0,1,0,.237,.334,.542,.877
73,2019-08-14,5,4,1,1,0,0,1,1,1,2,.237,.336,.549,.885
74,2019-08-15,5,4,2,1,0,0,1,1,1,2,.237,.337,.556,.893
75,2019-08-16,4,2,1,0,0,0,0,0,2,0,.236,.339,.552,.891
76,2019-08-17,6,6,3,3,0,0,1,2,0,2,.242,.342,.562,.904
77,2019-08-18,5,3,2,1,1,0,0,0,2,2,.243,.346,.563,.910
78,2019-08-19,5,5,0,2,0,0,0,0,0,2,.245,.347,.560,.907
79,2019-08-20,5,5,1,1,1,0,0,1,0,2,.245,.345,.558,.902
80,2019-08-21,3,3,0,0,0,0,0,0,0,2,.242,.342,.552,.893
81,2019-08-23,4,4,2,2,0,0,2,3,0,2,.246,.343,.572,.915
82,2019-08-24,4,4,1,1,0,0,1,3,0,2,.246,.342,.578,.920
83,2019-08-25,4,3,1,1,1,0,0,0,1,0,.247,.344,.579,.923
84,2019-08-27,4,4,0,1,0,0,0,0,0,2,.247,.343,.574,.917
85,2019-08-28,3,2,0,0,0,0,0,1,0,1,.245,.343,.570,.914
86,2019-08-30,4,4,0,0,0,0,0,0,0,2,.242,.339,.563,.902
87,2019-08-31,5,5,0,0,0,0,0,0,0,4,.238,.334,.554,.888
88,August,115,101,21,22,5,0,8,20,12,42,.218,.313,.505,.818
89,2019-09-01,5,3,1,0,0,0,0,0,2,2,.235,.335,.548,.884
90,2019-09-03,5,5,1,2,0,0,1,3,0,3,.238,.336,.556,.892
91,2019-09-04,4,3,0,2,0,0,0,0,1,0,.242,.341,.557,.897
92,2019-09-05,4,1,2,0,0,0,0,0,3,0,.241,.345,.555,.900
93,2019-09-06,5,5,0,0,0,0,0,0,0,4,.238,.340,.546,.887
94,2019-09-07,4,4,0,1,1,0,0,0,0,2,.238,.339,.546,.885
95,2019-09-14,4,3,0,1,0,0,0,0,1,2,.239,.341,.544,.885
96,2019-09-14,4,4,1,1,0,0,1,4,0,2,.239,.340,.549,.890
97,2019-09-15,5,5,1,2,0,0,1,1,0,2,.241,.341,.556,.897
98,2019-09-16,4,3,1,1,0,0,0,0,1,0,.242,.343,.554,.896
99,2019-09-17,6,6,1,1,0,0,1,3,0,2,.241,.340,.556,.896
100,2019-09-18,4,4,0,0,0,0,0,0,0,2,.238,.337,.550,.886
101,2019-09-19,4,3,1,2,1,0,1,2,1,0,.242,.341,.562,.902
102,2019-09-20,4,3,1,1,0,1,0,1,1,0,.242,.342,.565,.908
103,2019-09-21,4,4,0,2,0,0,0,1,0,2,.245,.344,.565,.908
104,2019-09-22,5,4,2,2,0,0,2,4,1,2,.248,.347,.580,.927
105,2019-09-24,4,4,0,0,0,0,0,0,0,3,.245,.343,.574,.918
106,2019-09-25,4,3,1,0,0,0,0,0,1,2,.243,.343,.570,.912
107,2019-09-27,4,4,2,2,0,0,1,2,0,1,.246,.344,.577,.921
108,2019-09-29,3,2,1,1,0,0,0,0,0,1,.247,.346,.576,.923
109,September,86,73,16,21,2,1,8,21,12,32,.288,.395,.671,1.067
