,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,3,3,1,1,0,0,1,1,0,0,.333,.333,1.333,1.667
1,2019-03-29,4,3,0,1,1,0,0,0,1,1,.333,.429,1.000,1.429
2,2019-03-30,4,3,1,2,0,0,1,2,1,0,.444,.545,1.222,1.768
3,March,15,12,2,4,1,0,2,3,3,2,.333,.467,.917,1.383
4,2019-03-31,4,3,0,0,0,0,0,0,1,1,.333,.467,.917,1.383
5,2019-04-01,4,4,0,1,1,0,0,1,0,1,.313,.421,.813,1.234
6,2019-04-02,4,4,0,0,0,0,0,0,0,2,.250,.348,.650,.998
7,2019-04-03,4,3,0,0,0,0,0,0,0,0,.217,.333,.565,.899
8,2019-04-05,5,5,0,0,0,0,0,0,0,1,.179,.281,.464,.746
9,2019-04-06,1,1,0,0,0,0,0,0,0,0,.172,.273,.448,.721
10,2019-04-07,4,3,0,0,0,0,0,0,1,1,.156,.270,.406,.676
11,2019-04-08,4,4,2,2,0,0,1,1,0,0,.194,.293,.500,.793
12,2019-04-09,4,2,2,1,0,0,1,2,2,0,.211,.333,.579,.912
13,2019-04-10,4,4,0,1,0,0,0,0,0,2,.214,.327,.548,.874
14,2019-04-12,5,5,1,1,0,0,0,1,0,2,.213,.315,.511,.826
15,2019-04-13,5,4,2,2,0,0,1,1,1,0,.235,.339,.569,.908
16,2019-04-14,4,4,0,0,0,0,0,0,0,2,.218,.317,.527,.845
17,2019-04-15,5,3,1,2,1,0,1,1,2,0,.241,.353,.603,.956
18,2019-04-16,4,3,0,0,0,0,0,0,1,1,.230,.347,.574,.921
19,2019-04-17,4,4,0,1,1,0,0,0,0,1,.231,.342,.569,.911
20,2019-04-19,4,3,0,1,0,0,0,0,1,1,.235,.350,.559,.909
21,2019-04-20,3,3,0,1,0,0,0,0,0,2,.239,.349,.549,.899
22,2019-04-26,5,5,1,2,1,0,0,2,0,2,.250,.352,.553,.905
23,2019-04-27,5,5,1,2,0,0,0,1,0,1,.259,.355,.543,.898
24,2019-04-28,3,3,1,2,0,0,1,2,0,0,.274,.365,.583,.948
25,2019-04-29,3,3,1,1,0,0,0,0,0,0,.276,.364,.575,.938
26,2019-04-30,3,3,0,0,0,0,0,0,0,0,.267,.353,.556,.908
27,April,87,78,12,20,4,0,5,12,8,19,.256,.333,.500,.833
28,2019-05-01,5,5,1,1,0,0,1,2,0,1,.263,.346,.568,.914
29,2019-05-02,5,5,1,2,1,0,0,2,0,3,.270,.348,.570,.918
30,2019-05-03,4,4,0,2,1,0,0,0,0,0,.279,.353,.577,.930
31,2019-05-04,8,7,0,1,1,0,0,1,1,1,.270,.347,.559,.905
32,2019-05-06,5,5,0,1,0,0,0,1,0,1,.267,.341,.543,.884
33,2019-05-07,4,4,1,1,0,0,0,1,0,1,.267,.338,.533,.872
34,2019-05-08,5,5,2,2,1,0,1,2,0,0,.272,.341,.560,.901
35,2019-05-10,5,5,1,1,1,0,0,1,0,0,.269,.336,.554,.890
36,2019-05-11,6,6,0,0,0,0,0,0,0,2,.257,.322,.529,.852
37,2019-05-12,4,4,0,0,0,0,0,0,0,2,.250,.314,.514,.828
38,2019-05-13,5,4,1,1,0,0,1,1,1,0,.250,.316,.528,.844
39,2019-05-14,5,5,1,1,0,0,0,0,0,0,.248,.313,.517,.830
40,2019-05-15,5,4,0,1,0,0,0,1,1,0,.248,.315,.510,.825
41,2019-05-16,6,5,2,3,0,0,1,2,0,1,.259,.328,.532,.859
42,2019-05-17,2,1,2,1,1,0,0,0,1,0,.264,.335,.541,.876
43,2019-05-18,5,5,1,1,1,0,0,0,0,1,.262,.331,.537,.868
44,2019-05-19,4,4,0,0,0,0,0,0,0,1,.256,.324,.524,.848
45,2019-05-21,4,4,0,0,0,0,0,0,0,1,.250,.317,.512,.829
46,2019-05-22,5,5,3,3,0,0,1,1,0,1,.260,.325,.531,.856
47,2019-05-24,4,3,1,1,1,0,0,1,1,2,.261,.328,.533,.862
48,2019-05-25,4,4,1,2,0,0,1,1,0,1,.266,.332,.549,.881
49,2019-05-26,4,4,0,0,0,0,0,0,0,1,.261,.325,.537,.862
50,2019-05-27,4,3,0,1,0,0,0,0,1,1,.262,.329,.534,.863
51,2019-05-28,4,4,0,0,0,0,0,0,0,2,.256,.322,.523,.846
52,2019-05-30,6,6,2,4,0,0,2,4,0,0,.269,.332,.557,.889
53,2019-05-31,4,4,1,1,1,0,0,0,0,1,.268,.330,.556,.886
54,May,122,115,21,31,9,0,8,21,6,24,.270,.311,.557,.868
55,2019-06-01,5,4,2,1,0,0,1,1,0,1,.268,.332,.565,.896
56,2019-06-04,4,4,0,0,0,0,0,0,0,2,.263,.326,.554,.880
57,2019-06-05,4,4,1,1,0,0,0,0,0,0,.263,.325,.548,.873
58,2019-06-06,4,4,2,2,0,0,2,2,0,0,.267,.328,.575,.902
59,2019-06-07,5,4,0,2,0,0,0,1,1,0,.271,.333,.573,.907
