,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
1,2021-04-03,4,4,0,3,0,0,0,1,0,1,.375,.375,.375,.750
2,2021-04-04,3,3,1,1,0,0,1,2,0,0,.364,.364,.636,1.000
3,2021-04-05,2,2,0,0,0,0,0,0,0,0,.308,.308,.538,.846
4,2021-04-06,1,1,0,0,0,0,0,0,0,0,.286,.286,.500,.786
5,2021-04-07,4,4,0,1,0,0,0,0,0,1,.278,.278,.444,.722
6,2021-04-09,4,4,0,0,0,0,0,0,0,1,.227,.227,.364,.591
7,2021-04-10,2,2,0,1,0,0,0,0,0,1,.250,.250,.375,.625
8,2021-04-11,4,4,0,0,0,0,0,0,0,0,.214,.214,.321,.536
9,2021-04-12,5,4,1,1,0,0,0,0,1,1,.219,.242,.313,.555
10,2021-04-13,5,4,1,2,0,0,1,2,1,0,.250,.289,.417,.706
11,2021-04-14,2,2,0,0,0,0,0,0,0,0,.237,.275,.395,.670
12,April,40,38,3,9,0,0,2,5,2,7,.237,.275,.395,.670
13,2021-05-08,5,4,2,1,0,1,0,0,1,0,.238,.289,.429,.718
14,2021-05-11,5,4,0,0,0,0,0,0,1,1,.217,.280,.391,.671
15,2021-05-12,4,4,0,0,0,0,0,0,0,3,.200,.259,.360,.619
16,2021-05-14,3,2,0,1,0,0,0,0,1,0,.212,.281,.365,.646
17,2021-05-15,6,5,1,2,1,0,0,2,1,1,.228,.302,.386,.688
18,2021-05-16,4,4,0,0,0,0,0,0,0,1,.213,.284,.361,.644
19,2021-05-18,4,4,0,0,0,0,0,0,0,3,.200,.268,.338,.606
20,2021-05-19,4,4,1,2,0,0,0,1,0,1,.217,.280,.348,.628
21,2021-05-22,3,3,0,0,0,0,0,0,0,1,.208,.269,.333,.603
22,2021-05-24,4,3,0,1,0,0,0,1,1,1,.213,.280,.333,.614
23,2021-05-25,4,4,0,0,0,0,0,0,0,2,.203,.267,.316,.584
24,2021-05-26,3,2,0,0,0,0,0,0,1,1,.198,.270,.309,.578
25,2021-05-28,4,4,0,0,0,0,0,0,0,2,.188,.258,.294,.552
26,2021-05-29,4,4,1,1,0,0,0,0,0,2,.191,.258,.292,.550
27,2021-05-30,5,4,0,1,1,0,0,2,1,0,.194,.265,.301,.566
28,2021-05-31,1,1,0,0,0,0,0,0,0,0,.191,.262,.298,.560
29,May,63,56,5,9,2,1,0,6,7,19,.161,.254,.232,.486
30,2021-06-01,2,2,0,1,1,0,0,1,0,0,.198,.267,.313,.579
31,2021-06-03,4,4,0,0,0,0,0,0,0,1,.190,.257,.300,.557
32,2021-06-06,4,4,0,0,0,0,0,0,0,3,.183,.248,.288,.536
33,2021-06-09,5,5,0,1,0,0,0,0,0,1,.183,.246,.284,.530
34,2021-06-11,2,2,1,1,0,0,1,1,0,0,.189,.250,.315,.565
35,2021-06-12,4,3,0,0,0,0,0,0,1,2,.184,.250,.307,.557
36,2021-06-14,4,3,0,1,0,0,0,1,0,1,.188,.250,.308,.558
37,2021-06-16,5,5,0,2,0,1,0,1,0,1,.197,.256,.328,.584
38,2021-06-18,4,3,0,2,0,0,0,0,1,1,.208,.270,.336,.606
39,2021-06-20,5,3,0,0,0,0,0,0,2,1,.203,.275,.328,.603
40,2021-06-22,4,4,1,1,0,0,0,0,0,1,.205,.274,.326,.600
41,2021-06-23,4,3,0,0,0,0,0,0,1,0,.200,.273,.319,.592
42,2021-06-24,4,4,0,1,0,0,0,0,0,1,.201,.273,.317,.589
43,2021-06-26,3,3,0,2,1,0,0,1,0,0,.211,.280,.331,.611
44,2021-06-27,4,3,0,0,0,0,0,0,1,0,.207,.280,.324,.604
45,2021-06-30,4,4,1,1,1,0,0,0,0,1,.208,.279,.329,.608
46,June,62,55,3,13,3,1,1,5,6,14,.236,.306,.382,.688
47,2021-07-02,1,1,0,1,0,0,0,1,0,0,.213,.283,.333,.616
48,2021-07-05,4,4,1,1,0,0,0,2,0,0,.214,.282,.331,.614
49,2021-07-06,2,2,0,0,0,0,0,0,0,2,.212,.279,.327,.606
50,2021-07-07,4,4,0,1,0,0,0,0,0,1,.213,.278,.325,.603
51,2021-07-08,3,3,0,1,0,0,0,0,0,1,.215,.279,.325,.604
52,2021-07-09,2,2,0,0,0,0,0,0,0,1,.212,.276,.321,.598
53,July,16,16,1,4,0,0,0,3,0,5,.250,.250,.250,.500
