,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-05-14,4,3,1,0,0,0,0,0,0,3,.000,.250,.000,.250
1,2019-05-16,1,1,1,0,0,0,0,0,0,0,.000,.200,.000,.200
2,2019-05-18,3,2,1,1,1,0,0,0,1,0,.167,.375,.333,.708
3,2019-05-19,4,3,2,2,1,0,0,1,1,0,.333,.500,.556,1.056
4,2019-05-20,4,4,0,1,0,0,0,1,0,0,.308,.438,.462,.899
5,2019-05-21,4,4,0,1,1,0,0,1,0,1,.294,.400,.471,.871
6,2019-05-22,4,4,0,0,0,0,0,0,0,1,.238,.333,.381,.714
7,2019-05-23,2,2,0,1,0,0,0,0,0,0,.261,.346,.391,.738
8,2019-05-26,5,4,1,2,0,0,1,1,0,1,.296,.387,.519,.906
9,2019-05-27,5,4,3,2,0,0,0,0,1,0,.323,.417,.516,.933
10,2019-05-28,5,5,1,1,0,0,0,0,0,0,.306,.390,.472,.862
11,2019-05-29,6,6,2,3,0,0,0,0,0,2,.333,.404,.476,.880
12,2019-05-30,5,4,0,0,0,0,0,0,0,3,.304,.385,.435,.819
13,May,52,46,12,14,3,0,1,4,3,11,.304,.385,.435,.819
14,2019-06-01,4,4,1,0,0,0,0,0,0,2,.280,.357,.400,.757
15,2019-06-02,4,4,0,1,0,0,0,0,0,1,.278,.350,.389,.739
16,2019-06-04,4,4,0,0,0,0,0,0,0,1,.259,.328,.362,.690
17,2019-06-05,5,3,0,1,0,0,0,0,1,0,.262,.338,.361,.699
18,2019-06-06,1,1,1,1,0,0,1,1,0,0,.274,.348,.419,.767
19,2019-06-07,4,4,2,2,0,0,0,0,0,1,.288,.356,.424,.780
20,2019-06-08,4,4,1,2,1,0,1,2,0,1,.300,.364,.486,.849
21,2019-06-09,5,5,1,1,0,0,0,0,0,1,.293,.354,.467,.820
22,2019-06-11,5,5,0,1,0,0,0,1,0,0,.288,.345,.450,.795
23,2019-06-12,4,3,0,0,0,0,0,0,0,1,.277,.333,.434,.767
24,2019-06-14,6,6,1,2,1,0,0,0,0,0,.281,.333,.438,.772
25,2019-06-15,5,5,1,2,0,0,0,0,0,0,.287,.337,.436,.773
26,2019-06-16,5,4,1,3,1,0,0,4,1,0,.306,.358,.459,.818
27,2019-06-17,4,4,1,1,0,0,1,1,0,3,.304,.355,.480,.835
28,2019-06-18,6,5,3,2,0,1,0,0,1,1,.308,.362,.495,.857
29,2019-06-19,5,4,0,2,1,0,0,0,0,0,.315,.367,.505,.871
30,2019-06-20,4,3,1,1,0,0,0,0,1,0,.316,.371,.500,.871
31,2019-06-21,5,5,0,0,0,0,0,0,0,3,.303,.357,.479,.836
32,2019-06-22,4,3,0,2,1,0,0,1,0,1,.311,.368,.492,.860
33,2019-06-23,4,4,0,1,0,0,0,1,0,1,.310,.365,.484,.849
34,2019-06-24,5,5,0,1,0,0,0,0,0,0,.305,.359,.473,.832
35,2019-06-25,5,5,0,2,0,0,0,1,0,0,.309,.361,.471,.831
36,2019-06-26,4,4,0,1,0,0,0,1,0,0,.307,.358,.464,.822
37,2019-06-28,4,4,0,2,1,0,0,0,0,0,.313,.361,.472,.834
38,2019-06-29,4,4,0,0,0,0,0,0,0,2,.304,.352,.459,.812
39,2019-06-30,5,5,2,3,2,0,0,0,0,0,.314,.360,.477,.837
40,June,115,107,16,34,8,1,3,13,4,19,.318,.348,.495,.844
41,2019-07-02,5,5,0,0,0,0,0,0,0,2,.304,.349,.462,.811
42,2019-07-03,5,4,0,0,0,0,0,0,1,1,.296,.345,.451,.795
43,2019-07-04,5,4,1,0,0,0,0,0,0,1,.289,.337,.440,.777
44,2019-07-06,5,5,0,0,0,0,0,0,0,0,.281,.328,.427,.755
45,2019-07-12,4,4,0,1,0,0,0,0,0,2,.280,.326,.423,.749
46,2019-07-13,4,3,0,0,0,0,0,0,1,0,.275,.325,.416,.740
47,2019-07-14,0,0,0,0,0,0,0,0,0,0,.275,.325,.416,.740
48,2019-07-15,5,5,2,3,0,0,2,2,0,0,.284,.332,.454,.785
49,2019-07-16,4,2,1,1,0,0,1,2,2,0,.286,.340,.470,.810
50,2019-07-17,4,4,0,1,0,0,0,2,0,0,.286,.338,.466,.804
51,2019-07-18,4,3,1,0,0,0,0,0,1,1,.281,.337,.458,.795
52,2019-07-19,5,5,2,5,1,0,0,2,0,0,.299,.352,.477,.829
53,2019-07-20,4,4,0,0,0,0,0,0,0,1,.294,.346,.468,.813
54,2019-07-21,4,4,0,1,0,0,0,1,0,0,.293,.344,.463,.807
55,2019-07-22,5,4,2,2,0,1,1,2,1,2,.297,.350,.488,.838
56,2019-07-23,5,5,0,1,1,0,0,0,0,3,.294,.346,.486,.832
57,2019-07-24,4,3,0,0,0,0,0,1,0,1,.290,.340,.479,.820
58,2019-07-25,7,7,0,1,0,0,0,0,0,2,.286,.335,.469,.804
59,2019-07-26,5,4,1,1,0,0,0,0,1,1,.285,.336,.465,.801
60,2019-07-27,5,5,2,4,1,0,0,1,0,1,.296,.345,.476,.822
61,2019-07-28,5,4,1,1,0,0,0,1,0,0,.295,.342,.473,.815
62,2019-07-30,4,4,0,0,0,0,0,0,0,2,.290,.337,.465,.802
63,2019-07-31,5,3,2,1,1,0,0,0,1,0,.291,.340,.467,.807
64,July,103,91,15,23,4,1,4,14,8,20,.253,.307,.451,.758
65,2019-08-01,4,4,0,1,0,0,0,0,0,0,.290,.338,.464,.802
66,2019-08-02,4,4,2,2,1,0,0,0,0,0,.294,.341,.468,.809
67,2019-08-03,4,4,0,0,0,0,0,0,0,1,.289,.336,.461,.797
68,2019-08-04,5,4,1,1,0,0,1,1,1,0,.288,.337,.469,.806
69,2019-08-05,4,4,0,1,0,0,0,0,0,1,.288,.336,.466,.802
70,2019-08-07,3,3,0,0,0,0,0,0,0,0,.285,.332,.461,.793
71,2019-08-07,1,1,0,0,0,0,0,0,0,0,.284,.331,.459,.790
72,2019-08-08,5,4,1,0,0,0,0,0,1,1,.279,.329,.452,.781
73,2019-08-09,5,5,1,2,0,0,0,0,0,0,.282,.330,.451,.781
74,2019-08-10,5,5,0,0,0,0,0,0,0,2,.277,.325,.443,.768
75,2019-08-11,0,0,1,0,0,0,0,0,0,0,.277,.325,.443,.768
76,2019-08-12,5,5,0,0,0,0,0,0,0,1,.272,.319,.436,.755
77,2019-08-13,5,5,0,1,0,0,0,0,0,3,.271,.317,.432,.749
78,2019-08-14,4,4,0,2,0,0,0,0,0,0,.274,.320,.432,.752
79,2019-08-15,1,1,0,1,0,0,0,0,0,0,.276,.322,.434,.756
80,2019-08-17,5,4,2,2,2,0,0,0,1,0,.279,.326,.442,.768
81,2019-08-18,5,4,1,3,0,0,1,3,1,0,.285,.333,.456,.789
82,2019-08-20,4,4,0,0,0,0,0,0,0,1,.282,.329,.450,.779
83,2019-08-21,1,1,0,0,0,0,0,0,0,0,.281,.328,.448,.777
84,2019-08-23,4,4,0,1,0,0,0,0,0,1,.280,.327,.446,.773
85,2019-08-24,4,4,1,1,1,0,0,0,0,0,.280,.327,.447,.773
86,2019-08-25,5,5,0,0,0,0,0,0,0,0,.276,.322,.440,.762
87,2019-08-27,5,5,0,0,0,0,0,0,0,0,.271,.317,.433,.750
88,2019-08-28,0,0,0,0,0,0,0,0,0,0,.271,.317,.433,.750
89,2019-08-29,4,4,0,1,0,0,0,0,0,2,.271,.317,.431,.747
90,2019-08-30,4,4,0,1,0,0,0,0,0,0,.271,.316,.429,.744
91,2019-08-31,4,4,1,1,0,0,0,0,0,0,.271,.315,.426,.742
92,August,100,96,11,21,4,0,2,4,4,13,.219,.250,.323,.573
93,2019-09-01,5,3,0,0,0,0,0,0,1,0,.268,.316,.423,.739
94,2019-09-02,5,3,0,0,0,0,0,1,1,1,.266,.315,.419,.734
95,2019-09-03,1,1,0,0,0,0,0,0,0,1,.265,.314,.418,.732
96,2019-09-04,5,4,1,3,1,0,0,1,1,0,.271,.320,.425,.745
97,2019-09-05,4,3,0,0,0,0,0,0,0,1,.268,.318,.421,.739
