,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2020-07-25,5,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,2020-07-26,6,6,3,3,2,0,1,3,0,0,.200,.200,.533,.733
3,2020-07-27,4,4,1,0,0,0,0,0,0,1,.158,.158,.421,.579
4,2020-07-28,4,4,0,2,0,0,0,1,0,2,.217,.217,.435,.652
5,2020-07-29,5,5,0,1,0,0,0,1,0,3,.214,.214,.393,.607
6,2020-07-30,4,3,0,0,0,0,0,0,1,0,.194,.219,.355,.574
7,2020-07-31,1,1,0,0,0,0,0,0,0,0,.188,.212,.344,.556
8,July,33,32,4,6,2,0,1,5,1,8,.188,.212,.344,.556
9,2020-08-01,4,4,0,1,0,0,0,1,0,1,.194,.216,.333,.550
10,2020-08-03,4,4,0,0,0,0,0,0,0,3,.175,.195,.300,.495
11,2020-08-04,5,4,0,0,0,0,0,0,1,1,.159,.196,.273,.468
12,August,13,12,0,1,0,0,0,1,1,5,.083,.154,.083,.237
13,2020-09-09,6,6,3,3,0,0,1,2,0,1,.200,.231,.360,.591
14,2020-09-10,4,4,0,0,0,0,0,0,0,2,.185,.214,.333,.548
15,2020-09-11,6,5,2,3,1,0,0,0,1,0,.220,.258,.373,.631
16,2020-09-12,4,4,0,1,0,0,0,1,0,1,.222,.258,.365,.623
17,2020-09-13,4,3,2,1,0,0,1,2,1,1,.227,.271,.409,.680
18,2020-09-14,3,3,0,2,0,0,0,0,0,0,.246,.288,.420,.708
19,2020-09-15,4,4,1,1,1,0,0,0,0,0,.247,.286,.425,.710
20,2020-09-16,3,3,0,1,0,0,0,0,0,1,.250,.288,.421,.709
21,2020-09-18,5,5,2,2,0,0,2,3,0,1,.259,.294,.494,.788
22,2020-09-19,4,4,0,0,0,0,0,0,0,1,.247,.281,.471,.752
23,2020-09-20,4,4,1,2,1,0,0,0,0,1,.258,.290,.483,.774
24,2020-09-21,4,4,1,2,0,0,0,1,0,1,.269,.299,.484,.783
25,2020-09-22,4,4,2,3,0,0,1,1,0,0,.289,.317,.526,.843
26,2020-09-23,4,4,2,2,0,0,0,2,0,1,.297,.324,.525,.849
27,2020-09-24,4,3,0,0,0,0,0,0,1,1,.288,.321,.510,.831
28,2020-09-25,6,5,1,1,0,0,0,1,0,1,.284,.322,.495,.817
29,2020-09-26,4,4,0,0,0,0,0,0,0,3,.274,.311,.478,.789
30,2020-09-27,5,5,0,1,0,0,0,0,0,1,.271,.306,.466,.773
31,September,78,74,17,25,3,0,5,13,3,17,.338,.372,.581,.953
