,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-02,4,4,1,2,0,0,0,0,0,1,.500,.500,.500,1.000
1,2021-04-03,4,4,1,2,1,0,0,0,0,2,.500,.500,.625,1.125
2,2021-04-05,4,3,0,1,0,0,0,0,1,2,.455,.500,.545,1.045
3,2021-04-06,3,3,0,0,0,0,0,0,0,1,.357,.400,.429,.829
4,2021-04-07,4,4,0,0,0,0,0,0,0,1,.278,.316,.333,.649
5,2021-04-08,4,4,1,2,0,0,1,1,0,2,.318,.348,.500,.848
6,2021-04-10,1,1,0,0,0,0,0,0,0,0,.304,.333,.478,.812
7,2021-04-11,4,3,0,0,0,0,0,0,1,1,.269,.321,.423,.744
8,2021-04-13,3,3,0,0,0,0,0,0,0,1,.241,.290,.379,.670
9,2021-04-15,3,3,0,1,0,0,0,0,0,1,.250,.294,.375,.669
10,2021-04-16,4,4,0,0,0,0,0,0,0,0,.222,.263,.333,.596
11,2021-04-17,4,4,0,1,0,0,0,0,0,0,.225,.262,.325,.587
12,2021-04-21,3,3,0,1,0,0,0,0,0,0,.233,.267,.326,.592
13,2021-04-23,4,4,0,2,0,0,0,1,0,2,.255,.286,.340,.626
14,2021-04-24,4,4,1,1,1,0,0,0,0,3,.255,.283,.353,.636
15,2021-04-25,5,4,0,0,0,0,0,0,1,2,.236,.276,.327,.603
16,2021-04-26,4,3,1,2,0,0,0,0,1,0,.259,.306,.345,.651
17,2021-04-28,3,3,0,1,0,0,0,0,0,1,.262,.308,.344,.652
18,2021-04-29,4,4,0,1,0,0,0,0,0,0,.262,.304,.338,.643
19,April,69,65,5,17,2,0,1,2,4,20,.262,.304,.338,.643
20,2021-05-01,4,4,0,1,0,0,0,0,0,0,.261,.301,.333,.635
21,2021-05-02,4,4,1,1,1,0,0,0,0,1,.260,.299,.342,.641
22,2021-05-03,4,4,0,0,0,0,0,0,0,1,.247,.284,.325,.609
23,2021-05-05,4,4,0,0,0,0,0,0,0,0,.235,.271,.309,.579
24,2021-05-07,4,4,0,0,0,0,0,0,0,1,.224,.258,.294,.552
25,2021-05-09,4,3,0,0,0,0,0,0,1,0,.216,.258,.284,.542
26,2021-05-10,4,4,0,3,0,0,0,0,0,0,.239,.278,.304,.583
27,2021-05-11,4,1,0,1,0,0,0,0,3,0,.247,.307,.312,.619
28,2021-05-14,4,4,1,1,1,0,0,1,0,0,.247,.305,.320,.624
29,2021-05-15,4,4,0,0,0,0,0,0,0,0,.238,.294,.307,.600
30,2021-05-16,5,3,1,1,0,0,0,1,2,2,.240,.307,.308,.615
31,2021-05-19,5,5,0,2,0,0,0,1,0,1,.248,.311,.312,.623
32,2021-05-20,3,2,0,0,0,0,0,0,1,0,.243,.311,.306,.618
33,2021-05-22,5,4,0,1,0,0,0,1,1,2,.243,.315,.304,.619
34,2021-05-23,4,3,0,0,0,0,0,0,1,0,.237,.313,.297,.610
35,2021-05-25,4,3,0,1,1,0,0,1,1,1,.240,.319,.306,.624
36,2021-05-29,3,3,0,1,0,0,0,0,0,0,.242,.319,.306,.625
37,2021-05-30,3,3,0,0,0,0,0,0,0,2,.236,.312,.299,.611
38,May,72,62,3,13,3,0,0,5,10,11,.210,.319,.258,.578
39,2021-06-01,4,4,1,1,0,0,1,1,0,0,.237,.310,.321,.631
40,2021-06-04,3,3,1,1,0,0,0,0,0,2,.239,.311,.321,.632
41,2021-06-05,4,4,0,0,0,0,0,0,0,1,.232,.303,.312,.614
42,2021-06-08,5,4,2,2,0,0,0,0,1,1,.239,.312,.317,.629
43,2021-06-11,3,3,0,1,0,0,0,0,0,0,.241,.313,.317,.630
44,2021-06-14,4,3,0,0,0,0,0,0,1,1,.236,.311,.311,.622
45,2021-06-16,4,3,0,0,0,0,0,0,1,2,.232,.310,.305,.614
46,2021-06-18,4,4,1,1,0,0,0,0,0,3,.232,.308,.303,.611
47,2021-06-20,3,2,1,1,0,0,1,1,1,1,.236,.314,.325,.639
48,2021-06-21,3,3,0,0,0,0,0,0,0,1,.231,.309,.319,.628
49,2021-06-22,3,2,1,0,0,0,0,0,1,0,.228,.309,.315,.624
50,2021-06-23,1,1,0,0,0,0,0,0,0,0,.227,.308,.313,.621
51,2021-06-24,4,4,0,2,1,0,0,0,0,1,.234,.312,.323,.635
52,2021-06-25,5,5,1,0,0,0,0,0,0,1,.227,.304,.314,.618
53,2021-06-26,4,4,1,1,0,0,0,2,0,0,.227,.303,.313,.615
54,2021-06-28,5,4,1,2,1,0,0,2,1,1,.233,.310,.322,.632
55,2021-06-30,4,2,0,0,0,0,0,1,1,1,.231,.309,.319,.628
56,June,63,55,10,12,2,0,2,7,7,16,.218,.302,.364,.665
57,2021-07-02,4,3,0,1,1,0,0,1,1,1,.232,.313,.324,.637
58,2021-07-03,3,3,0,0,0,0,0,0,0,1,.229,.308,.319,.627
59,2021-07-04,1,1,0,0,0,0,0,0,0,0,.228,.307,.317,.624
60,2021-07-06,4,3,1,1,0,0,1,2,1,1,.229,.310,.333,.644
61,2021-07-09,4,4,0,0,0,0,0,0,0,2,.224,.305,.327,.631
62,2021-07-10,0,0,0,0,0,0,0,0,0,0,.224,.305,.327,.631
63,2021-07-11,4,4,1,0,0,0,0,0,0,3,.220,.299,.320,.619
64,2021-07-16,4,4,1,3,1,0,1,1,0,0,.230,.307,.348,.655
65,2021-07-17,4,3,0,1,0,0,0,1,1,0,.232,.310,.348,.658
66,2021-07-19,4,4,0,0,0,0,0,0,0,1,.227,.305,.341,.646
67,2021-07-20,4,4,0,1,0,0,0,1,0,3,.228,.304,.340,.644
