,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-05,5,4,1,1,0,0,0,0,1,2,.250,.400,.250,.650
1,2021-04-06,5,4,2,2,1,0,1,2,1,1,.375,.500,.875,1.375
2,2021-04-07,5,5,0,1,0,0,0,1,0,0,.308,.400,.615,1.015
3,2021-04-08,4,2,0,0,0,0,0,0,2,1,.267,.421,.533,.954
4,2021-04-10,4,4,0,0,0,0,0,0,0,3,.211,.348,.421,.769
5,2021-04-11,5,5,1,1,1,0,0,0,0,2,.208,.321,.417,.738
6,2021-04-13,4,4,0,1,0,0,0,1,0,2,.214,.313,.393,.705
7,2021-04-13,3,3,0,1,1,0,0,0,0,0,.226,.314,.419,.734
8,2021-04-14,4,3,0,0,0,0,0,1,0,1,.206,.282,.382,.664
9,2021-04-17,4,4,1,2,0,0,1,2,0,2,.237,.302,.474,.776
10,2021-04-17,3,3,0,0,0,0,0,0,0,3,.220,.283,.439,.722
11,2021-04-18,4,4,1,2,0,0,0,0,0,0,.244,.300,.444,.744
12,2021-04-20,4,4,0,0,0,0,0,0,0,1,.224,.278,.408,.686
13,2021-04-21,5,4,1,1,0,0,1,2,1,0,.226,.288,.453,.741
14,2021-04-22,4,4,1,1,0,0,1,2,0,1,.228,.286,.491,.777
15,2021-04-23,4,3,0,1,0,0,0,0,1,0,.233,.299,.483,.782
16,2021-04-24,4,3,0,2,0,0,0,0,0,1,.254,.324,.492,.816
17,2021-04-25,4,2,2,1,0,0,1,1,2,1,.262,.347,.538,.885
18,2021-04-27,4,4,0,0,0,0,0,0,0,4,.246,.329,.507,.836
19,2021-04-28,4,4,0,1,0,0,0,0,0,1,.247,.325,.493,.818
20,2021-04-30,4,4,1,1,0,0,0,0,0,1,.247,.322,.481,.802
21,April,87,77,11,19,3,0,5,12,8,27,.247,.322,.481,.802
22,2021-05-01,4,4,1,2,1,0,0,1,0,0,.259,.330,.494,.824
23,2021-05-02,5,5,0,1,1,0,0,3,0,1,.256,.323,.488,.811
24,2021-05-03,5,4,2,3,2,0,0,0,1,0,.278,.347,.522,.869
25,2021-05-05,3,2,0,1,0,0,0,0,1,0,.283,.356,.522,.878
26,2021-05-05,4,2,1,0,0,0,0,0,1,1,.277,.361,.511,.872
27,2021-05-06,5,4,1,1,0,0,0,1,1,1,.276,.363,.500,.863
28,2021-05-07,5,3,2,0,0,0,0,0,2,1,.267,.364,.485,.850
29,2021-05-08,4,4,0,0,0,0,0,0,0,1,.257,.352,.467,.819
30,2021-05-09,4,2,1,0,0,0,0,0,2,0,.252,.357,.458,.815
31,2021-05-11,4,4,0,1,0,0,0,0,0,0,.252,.354,.450,.804
32,2021-05-12,4,2,2,1,1,0,0,0,2,0,.257,.366,.460,.826
33,2021-05-14,4,4,0,0,0,0,0,0,0,4,.248,.355,.444,.800
34,2021-05-15,4,4,1,1,0,0,1,1,0,1,.248,.352,.463,.815
35,2021-05-16,3,3,0,0,0,0,0,0,0,0,.242,.345,.452,.796
36,2021-05-17,5,5,0,1,0,0,0,0,0,2,.240,.340,.442,.782
37,2021-05-18,4,3,0,0,0,0,0,1,0,1,.235,.331,.432,.763
38,2021-05-31,5,5,1,2,0,0,1,4,0,0,.241,.333,.453,.786
39,May,72,60,12,14,5,0,2,11,10,13,.233,.347,.417,.764
40,2021-06-01,4,3,1,1,0,0,0,0,1,0,.243,.337,.450,.787
41,2021-06-02,5,5,1,2,0,0,0,1,0,1,.248,.339,.448,.788
42,2021-06-03,1,1,0,0,0,0,0,0,0,0,.247,.337,.445,.782
43,2021-06-04,4,4,0,1,0,0,0,0,0,0,.247,.335,.440,.775
44,2021-06-05,5,5,0,1,0,0,0,0,0,2,.245,.331,.432,.764
45,2021-06-06,4,3,1,1,0,0,0,1,0,0,.247,.335,.430,.766
46,2021-06-08,4,4,2,2,0,0,2,3,0,0,.253,.339,.469,.808
47,2021-06-09,5,5,3,3,1,0,1,3,0,0,.263,.346,.497,.843
48,2021-06-11,4,3,0,0,0,0,0,0,1,1,.259,.344,.488,.832
49,2021-06-12,4,4,0,1,0,0,0,0,0,1,.259,.342,.483,.824
50,2021-06-13,4,3,0,1,0,0,0,0,0,2,.260,.345,.480,.825
51,2021-06-14,4,3,0,0,0,0,0,0,1,1,.256,.343,.472,.815
52,2021-06-15,4,3,0,1,0,0,0,3,0,0,.257,.341,.470,.811
53,2021-06-16,4,4,0,0,0,0,0,0,0,1,.251,.335,.460,.795
54,2021-06-17,4,3,0,0,0,0,0,0,1,2,.247,.333,.453,.786
55,2021-06-18,4,3,0,0,0,0,0,0,1,0,.244,.332,.446,.777
56,2021-06-19,3,3,0,1,0,0,0,0,0,0,.245,.332,.444,.776
57,2021-06-19,3,3,0,1,0,0,0,0,0,0,.246,.332,.442,.774
58,2021-06-20,4,4,1,1,0,0,1,1,0,1,.246,.330,.453,.784
59,2021-06-21,3,3,0,0,0,0,0,0,0,1,.243,.326,.447,.773
60,2021-06-21,3,3,0,2,0,0,0,0,0,1,.249,.331,.450,.780
61,2021-06-23,5,4,0,1,0,0,0,0,1,1,.249,.332,.446,.778
62,2021-06-25,4,2,0,1,1,0,0,0,2,1,.251,.339,.451,.790
63,2021-06-25,4,4,0,2,0,0,0,0,0,0,.256,.341,.452,.793
64,2021-06-26,4,4,0,0,0,0,0,0,0,0,.251,.336,.444,.780
65,2021-06-27,4,4,0,3,0,0,0,1,0,0,.260,.342,.449,.792
66,2021-06-28,4,3,1,2,0,0,1,2,0,1,.265,.348,.465,.814
67,2021-06-29,4,4,0,0,0,0,0,0,0,0,.261,.343,.457,.800
68,2021-06-30,3,2,1,1,0,0,1,2,1,1,.263,.347,.470,.817
69,June,112,99,11,29,2,0,6,17,9,18,.293,.366,.495,.861
70,2021-07-01,4,4,0,0,0,0,0,0,0,0,.258,.342,.463,.804
71,2021-07-03,5,4,0,0,0,0,0,0,1,3,.254,.339,.455,.794
72,2021-07-04,5,5,1,1,0,0,1,1,0,2,.253,.337,.462,.799
73,2021-07-04,3,3,1,1,0,0,1,2,0,0,.254,.337,.472,.809
74,2021-07-05,4,4,1,1,1,0,0,2,0,1,.254,.336,.473,.808
75,2021-07-07,3,3,0,2,1,0,0,0,0,0,.259,.339,.479,.818
76,2021-07-07,3,3,0,0,0,0,0,0,0,1,.256,.336,.473,.809
77,2021-07-09,4,4,1,1,0,0,1,3,0,0,.256,.334,.481,.816
78,2021-07-10,3,3,0,0,0,0,0,0,0,1,.253,.331,.476,.807
79,2021-07-10,4,4,1,1,0,0,1,1,0,1,.253,.330,.484,.814
80,2021-07-11,4,4,0,0,0,0,0,0,0,0,.249,.326,.477,.802
81,2021-07-16,4,1,1,1,1,0,0,0,3,0,.252,.334,.482,.816
82,2021-07-17,5,5,1,1,0,0,0,0,0,0,.251,.332,.477,.809
83,2021-07-18,5,5,0,2,0,0,0,0,0,1,.253,.333,.476,.809
84,2021-07-19,6,6,1,2,0,0,1,3,0,3,.255,.333,.483,.816
85,2021-07-20,5,5,1,2,0,0,1,1,0,1,.258,.334,.492,.826
86,2021-07-21,5,4,1,1,0,0,0,0,1,0,.257,.335,.488,.824
87,2021-07-23,4,4,2,2,0,0,2,3,0,0,.261,.337,.508,.845
88,2021-07-24,5,4,0,2,0,0,0,1,1,1,.264,.341,.508,.849
89,2021-07-25,4,4,1,1,0,0,1,2,0,1,.263,.340,.514,.854
90,2021-07-26,3,3,0,0,0,0,0,0,0,1,.261,.337,.509,.846
91,2021-07-26,3,3,0,0,0,0,0,0,0,1,.259,.334,.505,.839
92,2021-07-27,5,5,0,2,1,0,0,1,0,0,.261,.335,.506,.841
93,2021-07-28,4,3,0,1,0,0,0,0,1,1,.261,.337,.505,.842
94,2021-07-29,4,4,1,1,0,0,1,2,0,1,.261,.336,.511,.846
95,2021-07-30,4,3,0,0,0,0,0,0,1,0,.259,.335,.506,.841
96,2021-07-31,4,4,1,1,0,0,0,0,0,0,.259,.334,.503,.837
97,July,112,104,15,26,4,0,10,22,8,20,.250,.304,.577,.880
98,2021-08-01,4,4,0,0,0,0,0,0,0,0,.256,.331,.497,.828
99,2021-08-02,5,5,1,2,0,0,1,1,0,1,.258,.332,.504,.836
100,2021-08-03,4,3,1,0,0,0,0,0,1,0,.256,.331,.500,.831
101,2021-08-04,5,3,0,0,0,0,0,0,2,1,.254,.332,.496,.827
102,2021-08-05,5,2,1,1,0,0,0,0,3,0,.255,.337,.496,.833
103,2021-08-06,4,3,0,0,0,0,0,0,1,0,.253,.337,.492,.828
104,2021-08-07,5,4,0,0,0,0,0,0,1,3,.250,.335,.486,.821
105,2021-08-08,4,4,0,0,0,0,0,0,0,2,.247,.332,.481,.813
106,2021-08-10,5,5,2,3,2,0,0,1,0,0,.252,.335,.488,.823
107,2021-08-12,4,3,0,0,0,0,0,0,0,1,.250,.334,.484,.818
108,2021-08-12,4,4,1,3,1,0,1,1,0,1,.255,.338,.497,.835
109,2021-08-13,5,4,2,1,0,0,0,0,1,2,.255,.339,.495,.834
110,2021-08-14,4,4,0,0,0,0,0,0,0,1,.253,.336,.490,.825
111,2021-08-15,5,5,0,1,1,0,0,0,0,1,.252,.334,.489,.823
112,2021-08-16,5,4,1,1,0,1,0,2,0,1,.252,.335,.491,.826
113,2021-08-17,4,4,1,1,0,0,1,2,0,1,.252,.334,.496,.830
114,2021-08-18,4,3,1,1,0,0,0,0,0,0,.252,.336,.495,.831
115,2021-08-19,4,4,1,2,0,0,0,0,0,0,.255,.337,.495,.832
116,2021-08-20,4,4,1,2,0,0,1,2,0,0,.257,.338,.502,.841
117,2021-08-21,5,4,1,1,0,0,1,2,0,2,.257,.339,.507,.846
118,2021-08-22,5,4,1,1,0,0,0,0,0,3,.257,.340,.505,.844
119,2021-08-24,4,4,0,2,0,0,0,0,0,1,.259,.341,.505,.846
120,2021-08-25,5,5,0,1,0,0,0,0,0,0,.259,.340,.501,.841
121,2021-08-26,4,4,1,2,0,0,1,2,0,1,.261,.341,.508,.849
122,2021-08-27,4,3,0,0,0,0,0,0,1,1,.259,.340,.505,.845
123,2021-08-28,4,4,0,0,0,0,0,0,0,2,.257,.337,.500,.837
124,2021-08-29,5,4,0,3,0,0,0,1,1,0,.261,.342,.502,.844
125,2021-08-31,3,3,0,0,0,0,0,0,0,1,.260,.340,.499,.839
126,August,123,107,16,28,4,1,6,14,11,26,.262,.358,.486,.844
127,2021-09-02,4,4,0,1,1,0,0,0,0,1,.259,.339,.499,.838
128,2021-09-03,5,5,1,2,0,1,0,2,0,1,.261,.340,.502,.842
129,2021-09-04,5,3,0,1,0,0,0,1,1,0,.261,.340,.501,.842
130,2021-09-04,4,3,0,1,1,0,0,0,1,1,.262,.342,.502,.844
131,2021-09-05,5,5,2,3,2,0,0,0,0,0,.266,.344,.507,.852
132,2021-09-06,4,4,1,2,0,0,1,2,0,0,.268,.345,.514,.859
133,2021-09-07,5,4,2,2,0,0,2,3,1,0,.269,.348,.526,.874
134,2021-09-08,4,4,0,1,1,0,0,0,0,2,.269,.347,.526,.873
135,2021-09-09,4,4,0,1,0,1,0,0,0,1,.269,.346,.528,.874
136,2021-09-10,5,4,1,0,0,0,0,1,1,1,.267,.345,.524,.868
137,2021-09-11,5,5,0,0,0,0,0,0,0,2,.264,.342,.518,.860
138,2021-09-12,5,4,0,0,0,0,0,0,1,0,.262,.340,.514,.855
139,2021-09-13,4,3,0,0,0,0,0,0,1,2,.261,.340,.511,.851
140,2021-09-14,5,5,1,1,1,0,0,1,0,1,.260,.339,.510,.848
141,2021-09-15,5,5,1,1,0,0,1,1,0,2,.259,.337,.513,.850
142,2021-09-17,4,3,0,1,0,0,0,0,0,0,.260,.339,.512,.850
143,2021-09-18,4,3,0,2,0,0,0,0,1,0,.262,.341,.513,.854
144,2021-09-19,4,3,0,0,0,0,0,0,1,1,.261,.341,.510,.850
145,2021-09-21,4,3,1,1,0,0,1,1,1,1,.261,.342,.514,.856
146,2021-09-22,5,5,1,1,0,0,1,1,0,2,.260,.341,.517,.858
147,2021-09-24,4,4,0,0,0,0,0,0,0,1,.258,.338,.513,.852
148,2021-09-25,4,3,0,0,0,0,0,0,1,0,.257,.338,.510,.848
149,2021-09-26,4,2,2,1,1,0,0,0,1,1,.258,.340,.512,.853
150,2021-09-28,4,4,0,2,0,0,0,0,0,1,.260,.342,.512,.854
151,2021-09-28,4,4,0,0,0,0,0,0,0,0,.258,.339,.508,.848
152,2021-09-29,4,4,0,1,0,0,0,0,0,1,.258,.339,.506,.845
153,2021-09-30,5,5,2,2,0,0,2,3,0,1,.259,.339,.516,.856
154,September,119,105,15,27,7,2,8,16,11,23,.257,.336,.590,.927
155,2021-10-01,4,4,1,3,1,0,0,1,0,0,.263,.342,.520,.862
156,2021-10-02,5,3,0,1,1,0,0,1,2,0,.263,.344,.521,.864
157,2021-10-03,3,2,0,0,0,0,0,0,1,0,.262,.344,.519,.862
158,October,12,9,1,4,2,0,0,2,3,0,.444,.583,.667,1.250
