,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,5,3,3,2,1,0,1,2,1,1,.667,.800,2.000,2.800
1,2020-07-25,4,4,0,2,0,0,0,0,0,0,.571,.667,1.143,1.810
2,2020-07-26,4,3,1,1,0,0,0,0,1,0,.500,.615,.900,1.515
3,2020-07-27,4,2,0,0,0,0,0,1,1,0,.417,.529,.750,1.279
4,2020-07-28,5,5,2,2,0,0,0,0,0,1,.412,.500,.647,1.147
5,2020-07-29,4,3,0,0,0,0,0,0,1,3,.350,.462,.550,1.012
6,2020-07-31,4,3,0,1,1,0,0,1,0,1,.348,.433,.565,.999
7,July,30,23,6,8,2,0,1,4,4,6,.348,.433,.565,.999
8,2020-08-01,4,4,0,0,0,0,0,0,0,2,.296,.382,.481,.864
9,2020-08-02,4,4,1,1,0,0,1,3,0,2,.290,.368,.548,.917
10,2020-08-03,5,3,1,2,0,0,0,2,1,1,.324,.419,.559,.977
11,2020-08-04,4,4,0,0,0,0,0,0,0,1,.289,.383,.500,.883
12,2020-08-05,4,3,1,1,0,0,1,1,1,1,.293,.392,.561,.953
13,2020-08-06,4,3,1,1,0,0,0,0,1,2,.295,.400,.545,.946
14,2020-08-07,6,4,0,1,0,1,0,0,1,1,.292,.410,.563,.972
15,2020-08-08,4,4,0,1,0,0,0,0,0,3,.288,.400,.538,.938
16,2020-08-09,4,2,0,0,0,0,0,0,0,1,.278,.406,.519,.924
17,2020-08-10,5,3,1,0,0,0,0,0,2,1,.263,.405,.491,.897
18,2020-08-11,4,3,0,1,0,0,0,0,0,2,.267,.410,.483,.894
19,2020-08-12,5,5,0,1,0,0,0,2,0,3,.262,.398,.462,.859
20,2020-08-18,4,2,0,0,0,0,0,0,2,1,.254,.402,.448,.850
21,2020-08-19,4,4,0,0,0,0,0,0,0,3,.239,.385,.423,.807
22,2020-08-20,4,4,1,1,0,0,0,0,0,2,.240,.379,.413,.792
23,2020-08-21,4,4,0,0,0,0,0,0,0,0,.228,.364,.392,.756
24,2020-08-22,4,4,1,1,0,0,0,0,0,0,.229,.359,.386,.745
25,2020-08-23,5,3,0,1,0,0,0,0,1,0,.233,.370,.384,.754
26,2020-08-24,5,3,1,0,0,0,0,0,1,1,.225,.372,.371,.742
27,2020-08-25,4,4,0,0,0,0,0,0,0,2,.215,.359,.355,.714
28,2020-08-26,5,3,1,0,0,0,0,0,2,1,.208,.361,.344,.704
29,2020-08-29,3,3,0,2,1,0,0,0,0,1,.222,.368,.364,.732
30,2020-08-29,3,3,1,2,1,0,1,1,0,0,.235,.375,.412,.787
31,August,98,79,10,16,2,1,3,9,12,31,.203,.357,.367,.724
32,2020-09-04,4,3,0,0,0,0,0,0,1,0,.229,.371,.400,.771
33,2020-09-05,5,5,1,1,0,0,1,2,0,2,.227,.365,.418,.783
34,2020-09-06,4,3,0,0,0,0,0,0,1,0,.221,.362,.407,.769
35,2020-09-07,5,3,0,0,0,0,0,1,0,0,.216,.356,.397,.753
36,2020-09-08,4,4,1,2,1,0,0,1,0,1,.225,.360,.408,.768
37,2020-09-08,4,4,1,2,0,0,0,0,0,0,.234,.364,.411,.775
38,2020-09-09,5,5,0,1,0,0,0,1,0,1,.233,.358,.403,.762
39,2020-09-10,4,3,1,0,0,0,0,0,1,1,.227,.356,.394,.750
40,2020-09-11,5,3,1,0,0,0,0,0,2,1,.222,.357,.385,.742
41,2020-09-12,3,3,0,0,0,0,0,0,0,1,.217,.351,.377,.728
42,2020-09-12,4,4,1,1,0,0,0,1,0,1,.218,.349,.373,.722
43,2020-09-13,4,3,0,0,0,0,0,0,1,2,.214,.346,.366,.712
44,2020-09-14,3,2,0,0,0,0,0,0,0,0,.211,.346,.361,.707
45,2020-09-14,4,4,1,2,1,0,0,2,0,0,.219,.349,.371,.720
46,2020-09-15,3,3,0,2,0,0,0,0,0,1,.227,.354,.377,.731
47,2020-09-16,4,3,0,0,0,0,0,0,1,1,.223,.352,.369,.722
48,2020-09-18,4,3,1,0,0,0,0,0,0,0,.219,.350,.363,.713
49,2020-09-19,3,3,1,0,0,0,0,0,0,1,.215,.345,.356,.701
50,2020-09-20,4,3,0,0,0,0,0,0,0,1,.211,.343,.349,.692
51,2020-09-23,4,4,1,2,0,0,1,3,0,1,.218,.346,.371,.717
52,2020-09-24,3,2,0,0,0,0,0,0,1,1,.215,.346,.366,.712
53,2020-09-25,5,5,1,2,2,0,0,1,0,1,.220,.347,.379,.726
54,2020-09-26,4,4,0,0,0,0,0,0,0,2,.215,.341,.370,.711
55,2020-09-27,2,2,0,0,0,0,0,0,0,2,.213,.338,.366,.704
56,September,94,81,11,15,4,0,2,12,8,21,.185,.287,.309,.596
