,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-06-08,4,4,1,1,1,0,0,0,0,0,.250,.250,.500,.750
1,2021-06-09,5,5,1,1,0,0,0,0,0,1,.222,.222,.333,.556
2,2021-06-11,3,3,0,0,0,0,0,0,0,1,.167,.167,.250,.417
3,2021-06-13,5,4,1,0,0,0,0,0,1,1,.125,.176,.188,.364
4,2021-06-14,4,4,0,1,0,0,0,0,0,2,.150,.190,.200,.390
5,2021-06-15,4,4,2,2,0,1,0,3,0,2,.208,.240,.333,.573
6,2021-06-16,3,3,0,1,0,0,0,1,0,0,.222,.250,.333,.583
7,2021-06-17,4,4,1,2,2,0,0,1,0,1,.258,.281,.419,.701
8,2021-06-18,4,3,0,1,0,0,0,1,1,1,.265,.306,.412,.717
9,2021-06-19,3,3,0,0,0,0,0,0,0,1,.243,.282,.378,.660
10,2021-06-20,4,4,1,1,0,0,1,4,0,1,.244,.279,.439,.718
11,2021-06-22,3,3,1,1,0,0,1,1,0,1,.250,.283,.500,.783
12,2021-06-23,3,3,0,0,0,0,0,0,0,1,.234,.265,.468,.733
13,2021-06-26,3,3,0,0,0,0,0,0,0,1,.220,.250,.440,.690
14,2021-06-27,1,1,0,0,0,0,0,0,0,1,.216,.245,.431,.677
15,2021-06-29,4,4,0,0,0,0,0,0,0,2,.200,.228,.400,.628
16,2021-06-30,1,1,1,1,0,0,0,0,0,0,.214,.241,.411,.652
17,June,58,56,9,12,3,1,2,11,2,17,.214,.241,.411,.652
18,2021-07-01,5,5,1,1,0,0,1,2,0,2,.213,.238,.443,.681
19,2021-07-02,5,3,0,0,0,0,0,0,1,1,.203,.239,.422,.661
20,2021-07-04,3,3,1,1,0,0,1,1,0,1,.209,.243,.463,.706
21,2021-07-06,4,3,0,1,0,0,0,0,1,2,.214,.257,.457,.714
22,2021-07-07,4,4,0,0,0,0,0,0,0,1,.203,.244,.432,.676
23,2021-07-09,4,3,1,1,1,0,0,2,1,1,.208,.256,.442,.698
24,2021-07-10,4,4,0,0,0,0,0,0,0,0,.198,.244,.420,.664
25,2021-07-11,4,4,0,0,0,0,0,0,0,0,.188,.233,.400,.633
26,2021-07-16,4,4,0,1,0,0,0,0,0,1,.191,.234,.393,.627
27,2021-07-17,4,4,0,1,0,0,0,0,0,2,.194,.235,.387,.622
28,2021-07-20,4,2,0,0,0,0,0,0,2,1,.189,.245,.379,.624
29,2021-07-22,3,3,0,0,0,0,0,0,0,2,.184,.238,.367,.605
30,2021-07-23,3,2,0,0,0,0,0,0,1,2,.180,.241,.360,.601
31,2021-07-24,1,1,0,0,0,0,0,0,0,1,.178,.239,.356,.595
32,2021-07-26,3,3,1,2,0,0,0,1,0,1,.192,.250,.365,.615
33,2021-07-27,4,3,0,0,0,0,0,0,1,3,.187,.250,.355,.605
34,2021-07-28,4,4,0,2,0,0,0,0,0,1,.198,.258,.360,.619
35,July,63,55,4,10,1,0,2,6,7,22,.182,.274,.309,.583
