,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-02,1,1,0,0,0,0,0,1,0,0,.000,.000,.000,.000
1,2021-04-03,4,3,0,0,0,0,0,0,0,2,.000,.200,.000,.200
2,2021-04-04,4,4,0,0,0,0,0,0,0,2,.000,.111,.000,.111
3,2021-04-05,1,1,1,1,0,0,0,0,0,0,.111,.200,.111,.311
4,2021-04-06,4,3,0,1,1,0,0,0,1,0,.167,.286,.250,.536
5,2021-04-07,3,2,0,1,0,0,0,0,1,1,.214,.353,.286,.639
6,2021-04-08,2,2,1,1,1,0,0,1,0,0,.250,.368,.375,.743
7,2021-04-09,4,3,0,0,0,0,0,0,1,1,.211,.348,.316,.664
8,2021-04-12,5,5,1,1,1,0,0,0,0,3,.208,.321,.333,.655
9,2021-04-13,4,4,1,2,0,0,1,1,0,1,.250,.344,.464,.808
10,2021-04-15,4,4,1,1,0,0,1,1,0,1,.250,.333,.531,.865
11,2021-04-20,3,2,0,0,0,0,0,0,1,0,.235,.333,.500,.833
12,2021-04-21,2,2,0,0,0,0,0,0,0,0,.222,.317,.472,.789
13,2021-04-23,4,4,0,2,0,0,0,1,0,0,.250,.333,.475,.808
14,2021-04-24,5,5,0,0,0,0,0,0,0,4,.222,.300,.422,.722
15,2021-04-25,2,2,0,1,0,0,0,0,0,0,.234,.308,.426,.733
16,2021-04-26,3,3,0,0,0,0,0,0,0,2,.220,.291,.400,.691
17,2021-04-27,2,2,0,1,0,0,0,0,0,0,.231,.298,.404,.702
18,2021-04-29,2,2,0,0,0,0,0,0,0,0,.222,.288,.389,.677
19,2021-04-30,3,3,0,0,0,0,0,0,0,2,.211,.274,.368,.643
20,April,62,57,5,12,3,0,2,5,4,19,.211,.274,.368,.643
21,2021-05-01,1,1,0,0,0,0,0,0,0,0,.207,.270,.362,.632
22,2021-05-02,2,2,0,0,0,0,0,0,0,0,.200,.262,.350,.612
23,2021-05-03,4,3,1,2,0,0,1,2,1,0,.222,.290,.413,.703
24,2021-05-04,3,3,0,0,0,0,0,0,0,1,.212,.278,.394,.672
25,2021-05-05,2,2,0,1,0,0,0,0,0,1,.221,.284,.397,.681
26,2021-05-06,4,2,0,0,0,0,0,0,2,0,.214,.295,.386,.681
27,2021-05-07,2,2,0,0,0,0,0,0,0,1,.208,.288,.375,.662
28,2021-05-09,4,4,1,1,0,0,0,1,0,1,.211,.286,.368,.654
29,2021-05-12,4,3,1,1,0,0,0,0,1,1,.215,.295,.367,.662
30,2021-05-14,4,4,1,1,0,0,1,2,0,0,.217,.293,.398,.691
31,2021-05-15,4,4,0,1,1,0,0,0,0,2,.218,.292,.402,.694
32,2021-05-16,1,1,0,0,0,0,0,0,0,1,.216,.289,.398,.686
33,2021-05-19,3,3,0,0,0,0,0,0,0,1,.209,.280,.385,.665
34,2021-05-21,4,3,0,0,0,0,0,0,1,0,.202,.279,.372,.651
35,2021-05-22,2,2,0,0,0,0,0,0,0,1,.198,.274,.365,.638
36,2021-05-23,1,0,0,0,0,0,0,0,1,0,.198,.280,.365,.645
37,2021-05-24,2,2,0,0,0,0,0,0,0,0,.194,.275,.357,.632
38,2021-05-26,4,4,0,0,0,0,0,0,0,0,.186,.265,.343,.609
39,2021-05-27,2,2,0,2,0,0,0,0,0,0,.202,.278,.356,.634
40,2021-05-28,0,0,0,0,0,0,0,0,0,0,.202,.278,.356,.634
41,2021-05-29,1,1,0,0,0,0,0,0,0,0,.200,.276,.352,.628
42,2021-05-30,4,3,0,1,1,0,0,0,1,0,.204,.283,.361,.644
43,2021-05-31,1,1,0,0,0,0,0,0,0,0,.202,.281,.358,.639
44,May,59,52,4,10,2,0,2,5,7,10,.192,.288,.346,.634
45,2021-06-01,5,5,2,3,1,0,0,1,0,0,.219,.294,.377,.671
46,2021-06-02,3,3,0,0,0,0,0,0,0,2,.214,.287,.368,.654
47,2021-06-05,3,3,0,1,0,0,0,0,0,0,.217,.288,.367,.654
48,2021-06-10,3,3,0,1,0,0,0,0,0,1,.220,.289,.366,.655
49,2021-06-13,4,4,0,1,0,0,0,0,0,0,.220,.288,.362,.650
50,2021-06-14,0,0,0,0,0,0,0,0,0,0,.220,.288,.362,.650
51,2021-06-15,2,2,0,0,0,0,0,0,0,1,.217,.284,.357,.640
52,June,20,20,2,6,1,0,0,1,0,4,.300,.300,.350,.650
53,2021-07-06,2,2,1,1,1,0,0,0,0,1,.221,.287,.366,.653
54,2021-07-07,4,3,0,0,0,0,0,0,1,2,.216,.286,.358,.644
55,2021-07-08,4,4,0,0,0,0,0,0,0,2,.210,.278,.348,.626
56,2021-07-09,4,4,0,0,0,0,0,0,0,2,.204,.271,.338,.609
57,2021-07-10,2,2,1,1,0,0,1,2,0,0,.208,.274,.361,.635
58,2021-07-11,3,3,0,0,0,0,0,0,0,0,.204,.269,.354,.622
59,2021-07-16,3,3,0,0,0,0,0,0,0,2,.200,.264,.347,.610
60,2021-07-19,0,0,0,0,0,0,0,0,0,0,.200,.264,.347,.610
61,2021-07-20,3,3,0,0,0,0,0,0,0,2,.196,.259,.340,.599
62,2021-07-22,1,1,0,0,0,0,0,0,0,0,.195,.257,.338,.595
63,2021-07-23,2,2,0,1,0,0,0,0,0,1,.199,.260,.340,.600
64,2021-07-25,2,2,0,1,1,0,0,1,0,0,.203,.263,.348,.611
65,2021-07-27,1,1,0,0,0,0,0,0,0,0,.201,.262,.346,.608
66,2021-07-28,5,5,1,2,0,0,0,0,0,2,.207,.266,.348,.613
67,July,36,35,3,6,2,0,1,3,1,14,.171,.194,.314,.509
68,2021-08-07,0,0,0,0,0,0,0,0,0,0,.207,.266,.348,.613
69,2021-08-08,1,1,0,0,0,0,0,0,0,0,.206,.264,.345,.610
70,2021-08-10,0,0,0,0,0,0,0,0,0,0,.206,.264,.345,.610
71,2021-08-12,2,1,0,1,0,0,0,2,0,0,.211,.272,.349,.622
