,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-07,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021-04-11,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2021-04-13,3,2,1,1,0,1,0,0,0,1,.333,.500,1.000,1.500
3,2021-04-17,0,0,0,0,0,0,0,0,0,0,.333,.500,1.000,1.500
4,2021-04-17,2,2,0,0,0,0,0,0,0,0,.200,.333,.600,.933
5,2021-04-21,1,1,0,0,0,0,0,0,0,0,.167,.286,.500,.786
6,2021-04-23,4,4,0,0,0,0,0,0,0,0,.100,.182,.300,.482
7,April,11,10,1,1,0,1,0,0,0,1,.100,.182,.300,.482
8,2021-05-03,4,3,0,1,0,0,0,1,0,1,.154,.267,.308,.574
9,2021-05-05,3,3,1,2,0,0,1,2,0,0,.250,.333,.563,.896
10,2021-05-07,3,2,1,1,0,0,0,0,1,0,.278,.381,.556,.936
11,2021-05-11,1,0,1,0,0,0,0,0,1,0,.278,.409,.556,.965
12,2021-05-12,4,4,0,0,0,0,0,0,0,1,.227,.346,.455,.801
13,2021-05-15,4,4,0,0,0,0,0,0,0,1,.192,.300,.385,.685
14,2021-05-17,4,4,2,3,1,0,0,0,0,0,.267,.353,.467,.820
15,2021-05-18,4,4,1,1,0,0,1,1,0,1,.265,.342,.529,.872
16,2021-05-19,1,1,0,1,0,0,0,2,0,0,.286,.359,.543,.902
17,2021-05-21,4,4,0,1,1,0,0,1,0,0,.282,.349,.538,.887
18,2021-05-22,4,4,0,1,0,0,0,0,0,2,.279,.340,.512,.852
19,2021-05-24,3,3,0,0,0,0,0,0,0,1,.261,.320,.478,.798
20,2021-05-25,4,4,1,1,0,0,1,2,0,1,.260,.315,.520,.835
21,2021-05-27,2,2,0,1,0,0,0,0,0,1,.269,.321,.519,.841
22,2021-05-29,5,5,1,1,0,0,0,2,0,2,.263,.311,.491,.803
23,May,50,47,8,14,2,0,3,11,2,11,.298,.340,.532,.872
24,2021-06-01,4,4,0,0,0,0,0,0,0,1,.246,.292,.459,.751
25,2021-06-03,1,1,0,1,0,0,0,0,0,0,.258,.303,.468,.771
26,2021-06-05,5,4,0,1,0,0,0,0,1,3,.258,.310,.455,.764
27,2021-06-08,3,3,0,0,0,0,0,0,0,1,.246,.297,.435,.732
28,2021-06-13,4,4,0,1,0,0,0,0,0,3,.247,.295,.425,.720
29,2021-06-16,4,4,1,1,0,0,0,0,0,1,.247,.293,.416,.708
30,2021-06-18,3,3,0,0,0,0,0,0,0,2,.238,.282,.400,.682
31,2021-06-19,3,3,0,0,0,0,0,0,0,1,.229,.273,.386,.658
32,2021-06-19,1,1,1,1,0,0,0,0,0,0,.238,.281,.393,.674
33,2021-06-21,2,0,1,0,0,0,0,0,1,0,.238,.297,.393,.690
34,June,30,27,3,5,0,0,0,0,2,12,.185,.267,.185,.452
35,2021-07-04,3,3,0,1,0,0,0,1,0,1,.241,.298,.391,.689
36,2021-07-07,2,2,0,1,0,0,0,0,0,0,.247,.302,.393,.695
37,2021-07-10,2,2,0,1,0,0,0,0,0,0,.253,.306,.396,.702
38,2021-07-11,0,0,0,0,0,0,0,0,0,0,.253,.306,.396,.702
39,2021-07-18,5,5,1,2,0,0,0,0,0,1,.260,.311,.396,.706
40,2021-07-19,3,3,1,1,1,0,0,0,0,0,.263,.311,.404,.715
41,2021-07-21,5,5,1,1,1,0,0,0,0,1,.260,.306,.404,.710
42,2021-07-25,2,2,0,0,0,0,0,0,0,1,.255,.301,.396,.697
43,2021-07-26,3,3,0,1,0,0,0,0,0,0,.257,.302,.394,.696
44,2021-07-27,4,4,0,0,0,0,0,0,0,2,.248,.292,.381,.672
45,2021-07-29,1,1,0,0,0,0,0,0,0,0,.246,.289,.377,.666
46,2021-07-30,3,3,0,1,0,0,0,0,0,1,.248,.290,.376,.666
47,2021-07-31,0,0,0,0,0,0,0,0,0,0,.248,.290,.376,.666
48,July,33,33,3,9,2,0,0,1,0,7,.273,.273,.333,.606
49,2021-08-01,3,3,0,0,0,0,0,0,0,0,.242,.283,.367,.650
50,2021-08-02,0,0,0,0,0,0,0,0,0,0,.242,.283,.367,.650
51,2021-08-04,5,5,0,1,0,0,0,1,0,2,.240,.280,.360,.640
52,2021-08-06,3,2,0,0,0,0,0,0,1,0,.236,.281,.354,.636
53,2021-08-12,3,3,0,1,0,0,0,0,0,0,.238,.283,.354,.636
54,2021-08-13,1,1,0,0,0,0,0,0,0,0,.237,.281,.351,.632
55,2021-08-14,3,3,0,0,0,0,0,0,0,2,.231,.275,.343,.618
56,2021-08-27,2,2,0,1,0,0,0,0,0,1,.235,.278,.346,.623
57,August,20,19,0,3,0,0,0,1,1,5,.158,.200,.158,.358
58,2021-09-14,3,3,0,0,0,0,0,0,0,0,.230,.272,.338,.610
59,2021-09-19,3,3,1,1,1,0,0,0,0,2,.232,.273,.345,.618
60,2021-09-21,4,4,0,1,0,0,0,0,0,1,.233,.273,.342,.615
61,2021-09-26,4,4,0,0,0,0,0,0,0,2,.227,.266,.333,.599
62,2021-09-28,3,3,0,0,0,0,0,0,0,3,.222,.261,.327,.588
63,September,17,17,1,2,1,0,0,0,0,8,.118,.118,.176,.294
