,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,4,4,0,1,0,0,0,0,0,2,.250,.250,.250,.500
1,March,4,4,0,1,0,0,0,0,0,2,.250,.250,.250,.500
2,2018-04-01,4,4,0,0,0,0,0,0,0,1,.125,.125,.125,.250
3,2018-04-02,2,2,1,1,0,0,1,2,0,1,.200,.200,.500,.700
4,2018-04-03,3,2,0,0,0,0,0,0,1,1,.167,.231,.417,.647
5,2018-04-04,1,0,0,0,0,0,0,0,1,0,.167,.286,.417,.702
6,2018-04-08,2,2,0,1,0,0,0,0,0,0,.214,.313,.429,.741
7,2018-04-11,3,3,0,1,0,0,0,1,0,0,.235,.316,.412,.728
8,2018-04-12,4,4,2,1,0,0,0,0,0,1,.238,.304,.381,.685
9,2018-04-13,4,4,0,2,0,0,0,1,0,0,.280,.333,.400,.733
10,2018-04-17,2,2,0,0,0,0,0,0,0,2,.259,.310,.370,.681
11,2018-04-18,3,3,0,1,0,0,0,0,0,1,.267,.313,.367,.679
12,2018-04-20,2,2,0,2,0,0,0,0,0,0,.313,.353,.406,.759
13,2018-04-21,4,4,0,0,0,0,0,0,0,1,.278,.316,.361,.677
14,2018-04-22,5,5,0,1,0,0,0,0,0,1,.268,.302,.341,.644
15,2018-04-24,3,2,0,1,0,0,0,0,1,0,.279,.326,.349,.675
16,2018-04-25,0,0,0,0,0,0,0,0,0,0,.279,.326,.349,.675
17,2018-04-26,1,1,0,0,0,0,0,0,0,1,.273,.319,.341,.660
18,2018-04-27,4,4,0,2,1,0,0,0,0,1,.292,.333,.375,.708
19,2018-04-28,2,2,0,1,0,0,0,1,0,0,.300,.340,.380,.720
20,2018-04-29,1,1,0,0,0,0,0,0,0,1,.294,.333,.373,.706
21,2018-04-30,0,0,0,0,0,0,0,0,0,0,.294,.333,.373,.706
22,April,50,47,3,14,1,0,1,5,3,12,.298,.340,.383,.723
23,2018-05-01,4,3,1,1,0,0,0,0,0,0,.296,.345,.370,.715
24,2018-05-02,0,0,0,0,0,0,0,0,0,0,.296,.345,.370,.715
25,2018-05-03,2,2,0,1,0,0,0,0,0,1,.304,.350,.375,.725
26,2018-05-03,5,5,2,2,1,0,0,0,0,2,.311,.354,.393,.747
27,2018-05-04,1,1,0,1,0,0,0,0,0,0,.323,.364,.403,.767
28,2018-05-05,4,4,0,1,0,0,0,0,0,1,.318,.357,.394,.751
29,2018-05-06,3,3,1,1,0,0,0,1,0,1,.319,.356,.391,.748
30,2018-05-09,4,4,1,2,0,0,1,3,0,2,.329,.364,.438,.802
31,2018-05-11,2,2,1,1,1,0,0,2,0,0,.333,.367,.453,.820
32,May,25,24,6,10,2,0,1,6,0,7,.417,.440,.625,1.065
33,2018-06-15,3,3,0,1,0,0,0,0,0,0,.333,.366,.449,.815
34,2018-06-16,4,3,0,1,1,0,0,1,0,0,.333,.360,.457,.817
35,2018-06-17,3,3,0,1,0,0,0,1,0,1,.333,.360,.452,.812
36,2018-06-20,5,5,0,0,0,0,0,1,0,2,.315,.340,.427,.767
37,2018-06-22,4,4,2,1,0,0,0,0,0,1,.312,.337,.419,.756
38,2018-06-23,2,2,0,0,0,0,0,0,0,1,.305,.330,.411,.740
39,2018-06-24,2,2,0,0,0,0,0,0,0,1,.299,.324,.402,.726
40,2018-06-25,4,4,0,0,0,0,0,0,0,1,.287,.311,.386,.698
41,2018-06-26,3,3,0,0,0,0,0,0,0,1,.279,.303,.375,.678
42,2018-06-27,4,3,0,2,1,0,0,1,1,0,.290,.319,.393,.711
43,2018-06-29,2,2,0,0,0,0,0,0,0,0,.284,.313,.385,.698
44,2018-06-30,3,3,0,0,0,0,0,0,0,2,.277,.305,.375,.680
45,June,39,37,2,6,2,0,0,4,1,10,.162,.179,.216,.396
46,2018-07-01,2,2,1,1,0,0,0,1,0,0,.281,.308,.377,.686
47,2018-07-02,4,3,2,1,0,0,0,0,0,0,.282,.315,.376,.691
48,2018-07-03,1,1,0,0,0,0,0,0,0,1,.280,.312,.373,.685
49,2018-07-04,4,3,0,0,0,0,0,0,1,0,.273,.310,.364,.674
50,2018-07-06,4,4,0,0,0,0,0,0,0,0,.264,.301,.352,.653
51,2018-07-07,4,4,1,1,0,0,0,0,0,2,.264,.299,.349,.648
52,2018-07-08,2,2,0,0,0,0,0,0,0,2,.260,.295,.344,.638
53,2018-07-09,4,4,0,1,0,0,0,0,0,0,.259,.294,.341,.634
54,2018-07-10,4,4,1,2,1,0,0,0,0,0,.266,.299,.353,.652
55,2018-07-11,5,4,2,3,1,0,0,3,1,0,.280,.316,.371,.686
56,2018-07-12,3,3,0,0,0,0,0,0,0,1,.274,.310,.363,.673
57,2018-07-13,3,3,1,1,0,0,0,0,0,1,.275,.310,.362,.672
58,2018-07-15,4,4,0,1,0,0,0,0,0,1,.275,.309,.359,.668
59,2018-07-20,3,3,0,0,0,0,0,1,0,1,.269,.303,.353,.656
60,2018-07-21,5,5,2,2,0,0,1,3,0,0,.273,.306,.373,.679
61,2018-07-22,4,4,0,0,0,0,0,0,0,0,.267,.299,.364,.662
62,2018-07-23,2,2,0,0,0,0,0,0,0,0,.263,.295,.359,.655
63,2018-07-24,4,4,1,1,0,0,0,0,0,1,.263,.294,.357,.651
64,2018-07-25,3,3,0,1,0,0,0,0,0,1,.264,.295,.356,.651
65,July,65,62,11,15,2,0,1,8,2,11,.242,.277,.323,.600
