,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-06,5,3,2,1,0,0,0,0,2,1,.333,.600,.333,.933
1,2021-04-07,4,3,1,1,0,0,0,0,0,1,.333,.556,.333,.889
2,2021-04-07,3,1,0,0,0,0,0,0,2,0,.286,.583,.286,.869
3,2021-04-09,4,4,0,1,0,0,0,0,0,0,.273,.500,.273,.773
4,2021-04-10,5,5,0,1,0,0,0,0,0,1,.250,.429,.250,.679
5,2021-04-11,4,4,0,1,0,0,0,0,0,0,.250,.400,.250,.650
6,2021-04-12,5,5,1,1,0,1,0,0,0,3,.240,.367,.320,.687
7,2021-04-13,4,3,0,0,0,0,0,0,0,2,.214,.353,.286,.639
8,2021-04-14,4,3,0,0,0,0,0,0,1,3,.194,.342,.258,.600
9,2021-04-15,2,2,0,0,0,0,0,0,0,1,.182,.325,.242,.567
10,2021-04-16,3,3,0,1,0,0,0,0,0,0,.194,.326,.250,.576
11,2021-04-17,2,2,0,1,0,0,0,0,0,0,.211,.333,.263,.596
12,2021-04-18,4,2,0,1,0,0,0,0,1,0,.225,.367,.275,.642
13,2021-04-19,4,4,0,1,0,0,0,1,0,1,.227,.358,.273,.631
14,2021-04-20,4,3,0,0,0,0,0,0,1,1,.213,.351,.255,.606
15,2021-04-21,3,2,0,0,0,0,0,0,1,0,.204,.350,.245,.595
16,2021-04-23,3,3,0,0,0,0,0,0,0,1,.192,.333,.231,.564
17,2021-04-24,1,1,0,1,0,0,0,0,0,0,.208,.344,.245,.589
18,2021-04-25,3,3,0,1,1,0,0,0,0,0,.214,.343,.268,.611
19,2021-04-27,4,4,0,0,0,0,0,0,0,1,.200,.324,.250,.574
20,2021-04-28,4,3,2,1,0,0,0,0,1,1,.206,.333,.254,.587
21,2021-04-30,3,3,0,2,0,0,0,0,0,1,.227,.346,.273,.619
22,April,78,66,6,15,1,1,0,1,9,18,.227,.346,.273,.619
23,2021-05-01,1,1,0,0,0,0,0,0,0,0,.224,.342,.269,.610
24,2021-05-02,4,3,0,1,1,0,0,0,1,0,.229,.349,.286,.635
25,2021-05-04,3,2,0,0,0,0,0,0,1,2,.222,.349,.278,.627
26,2021-05-05,4,4,0,1,0,0,0,0,0,2,.224,.344,.276,.621
27,2021-05-06,4,3,0,1,0,0,0,0,1,1,.228,.351,.278,.630
28,2021-05-07,4,3,1,0,0,0,0,0,0,1,.220,.340,.268,.608
29,2021-05-08,4,4,1,3,0,0,0,0,0,1,.244,.356,.291,.647
30,2021-05-09,3,3,0,0,0,0,0,0,0,1,.236,.346,.281,.627
31,2021-05-11,4,4,0,0,0,0,0,0,0,0,.226,.333,.269,.602
32,2021-05-12,1,1,0,0,0,0,0,0,0,1,.223,.330,.266,.596
33,2021-05-13,3,3,0,0,0,0,0,0,0,1,.216,.321,.258,.579
34,2021-05-14,3,2,0,2,2,0,0,2,0,0,.232,.339,.293,.632
35,2021-05-15,4,4,1,2,1,0,0,1,0,0,.243,.345,.311,.655
36,2021-05-16,3,2,1,1,1,0,0,0,1,1,.248,.352,.324,.676
37,2021-05-17,3,3,0,0,0,0,0,0,0,1,.241,.344,.315,.659
38,2021-05-18,4,3,0,0,0,0,0,0,0,1,.234,.341,.306,.647
39,2021-05-19,3,3,1,2,1,0,0,1,0,1,.246,.348,.325,.673
40,2021-05-31,1,1,0,0,0,0,0,0,0,0,.243,.346,.322,.668
41,May,56,49,5,13,6,0,0,4,4,14,.265,.345,.388,.733
42,2021-06-01,5,4,0,0,0,0,0,0,1,2,.235,.341,.311,.652
43,2021-06-02,4,3,1,0,0,0,0,0,0,1,.230,.338,.303,.641
44,2021-06-03,4,3,0,0,0,0,0,0,1,2,.224,.336,.296,.632
45,2021-06-04,3,2,0,0,0,0,0,0,1,0,.220,.336,.291,.627
46,2021-06-05,4,4,0,0,0,0,0,0,0,0,.214,.327,.282,.609
47,2021-06-06,4,3,3,2,2,0,0,1,0,0,.224,.338,.306,.644
48,2021-06-08,3,2,0,0,0,0,0,0,1,2,.221,.338,.301,.639
49,2021-06-09,5,5,0,2,1,0,0,0,0,2,.227,.339,.312,.652
50,2021-06-11,2,2,0,0,0,0,0,0,0,0,.224,.335,.308,.643
51,2021-06-12,1,1,0,0,0,0,0,0,0,0,.222,.333,.306,.639
52,2021-06-12,3,2,0,1,0,0,0,0,0,1,.226,.339,.308,.647
53,2021-06-13,4,2,1,1,0,0,0,0,1,0,.230,.345,.311,.656
54,2021-06-14,3,3,1,1,1,0,0,0,0,0,.232,.345,.318,.662
55,2021-06-15,4,3,1,1,1,0,0,1,1,0,.234,.348,.325,.673
56,2021-06-16,4,4,0,0,0,0,0,0,0,0,.228,.341,.316,.657
57,2021-06-18,3,3,0,1,0,0,0,0,0,0,.230,.340,.317,.657
58,2021-06-19,3,1,0,0,0,0,0,0,2,0,.228,.346,.315,.660
59,2021-06-19,3,3,0,1,0,0,0,0,0,1,.230,.345,.315,.660
60,2021-06-20,4,4,0,1,0,0,0,0,0,0,.231,.343,.314,.657
61,2021-06-22,4,4,0,1,1,0,0,0,0,1,.231,.342,.318,.660
62,2021-06-23,5,4,2,1,0,0,0,1,1,1,.232,.343,.316,.659
63,2021-06-24,4,2,1,0,0,0,0,0,2,2,.229,.346,.313,.659
64,2021-06-25,4,4,0,0,0,0,0,0,0,1,.224,.340,.306,.646
65,2021-06-27,3,1,0,0,0,0,0,0,1,1,.223,.344,.304,.648
66,2021-06-28,0,0,0,0,0,0,0,0,0,0,.223,.344,.304,.648
67,2021-06-29,3,3,1,1,0,0,1,1,0,1,.225,.344,.321,.665
68,2021-06-30,1,0,0,0,0,0,0,1,0,0,.225,.342,.321,.663
69,June,90,72,11,14,6,0,1,5,12,18,.194,.337,.319,.656
70,2021-07-01,2,1,0,0,0,0,0,0,1,0,.223,.344,.319,.663
71,2021-07-02,4,4,1,0,0,0,0,0,0,1,.219,.338,.313,.650
72,2021-07-03,3,3,0,0,0,0,0,0,0,0,.215,.333,.308,.641
73,2021-07-04,3,3,0,0,0,0,0,0,0,3,.212,.329,.303,.632
74,2021-07-05,4,4,2,2,2,0,0,0,0,1,.218,.332,.317,.649
75,2021-07-06,4,4,0,0,0,0,0,0,0,1,.214,.326,.311,.637
76,2021-07-07,5,4,1,1,1,0,0,1,0,1,.214,.328,.314,.642
77,2021-07-08,4,4,0,0,0,0,0,0,0,2,.210,.323,.308,.631
78,2021-07-10,4,3,0,1,0,0,0,0,0,1,.212,.325,.309,.634
79,2021-07-11,3,3,0,0,0,0,0,0,0,1,.209,.322,.305,.626
80,2021-07-16,0,0,0,0,0,0,0,0,0,0,.209,.322,.305,.626
81,2021-07-17,4,3,0,0,0,0,0,0,0,2,.206,.321,.300,.621
82,2021-07-18,1,0,0,0,0,0,0,0,0,0,.206,.323,.300,.624
83,2021-07-20,4,3,0,1,0,0,0,1,1,0,.208,.326,.301,.627
84,2021-07-24,1,1,0,0,0,0,0,0,0,1,.207,.325,.300,.624
85,2021-07-25,4,4,0,0,0,0,0,0,0,0,.203,.320,.294,.614
86,2021-07-26,4,3,0,1,0,0,0,1,1,1,.205,.322,.295,.617
87,2021-07-27,4,3,1,0,0,0,0,0,1,2,.203,.321,.291,.613
88,2021-07-31,5,4,0,1,0,0,0,0,1,1,.203,.323,.290,.613
89,July,63,54,5,7,3,0,0,3,5,18,.130,.254,.185,.439
90,2021-08-01,5,3,0,0,0,0,0,0,1,0,.201,.322,.287,.609
91,2021-08-02,4,3,0,0,0,0,0,0,0,0,.198,.321,.283,.604
92,2021-08-04,4,3,1,1,0,0,1,1,1,1,.200,.323,.296,.619
93,2021-08-05,5,5,0,0,0,0,0,0,0,1,.196,.318,.290,.608
