,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,1,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
1,2021-04-02,5,4,2,3,2,0,0,2,0,0,.750,.667,1.250,1.917
2,2021-04-04,4,3,1,1,0,0,1,1,1,1,.571,.600,1.286,1.886
3,2021-04-05,6,3,1,1,0,0,1,1,3,0,.500,.625,1.300,1.925
4,2021-04-07,5,5,0,0,0,0,0,0,0,3,.333,.476,.867,1.343
5,2021-04-09,3,3,0,0,0,0,0,0,0,0,.278,.417,.722,1.139
6,2021-04-10,4,2,1,1,1,0,0,0,2,0,.300,.464,.750,1.214
7,2021-04-13,4,3,1,0,0,0,0,0,1,1,.261,.438,.652,1.090
8,2021-04-15,4,4,1,1,0,0,0,0,0,1,.259,.417,.593,1.009
9,2021-04-16,6,3,1,0,0,0,0,0,2,0,.233,.429,.533,.962
10,2021-04-18,4,4,1,1,0,0,0,0,0,1,.235,.413,.500,.913
11,2021-04-19,4,4,0,0,0,0,0,0,0,1,.211,.380,.447,.827
12,2021-04-20,4,3,0,0,0,0,0,0,1,2,.195,.370,.415,.785
13,2021-04-22,4,3,0,1,1,0,0,0,0,1,.205,.379,.432,.811
14,2021-04-24,4,4,0,2,1,0,0,0,0,1,.229,.387,.458,.845
15,2021-04-25,1,0,0,0,0,0,0,0,1,0,.229,.397,.458,.855
16,2021-04-26,5,4,0,0,0,0,0,0,1,1,.212,.382,.423,.805
17,2021-04-27,4,3,2,1,0,0,1,3,0,0,.218,.389,.473,.862
18,2021-04-29,4,4,0,1,0,0,0,0,0,0,.220,.382,.458,.839
19,2021-04-30,3,3,0,1,0,0,0,0,0,0,.226,.380,.452,.831
20,April,79,62,11,14,5,0,3,7,12,13,.226,.380,.452,.831
21,2021-05-01,2,2,1,1,0,1,0,2,0,0,.234,.383,.484,.867
22,2021-05-02,6,6,2,2,1,0,0,0,0,0,.243,.379,.486,.865
23,2021-05-04,4,4,0,0,0,0,0,0,0,2,.230,.363,.459,.822
24,2021-05-05,5,4,0,2,0,0,0,1,0,0,.244,.365,.462,.826
25,2021-05-07,3,2,1,1,1,0,0,0,1,0,.250,.374,.475,.849
26,2021-05-08,6,6,1,2,0,0,0,3,0,1,.256,.371,.465,.836
27,2021-05-09,5,5,0,0,0,0,0,0,0,1,.242,.355,.440,.794
28,2021-05-11,4,4,0,1,0,0,0,0,0,0,.242,.351,.432,.782
29,2021-05-12,4,4,1,2,1,0,0,0,0,1,.253,.356,.444,.800
30,2021-05-15,4,2,0,0,0,0,0,0,2,0,.248,.361,.436,.796
31,2021-05-16,1,1,0,0,0,0,0,0,0,1,.245,.358,.431,.789
32,2021-05-17,4,4,2,2,1,0,1,1,0,0,.255,.362,.472,.834
33,2021-05-18,5,4,1,2,0,0,0,1,1,0,.264,.371,.473,.844
34,2021-05-19,1,0,0,0,0,0,0,1,0,0,.264,.368,.473,.841
35,2021-05-20,3,3,2,2,0,0,1,1,0,1,.274,.375,.504,.879
36,2021-05-21,4,4,0,1,0,0,0,0,0,1,.274,.371,.496,.867
37,2021-05-23,5,5,2,2,0,0,0,0,0,1,.279,.372,.492,.864
38,2021-05-25,5,4,1,1,0,0,0,0,1,0,.278,.373,.484,.858
39,2021-05-26,4,4,0,0,0,0,0,0,0,1,.269,.364,.469,.833
40,2021-05-28,5,2,0,1,0,0,0,0,3,0,.273,.377,.470,.847
41,2021-05-29,4,4,1,2,0,0,0,0,0,2,.279,.380,.471,.851
42,2021-05-30,1,1,0,0,0,0,0,0,0,1,.277,.378,.467,.845
43,2021-05-31,4,3,1,0,0,0,0,1,1,2,.271,.375,.457,.832
44,May,89,78,16,24,4,1,2,11,9,15,.308,.371,.462,.832
45,2021-06-01,4,4,0,2,1,0,0,0,0,2,.278,.378,.465,.843
46,2021-06-02,0,0,0,0,0,0,0,0,0,0,.278,.378,.465,.843
47,2021-06-04,4,4,1,1,0,0,0,1,0,1,.277,.375,.459,.834
48,2021-06-05,1,1,0,0,0,0,0,0,0,1,.275,.373,.456,.829
49,2021-06-06,4,4,0,0,0,0,0,0,0,0,.268,.365,.444,.809
50,2021-06-08,4,4,1,1,0,0,0,0,0,1,.268,.362,.439,.802
51,2021-06-09,4,2,0,0,0,0,0,0,2,0,.264,.365,.434,.799
52,2021-06-11,5,4,2,2,1,0,1,1,0,1,.270,.371,.460,.831
53,2021-06-12,4,4,0,1,0,0,0,0,0,1,.269,.369,.455,.824
54,2021-06-14,3,3,1,1,0,0,1,2,0,0,.271,.368,.471,.839
55,2021-06-15,4,2,0,0,0,0,0,1,1,0,.267,.371,.465,.836
56,2021-06-16,1,0,0,0,0,0,0,0,0,0,.267,.374,.465,.839
57,2021-06-18,4,4,0,0,0,0,0,0,0,0,.261,.367,.455,.821
58,2021-06-19,5,4,1,3,1,0,1,2,1,0,.272,.377,.483,.860
59,2021-06-20,1,1,0,0,0,0,0,0,0,1,.271,.375,.481,.856
60,2021-06-21,4,4,1,1,0,0,1,1,0,2,.270,.373,.492,.865
61,2021-06-22,4,4,0,0,0,0,0,0,0,1,.265,.366,.481,.848
62,2021-06-23,4,4,0,2,0,0,0,1,0,1,.269,.368,.482,.850
63,2021-06-24,1,1,0,0,0,0,0,0,0,1,.268,.367,.479,.846
64,2021-06-25,4,3,0,0,0,0,0,0,1,0,.264,.365,.472,.837
65,2021-06-26,4,3,0,0,0,0,0,0,1,1,.260,.363,.465,.828
66,2021-06-28,3,3,1,1,0,0,1,1,0,0,.261,.363,.478,.840
67,2021-06-29,4,3,0,1,0,0,0,0,1,1,.262,.365,.476,.840
68,June,76,66,8,16,3,0,5,10,7,15,.242,.342,.515,.857
69,2021-07-01,3,3,0,1,0,0,0,0,0,0,.263,.364,.474,.838
70,2021-07-03,4,2,1,0,0,0,0,1,0,2,.261,.363,.469,.832
71,2021-07-05,5,4,1,1,0,0,0,0,1,2,.260,.363,.465,.828
72,2021-07-06,5,4,0,1,0,0,0,1,1,1,.260,.364,.461,.825
73,2021-07-07,1,1,0,0,0,0,0,0,0,1,.259,.363,.459,.822
74,2021-07-08,5,4,0,0,0,0,0,1,0,1,.254,.356,.451,.807
75,2021-07-09,4,4,0,1,0,0,0,0,0,2,.254,.354,.447,.802
76,2021-07-11,4,2,0,0,0,0,0,1,1,2,.252,.356,.443,.800
77,2021-07-16,5,4,1,2,1,0,0,4,1,1,.256,.361,.449,.809
78,2021-07-18,5,4,1,3,0,0,1,3,1,1,.265,.368,.466,.835
79,2021-07-19,4,3,0,0,0,0,0,0,0,2,.261,.367,.461,.827
80,2021-07-20,1,1,1,1,0,0,1,3,0,0,.264,.369,.475,.844
81,2021-07-21,4,3,0,0,0,0,0,0,1,1,.261,.367,.469,.837
82,2021-07-22,4,4,1,1,0,0,1,2,0,2,.261,.366,.478,.844
83,2021-07-23,5,5,1,1,1,0,0,1,0,1,.260,.363,.476,.839
84,2021-07-25,4,3,1,1,0,0,1,1,1,0,.261,.365,.486,.851
85,2021-07-27,4,4,0,0,0,0,0,0,0,0,.257,.360,.479,.839
86,2021-07-28,5,4,1,2,0,1,0,2,0,0,.260,.364,.487,.851
87,2021-07-30,5,4,1,0,0,0,0,0,1,1,.257,.361,.480,.841
88,2021-07-31,5,5,1,3,0,0,0,0,0,0,.263,.365,.482,.847
89,July,82,68,11,18,2,1,4,20,8,20,.265,.366,.500,.866
90,2021-08-03,4,2,0,0,0,0,0,0,1,2,.261,.367,.478,.845
91,2021-08-04,4,3,1,1,0,0,1,3,1,1,.262,.368,.487,.856
92,2021-08-06,1,1,0,0,0,0,0,0,0,0,.261,.367,.486,.853
93,2021-08-07,4,3,1,1,0,0,0,0,1,1,.261,.369,.484,.853
94,2021-08-08,4,3,0,0,0,0,0,0,1,0,.259,.367,.479,.846
95,2021-08-10,5,5,1,2,0,0,0,1,0,1,.261,.368,.478,.846
96,2021-08-11,5,2,1,1,0,0,0,0,3,0,.263,.374,.478,.852
97,2021-08-12,1,0,0,0,0,0,0,0,0,0,.263,.376,.478,.854
98,2021-08-13,5,4,1,1,0,0,1,3,0,1,.263,.373,.485,.858
99,2021-08-14,4,4,1,1,0,0,1,1,0,1,.262,.372,.492,.864
100,2021-08-15,6,4,1,2,0,0,1,3,1,0,.266,.377,.502,.878
101,2021-08-17,4,4,0,0,0,0,0,0,0,1,.262,.373,.495,.868
102,2021-08-18,4,3,0,0,0,0,0,0,1,1,.260,.371,.490,.862
