,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-30,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,March,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2019-04-02,3,3,1,1,0,0,0,0,0,1,.333,.333,.333,.667
3,2019-04-03,4,4,0,1,0,0,0,0,0,0,.286,.286,.286,.571
4,2019-04-04,4,3,0,1,0,0,0,2,0,1,.300,.300,.300,.600
5,2019-04-06,4,4,1,1,0,0,1,2,0,1,.286,.286,.500,.786
6,2019-04-07,5,3,1,0,0,0,0,0,2,1,.235,.316,.412,.728
7,2019-04-08,3,3,0,0,0,0,0,0,0,0,.200,.273,.350,.623
8,2019-04-09,5,5,0,2,0,0,0,0,0,1,.240,.296,.360,.656
9,2019-04-10,5,4,1,0,0,0,0,0,1,2,.207,.281,.310,.592
10,2019-04-12,4,3,0,0,0,0,0,0,1,1,.188,.278,.281,.559
11,2019-04-13,3,3,0,0,0,0,0,0,0,3,.171,.256,.257,.514
12,2019-04-14,3,3,0,1,0,0,0,0,0,1,.184,.262,.263,.525
13,2019-04-16,4,4,1,2,1,0,0,0,0,0,.214,.283,.310,.592
14,2019-04-17,4,3,1,0,0,0,0,0,1,1,.200,.280,.289,.569
15,2019-04-18,4,3,1,2,0,0,1,1,1,0,.229,.315,.375,.690
16,2019-04-19,3,3,0,0,0,0,0,0,0,3,.216,.298,.353,.651
17,2019-04-20,4,4,0,2,1,0,0,0,0,1,.236,.311,.382,.693
18,2019-04-21,4,4,0,1,0,0,0,1,0,0,.237,.308,.373,.681
19,2019-04-22,3,3,0,0,0,0,0,0,0,0,.226,.294,.355,.649
20,2019-04-23,4,4,2,2,0,0,0,0,0,0,.242,.306,.364,.669
21,2019-04-24,4,3,1,1,0,0,0,0,1,0,.246,.316,.362,.678
22,2019-04-28,1,1,0,1,0,0,0,0,0,0,.257,.325,.371,.696
23,2019-04-29,1,1,0,0,0,0,0,0,0,0,.254,.321,.366,.687
24,2019-04-30,3,2,0,0,0,0,0,0,1,0,.247,.321,.356,.677
25,April,82,73,10,18,2,0,2,6,8,17,.247,.321,.356,.677
26,2019-05-01,4,4,0,1,0,0,0,0,0,0,.247,.318,.351,.668
27,2019-05-02,3,3,0,0,0,0,0,0,0,1,.238,.307,.338,.644
28,2019-05-03,1,1,0,0,0,0,0,0,0,0,.235,.303,.333,.637
29,2019-05-04,4,4,1,1,0,0,0,0,0,0,.235,.301,.329,.630
30,2019-05-05,4,3,0,1,0,0,0,0,1,2,.239,.309,.330,.639
31,2019-05-06,4,4,0,1,0,0,0,0,0,1,.239,.307,.326,.633
32,2019-05-07,4,3,0,0,0,0,0,0,1,1,.232,.305,.316,.621
33,2019-05-08,4,4,1,1,0,0,0,1,0,1,.232,.303,.313,.616
34,2019-05-09,4,4,0,1,0,0,0,0,0,1,.233,.301,.311,.612
35,2019-05-10,3,3,0,2,0,0,0,0,0,0,.245,.310,.321,.631
36,2019-05-11,4,4,1,1,0,0,0,0,0,1,.245,.308,.318,.626
37,2019-05-12,3,3,0,0,0,0,0,0,0,0,.239,.301,.310,.610
38,2019-05-14,3,3,1,1,0,0,0,0,0,0,.241,.302,.310,.612
39,2019-05-15,3,3,0,0,0,0,0,0,0,1,.235,.295,.303,.597
40,2019-05-16,4,2,0,0,0,0,0,0,2,1,.231,.301,.298,.598
41,May,52,48,4,10,0,0,0,1,4,10,.208,.269,.208,.478
42,2019-09-08,2,2,0,1,0,0,0,0,0,1,.236,.304,.301,.604
43,2019-09-14,1,1,0,0,0,0,0,0,0,0,.234,.301,.298,.600
44,2019-09-25,3,3,0,2,0,0,0,1,0,1,.244,.309,.307,.616
45,2019-09-29,4,4,1,2,0,0,0,0,0,0,.252,.315,.313,.628
46,September,10,10,1,5,0,0,0,1,0,2,.500,.500,.500,1.000
